LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Danau+Tasikardi/data=!4m7!3m6!1s0x2e418c8d22ad4d63:0xe5977e414f52b412!8m2!3d-6.0526576!4d106.1421943!16s%2Fg%2F11cjh_w5nq!19sChIJY02tIo2MQS4RErRST0F-l-U?authuser=0&hl=id&rclk=1,Danau Tasikardi,"4,0",https://lh5.googleusercontent.com/p/AF1QipNRbVveyBSf0QUnjuGZpsbT9Q5tBewaDcTa_jvd=w1220-h920-k-no,Banten,"Kecamatan Serang, Kabupaten Serang","Danau Tasikardi adalah danau buatan yang dibangun pada masa Kesultanan Banten, menawarkan suasana tenang dan asri. Dengan luas sekitar lima hektare, pengunjung dapat menikmati keindahan danau sambil memancing atau menjelajahi area dengan perahu kecil. Di tengah danau terdapat Pulau Kaputren, menambah daya tarik tempat ini. Danau ini merupakan lokasi yang ideal untuk bersantai dan menikmati alam.",Danau
https://www.google.com/maps/place/Pantai+Gopek+Karangantu/data=!4m7!3m6!1s0x2e41f2d1a26b88b5:0xcadf06c747393b!8m2!3d-6.0255765!4d106.1655155!16s%2Fg%2F11ddyk1mv6!19sChIJtYhrotHyQS4ROzlHxwbfygA?authuser=0&hl=id&rclk=1,Pantai Gopek Karangantu,"4,4",https://lh5.googleusercontent.com/p/AF1QipPdHSacMZKlLsSy8uP6J4Vg1XSH9nJuOcRKzEAs=w1220-h920-k-no,Banten,"Kecamatan Karangantu, Kabupaten Serang","Pantai Gopek Karangantu dikenal dengan keindahan alamnya yang menawan. Pantai ini menawarkan pasir putih dan ombak yang tenang, menjadikannya tempat yang sempurna untuk bersantai dan bermain air. Selain itu, suasana di sekitar pantai sangat asri dan cocok untuk keluarga yang ingin menikmati waktu bersama. Aktivitas seperti berjemur dan bermain voli pantai juga sering dilakukan di sini.",Pantai 
https://www.google.com/maps/place/Benteng+Speelwijk/data=!4m7!3m6!1s0x2e41f2d7aaaaaaab:0x5a81cda382ccf67f!8m2!3d-6.0312364!4d106.1506923!16s%2Fg%2F1pzrfjkph!19sChIJq6qqqtfyQS4Rf_bMgqPNgVo?authuser=0&hl=id&rclk=1,Benteng Speelwijk,"4,6",https://lh5.googleusercontent.com/p/AF1QipOXnUsuwhBA1PmkBBWYb6J6S22QscqgDV3Ihoc8=w1220-h920-k-no,Banten,"Kecamatan Banten, Kota Serang",Benteng Speelwijk merupakan situs bersejarah yang dibangun oleh Belanda pada abad ke-17. Benteng ini memiliki arsitektur yang menarik dan menjadi saksi bisu sejarah perjuangan di Banten. Pengunjung dapat menjelajahi area benteng dan belajar tentang sejarah serta budaya lokal. Lokasi ini juga sering digunakan untuk kegiatan edukasi tentang sejarah Indonesia.,Museum/Sejarah
https://www.google.com/maps/place/Pantai+Tj.+Lesung/data=!4m7!3m6!1s0x2e43c9b86a346b9d:0xec0d502e94af8656!8m2!3d-6.4786315!4d105.6557853!16s%2Fg%2F11fj45fq1n!19sChIJnWs0arjJQy4RVoavlC5QDew?authuser=0&hl=id&rclk=1,Pantai Tj. Lesung,"4,4",https://lh5.googleusercontent.com/p/AF1QipP-X5KWtgkKuLAXWXb-ys1bzlqf6JqlO0f9MBM-=w1220-h920-k-no,Banten,"Kecamatan Panimbang, Kabupaten Pandeglang","Pantai Tanjung Lesung adalah destinasi wisata pantai yang terkenal dengan keindahan alamnya. Dengan pasir putih dan air laut yang jernih, pantai ini menawarkan pemandangan yang menakjubkan serta berbagai aktivitas air seperti snorkeling dan jet ski. Suasana di sekitar pantai sangat mendukung untuk relaksasi dan menikmati keindahan alam sambil bercengkerama dengan keluarga atau teman-teman.",Pantai 
https://www.google.com/maps/place/Taman+Wisata+Batu+Gede+Sayar/data=!4m7!3m6!1s0x2e418a647b89b7b1:0xe0101172d2968e85!8m2!3d-6.1440021!4d106.1040064!16s%2Fg%2F11g6j6kr87!19sChIJsbeJe2SKQS4RhY6W0nIREOA?authuser=0&hl=id&rclk=1,Taman Wisata Batu Gede Sayar,"4,4",https://lh5.googleusercontent.com/p/AF1QipO9pgi_J8tgplXlsrUZ0b5B-cHhqKpd9sTtDrnI=w1220-h920-k-no,Banten,"Kecamatan Cibeber, Kabupaten Lebak",Taman Wisata Batu Gede Sayar adalah tempat wisata alam yang menawarkan pemandangan pegunungan yang indah dan udara segar. Tempat ini cocok untuk kegiatan hiking dan camping bagi pecinta alam. Di dalam taman terdapat berbagai fasilitas rekreasi seperti area bermain anak dan jalur trekking yang aman. Keindahan alam di sekitar membuatnya menjadi lokasi ideal untuk berlibur bersama keluarga atau teman-teman,Gunung/Bukit
https://www.google.com/maps/place/Pantai+Bagedur/data=!4m7!3m6!1s0x2e42580db85e3ee1:0x785efd54ab2cebb!8m2!3d-6.8139805!4d105.9924372!16s%2Fg%2F121kwmy5!19sChIJ4T5euA1YQi4Ru86yStXvhQc?authuser=0&hl=id&rclk=1,Pantai Bagedur,"4,3",https://lh5.googleusercontent.com/p/AF1QipNjuIPfsCpcmesW6rAtJD4OjKe6izwhy0OFRwYA=w1220-h920-k-no,Banten,"Kecamatan Malingping, Kabupaten Lebak","Pantai Bagedur adalah salah satu pantai tersembunyi di Banten yang menawarkan panorama alam yang eksotis dengan pasir putih halus dan ombak yang tenang. Pantai ini cocok untuk kegiatan bersantai atau piknik bersama keluarga. Dikelilingi oleh pepohonan hijau, suasana di sini sangat tenang dan alami, menjadikannya tempat ideal untuk melarikan diri dari keramaian kota.",Pantai 
https://www.google.com/maps/place/Telaga+Biru+Cisoka/data=!4m7!3m6!1s0x2e4205d10e37390f:0xef38639adf05f086!8m2!3d-6.2780008!4d106.4305969!16s%2Fg%2F11c6cb813w!19sChIJDzk3DtEFQi4RhvAF35pjOO8?authuser=0&hl=id&rclk=1,Telaga Biru Cisoka,"4,0",https://lh5.googleusercontent.com/p/AF1QipP7COc8ESopZGlY9LxZyP4TN5vGGXrqmzl-NLcS=w1220-h920-k-no,Banten,"Kecamatan Cisoka, Kabupaten Tangerang",Telaga Biru Cisoka adalah sebuah telaga alami dengan air jernih berwarna biru yang dikelilingi oleh pepohonan rindang. Tempat ini sangat populer di kalangan pengunjung yang ingin menikmati keindahan alam sambil berfoto-foto. Pengunjung juga dapat melakukan aktivitas seperti memancing atau sekadar bersantai di tepi telaga menikmati pemandangan yang menenangkan.,Lainnya
https://www.google.com/maps/place/Pantai+Tanjung+Layar/data=!4m7!3m6!1s0x2e4290365ecbaad7:0xe40b1b4e2a603902!8m2!3d-6.9939444!4d106.3071713!16s%2Fg%2F11g71y735v!19sChIJ16rLXjaQQi4RAjlgKk4bC-Q?authuser=0&hl=id&rclk=1,Pantai Tanjung Layar,"4,6",https://lh5.googleusercontent.com/p/AF1QipNPK4qAAQ20cfUSkJe9HjQhah_r-k9E9DfiS6TQ=w1220-h920-k-no,Banten,"Kecamatan Bayah, Kabupaten Lebak","Pantai Tanjung Layar terkenal dengan keindahan sunset-nya yang memukau serta batu karang besar yang menjadi ciri khas pantai ini. Suasana di pantai ini sangat damai, membuatnya cocok untuk bersantai sambil menikmati angin laut. Selain itu, pengunjung bisa melakukan aktivitas seperti berjalan-jalan di tepi pantai atau berfoto dengan latar belakang pemandangan laut yang indah.",Pantai 
https://www.google.com/maps/place/Taman+Tebing+Koja/data=!4m7!3m6!1s0x2e420589afa52225:0x88a6de2bbef2bd2b!8m2!3d-6.3145534!4d106.3979829!16s%2Fg%2F11g9m33xkm!19sChIJJSKlr4kFQi4RK73yvivepog?authuser=0&hl=id&rclk=1,Taman Tebing Koja,"4,0",https://lh5.googleusercontent.com/p/AF1QipPVhUWiw_itCg5yVsev6U_PlakQb4o_8FZ3ptey=w1220-h920-k-no,Banten,"Kecamatan Koja, Kabupaten Tangerang Selatan",Taman Tebing Koja adalah destinasi wisata alam dengan tebing-tebing tinggi yang indah serta area hijau untuk bersantai. Tempat ini sering digunakan sebagai lokasi foto pre-wedding karena pemandangannya yang menakjubkan. Pengunjung dapat melakukan aktivitas trekking ringan sambil menikmati keindahan alam sekitar serta menghirup udara segar dari pegunungan.,Lainnya
https://www.google.com/maps/place/Wisata+Alam+Cikoromoy/data=!4m7!3m6!1s0x2e424e0ae7ca18bb:0x85798b683d3e2baf!8m2!3d-6.3291505!4d106.0209283!16s%2Fg%2F11c6ccv30l!19sChIJuxjK5wpOQi4Rrys-PWiLeYU?authuser=0&hl=id&rclk=1,Wisata Alam Cikoromoy,"4,2",https://lh5.googleusercontent.com/p/AF1QipO3itoVov-eVuugq1qYzD7ecN1vAvB6B_-LFxV2=w1220-h920-k-no,Banten,"Kecamatan Pandeglang, Kabupaten Pandeglang","Wisata Alam Cikoromoy adalah kolam pemandian alami dengan air jernih dari sumber pegunungan. Tempat ini menjadi favorit bagi pengunjung yang ingin berenang atau sekadar bermain air di kolam alami tersebut. Dikelilingi oleh pepohonan hijau, suasana di sini sangat sejuk dan menyegarkan pikiran setelah beraktivitas sehari-hari di kota. Cikoromoy juga dikenal dengan keberadaan berbagai jenis ikan air tawar yang bisa dilihat langsung oleh pengunjung.",Lainnya
