LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Wisata+Hutan+mangrove+pulaubaai/data=!4m7!3m6!1s0x2e36bc7bb1777c07:0x98664c9a850751d0!8m2!3d-3.904439!4d102.3082746!16s%2Fg%2F11fy4hh2sm!19sChIJB3x3sXu8Ni4R0FEHhZpMZpg?authuser=0&hl=id&rclk=1,Wisata Hutan mangrove pulaubaai,"4,3",https://lh5.googleusercontent.com/p/AF1QipOEq0fpAaQHlVLuvVElS_XtsDU7zR1pEjeqAwlA=w1220-h920-k-no,Bengkulu,"Pulau Baai, Kecamatan Teluk Segara, Kota Bengkulu, Bengkulu.","Hutan mangrove Pulau Baai merupakan ekosistem yang kaya akan keanekaragaman hayati. Di sini, pengunjung dapat menikmati keindahan alam sambil belajar tentang pentingnya hutan mangrove dalam menjaga keseimbangan ekosistem. Terdapat jalur trekking yang memudahkan pengunjung untuk menjelajahi area ini, serta kesempatan untuk melihat berbagai spesies burung dan ikan yang hidup di sekitar hutan. Suasana tenang dan segar membuat tempat ini ideal untuk bersantai dan berwisata edukasi.",Hutan/Taman Nasional
https://www.google.com/maps/place/Pantai+Tapak+Paderi/data=!4m7!3m6!1s0x2e36afd66f58d72f:0x2b0fbbf390cdfbda!8m2!3d-3.7849049!4d102.2534603!16s%2Fg%2F11cn_j3cty!19sChIJL9dYb9avNi4R2vvNkPO7Dys?authuser=0&hl=id&rclk=1,Pantai Tapak Paderi,"4,4",https://lh5.googleusercontent.com/p/AF1QipMifuuui3pYZ8r-aihJvv_qHY1GNDB6Y-OldEZR=w1220-h920-k-no,Bengkulu,"Hutan mangrove Pulau Baai merupakan ekosistem yang kaya akan keanekaragaman hayati. Di sini, pengunjung dapat menikmati keindahan alam sambil belajar tentang pentingnya hutan mangrove dalam menjaga keseimbangan ekosistem. Terdapat jalur trekking yang memudahkan pengunjung untuk menjelajahi area ini, serta kesempatan untuk melihat berbagai spesies burung dan ikan yang hidup di sekitar hutan. Suasana tenang dan segar membuat tempat ini ideal untuk bersantai dan berwisata edukasi.","Pantai Tapak Paderi adalah salah satu pantai terindah di Bengkulu yang terkenal dengan pemandangan matahari terbenam yang menakjubkan. Pantai ini memiliki pasir putih dan ombak yang tenang, menjadikannya tempat yang sempurna untuk bersantai atau bermain air. Banyak pengunjung yang datang ke sini untuk menikmati suasana santai di tepi pantai sambil menikmati kuliner lokal dari warung-warung di sekitarnya. Dengan fasilitas yang memadai, Pantai Tapak Paderi menjadi destinasi favorit bagi wisatawan lokal dan mancanegara.",Pantai
https://www.google.com/maps/place/Pantai+Panjang+BENGKULU/data=!4m7!3m6!1s0x2e36ba9813ef644b:0x6ebb45e14445f899!8m2!3d-3.8249704!4d102.2776648!16s%2Fg%2F11gfb3h9_s!19sChIJS2TvE5i6Ni4RmfhFROFFu24?authuser=0&hl=id&rclk=1,Pantai Panjang BENGKULU,"4,5",https://lh5.googleusercontent.com/p/AF1QipMGTLeOqwYUfnglFJrMEIdyOHhwMXUfDu0-4zYd=w1220-h920-k-no,Bengkulu,"Pantai Panjang, Lempuing, Kecamatan Ratu Agung, Kota Bengkulu","Pantai Panjang dikenal dengan garis pantainya yang membentang sepanjang 7 kilometer dan pasir putihnya yang halus. Tempat ini ideal untuk berbagai aktivitas seperti berjemur, bermain voli pantai, atau sekadar berjalan-jalan di sepanjang pantai yang dikelilingi pohon cemara. Keindahan alamnya dan suasana yang tenang membuat Pantai Panjang menjadi salah satu destinasi wisata paling populer di Bengkulu. Pengunjung juga dapat menikmati berbagai kuliner seafood segar di sekitar area pantai.",Pantai
https://www.google.com/maps/place/Wisata+Edukasi+Queen/data=!4m7!3m6!1s0x2e36b9a7855a135d:0x1f2bd91f2eda323b!8m2!3d-3.8648738!4d102.3623637!16s%2Fg%2F11k3ps6ng5!19sChIJXRNahae5Ni4ROzLaLh_ZKx8?authuser=0&hl=id&rclk=1,Wisata Edukasi Queen,"4,2",https://lh5.googleusercontent.com/p/AF1QipP6AyQIikZm0vK-aF03nnFXfnW05wLRPZpjTmcS=w1220-h920-k-no,Bengkulu,"Kecamatan Ratu Agung, Kota Bengkulu","Wisata Edukasi Queen menawarkan pengalaman belajar yang menyenangkan bagi anak-anak dan keluarga. Tempat ini dilengkapi dengan berbagai wahana edukatif seperti taman bermain, kebun binatang mini, dan area pertanian organik. Pengunjung dapat belajar tentang pertanian dan pelestarian lingkungan sambil menikmati waktu berkualitas bersama keluarga. Fasilitas yang ramah anak dan kegiatan interaktif menjadikan tempat ini sangat cocok untuk kunjungan sekolah atau outing keluarga.",Lainnya
https://www.google.com/maps/place/Pantai+Lentera+Merah/data=!4m7!3m6!1s0x2e36bc9b7eb879cb:0xb1ee0b9656e67292!8m2!3d-3.8982971!4d102.2788642!16s%2Fg%2F11cn3t7bz_!19sChIJy3m4fpu8Ni4RknLmVpYL7rE?authuser=0&hl=id&rclk=1,Pantai Lentera Merah,"4,4",https://lh5.googleusercontent.com/p/AF1QipNNfaQNtw5g5SyecCQXWak53ubiDKIVNZVR4WqN=w1220-h920-k-no,Bengkulu,"Desa Pasar Pedati, Kecamatan Pondok Kelapa, Kabupaten Bengkulu Tengah","Pantai Lentera Merah adalah destinasi wisata yang menawarkan keindahan alam dengan pemandangan laut yang memukau. Dikenal dengan lampu-lampu lentera merahnya yang menghiasi pantai saat malam tiba, tempat ini menjadi spot romantis bagi pasangan muda. Selain itu, pantai ini juga menyediakan berbagai fasilitas seperti tempat makan dan area bermain anak-anak, sehingga cocok untuk semua kalangan. Suasana malam di Pantai Lentera Merah sangat menarik untuk dinikmati sambil mendengarkan deburan ombak laut.",Pantai
https://www.google.com/maps/place/Taman+Wisata+Pulau+Kumayan+Kota+Bengkulu/data=!4m7!3m6!1s0x2e36b14b4bb7e105:0xf83aaf34038704b7!8m2!3d-3.8015894!4d102.3273528!16s%2Fg%2F11j_vy4zb7!19sChIJBeG3S0uxNi4RtwSHAzSvOvg?authuser=0&hl=id&rclk=1,Taman Wisata Pulau Kumayan Kota Bengkulu,"4,1",https://lh5.googleusercontent.com/p/AF1QipPYVYMWygcBTGU6ROiw_wFJrIRPrSYYbXTJ-F3Q=w1220-h920-k-no,Bengkulu,"Pulau Kumayan, Kecamatan Teluk Segara, Kota Bengkulu",Taman Wisata Pulau Kumayan adalah tempat rekreasi keluarga yang menawarkan berbagai aktivitas luar ruangan seperti berkemah dan trekking. Pulau ini dikelilingi oleh hutan tropis dan memiliki pemandangan laut yang indah. Pengunjung dapat menikmati keindahan alam sambil berinteraksi dengan flora dan fauna lokal serta melakukan berbagai kegiatan edukatif tentang lingkungan hidup. Taman ini juga sering digunakan sebagai lokasi penelitian oleh para mahasiswa dan peneliti lingkungan.,Lainnya
https://www.google.com/maps/place/Kawasan+Kota+Tuo+Pasar+Bengkulu/data=!4m7!3m6!1s0x2e36b1e8d1268b97:0xc38e3d7b273365b1!8m2!3d-3.7727053!4d102.2633793!16s%2Fg%2F11s09rfhz1!19sChIJl4sm0eixNi4RsWUzJ3s9jsM?authuser=0&hl=id&rclk=1,Kawasan Kota Tuo Pasar Bengkulu,"4,3",https://lh5.googleusercontent.com/p/AF1QipPTKMqVJHQZaG2Nt9XdNYZ0wnRqhmSkRB94qzQW=w1220-h920-k-no,Bengkulu,"Kecamatan Ratu Agung, Kota Bengkulu",Kawasan Kota Tuo merupakan area bersejarah di Bengkulu yang menyimpan banyak nilai budaya dan sejarah lokal. Di sini terdapat bangunan-bangunan tua yang masih terawat dengan baik serta pasar tradisional yang ramai dikunjungi oleh warga setempat maupun wisatawan. Pengunjung dapat menjelajahi sejarah kota melalui arsitektur bangunan serta mencicipi berbagai kuliner khas daerah di pasar tradisional tersebut. Suasana kota tua memberikan pengalaman unik bagi siapa saja yang mengunjungi tempat ini,Museum/Sejarah
https://www.google.com/maps/place/Wisata+Pulau+Tikus+3+putra+Bengkulu/data=!4m7!3m6!1s0x2e36afdc25de4307:0x4a509ccab9864ef7!8m2!3d-3.7942895!4d102.2486518!16s%2Fg%2F11dxjxl59p!19sChIJB0PeJdyvNi4R906GucqcUEo?authuser=0&hl=id&rclk=1,Wisata Pulau Tikus 3 putra Bengkulu,"4,4",https://lh5.googleusercontent.com/p/AF1QipPWOrnKJUl97Bjo3tqQ7InHtp4SgXw9duHmqBiu=w1220-h920-k-no,Bengkulu,"Pulau Tikus, Kecamatan Teluk Segara, Kota Bengkulu","Pulau Tikus adalah pulau kecil yang terletak tidak jauh dari pusat kota Bengkulu dan dikenal sebagai tempat snorkeling terbaik di daerah tersebut. Dengan air lautnya yang jernih dan terumbu karang yang indah, pulau ini menjadi tujuan favorit bagi para penyelam dan pecinta alam bawah laut. Selain snorkeling, pengunjung juga bisa menikmati piknik di pantai berpasir putih sambil menikmati makanan laut segar dari nelayan setempat. Keindahan alamnya membuat Pulau Tikus menjadi surga bagi para pencinta petualangan air.",Lainnya
https://www.google.com/maps/place/Benteng+Marlborough/data=!4m7!3m6!1s0x2e36afd779f07007:0x3c0143f4c64a7e4d!8m2!3d-3.787323!4d102.2516757!16s%2Fm%2F0pdclk9!19sChIJB3DwedevNi4RTX5KxvRDATw?authuser=0&hl=id&rclk=1,Benteng Marlborough,"4,6",https://lh5.googleusercontent.com/p/AF1QipNNChKSTXxz8rO8d3HbyEOt6_Xpz6UHsRySsqo=w1220-h920-k-no,Bengkulu,"Kecamatan Teluk Segara, Kota Bengkulu",Benteng Marlborough adalah situs sejarah penting di Bengkulu yang dibangun oleh Inggris pada abad ke-18 sebagai benteng pertahanan dari serangan Belanda dan Prancis. Benteng ini memiliki arsitektur unik berbentuk bintang dengan dinding tebal dari batu granit India dan menawarkan pemandangan spektakuler ke arah laut serta kota sekitarnya. Di dalam benteng terdapat museum kecil yang menampilkan artefak sejarah terkait masa kolonial Inggris di Indonesia serta informasi mengenai peran benteng dalam sejarah lokal. Mengunjungi Benteng Marlborough memberikan wawasan mendalam tentang sejarah kolonial di Indonesia serta pengalaman berharga bagi para pengunjung sejarahwan maupun wisatawan umum.,Museum/Sejarah
https://www.google.com/maps/place/View+Tower/data=!4m7!3m6!1s0x2e36afd909f33879:0xc8838ff4f36ca19!8m2!3d-3.7902834!4d102.2508978!16s%2Fg%2F11bzrpsmkj!19sChIJeTjzCdmvNi4RGco2T_84iAw?authuser=0&hl=id&rclk=1,View Tower,"4,2",https://lh5.googleusercontent.com/p/AF1QipMse-D306OgcOzn2f3CInbrM-qhuw2QhiMJbCzH=w1220-h920-k-no,Bengkulu,"Kecamatan Ratu Agung, Kota Bengkulu",View Tower merupakan menara observasi tinggi yang menawarkan pemandangan panorama kota Bengkulu dari ketinggian. Tempat ini sangat populer di kalangan fotografer dan pengunjung yang ingin melihat keindahan sunset atau sunrise dari atas menara tersebut. Dengan fasilitas kafe di sekitar area menara serta spot foto menarik lainnya menjadikan View Tower sebagai lokasi ideal untuk bersantai sambil menikmati pemandangan indah kota dan sekitarnya dari ketinggian.,Lainnya
