LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Safari+Indonesia/data=!4m7!3m6!1s0x2e69c8953045992b:0x94448953045085f6!8m2!3d-6.7125148!4d106.9266896!16s%2Fg%2F11b64q9f11!19sChIJGyJFME0Yai4RuIXUEkCozwQ?authuser=0&hl=id&rclk=1,Taman Safari Indonesia Bogor,"4,7",https://lh5.googleusercontent.com/p/AF1QipO6gEGxbUO05tEywO0PMWMAcB9e47i_jUhlOuOW=w1220-h920-k-no,Jawa Barat,"Cisarua, Kabupaten Bogor","Taman Safari Indonesia adalah taman safari terbesar di Indonesia yang menawarkan pengalaman unik melihat berbagai spesies hewan dari dekat dalam habitat alami mereka. Pengunjung dapat menjelajahi taman dengan mobil pribadi atau bus yang disediakan, serta menikmati pertunjukan hewan yang mendidik dan menghibur. Taman ini juga memiliki area rekreasi dan penginapan, menjadikannya tempat ideal untuk keluarga yang ingin berlibur sambil belajar tentang konservasi satwa.",Lainnya
https://www.google.com/maps/place/Green+Canyon/data=!4m7!3m6!1s0x2e65719a7a971e39:0x3f13659328b0e26e!8m2!3d-7.6344759!4d108.4722595!16s%2Fg%2F11b61xwj7w!19sChIJOb6Xep-aaS4Rnubw_do2aX0?authuser=0&hl=id&rclk=1,Green Canyon Pangandaran,"4,6",https://lh5.googleusercontent.com/p/AF1QipMGK1M_LO3DIqbxRhqhJDeGZTZ7hkqps0r3mJNh=w1220-h920-k-no,Jawa Barat,"Cijulang, Kabupaten Pangandaran","Green Canyon adalah destinasi wisata alam yang terkenal dengan keindahan alamnya yang menakjubkan. Terletak di tepi Sungai Cijulang, pengunjung dapat menikmati aktivitas seperti berperahu, berenang, dan menjelajahi gua-gua alami. Airnya yang jernih dan tebing-tebing hijau di sekitarnya menciptakan pemandangan yang spektakuler, menjadikannya tempat yang sempurna untuk bersantai dan berfoto. Keberadaan berbagai jenis ikan juga menambah daya tarik tempat ini bagi para penyelam.",Goa
https://www.google.com/maps/place/Taman+Bunga+Nusantara/data=!4m7!3m6!1s0x2e6993502b313b83:0x3c9c7a6582099a4c!8m2!3d-6.7094497!4d107.0739117!16s%2Fg%2F11bc26g58q!19sChIJgzuwKy9RaC4cTOmopq-L-k?authuser=0&hl=id&rclk=1,Taman Bunga Nusantara,"4,6",https://lh5.googleusercontent.com/p/AF1QipOT05qXgvTZA-Ej7C7yqptNmQVZHj_lB5MyAux-=w1220-h920-k-no,Jawa Barat,"Cipanas, Kabupaten Cianjur","Taman Bunga Nusantara adalah taman yang luas dengan koleksi bunga dari seluruh Indonesia dan dunia. Pengunjung dapat menikmati keindahan berbagai jenis bunga dalam suasana yang tenang dan asri. Taman ini juga dilengkapi dengan fasilitas seperti kebun labirin, taman air, dan area bermain anak. Selain itu, pengunjung dapat belajar tentang berbagai jenis tanaman dan teknik berkebun melalui program edukasi yang disediakan.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Hutan+Raya+Ir.+H.+Djuanda/data=!4m7!3m6!1s0x2e68e626c9718a9b:0x4027a76e352e590!8m2!3d-6.8670885!4d107.6122684!16s%2Fg%2F11bc3v41t6!19sChIJm4lxKZWCzi0RBZYQT1f6Q0?authuser=0&hl=id&rclk=1,Taman Hutan Raya Ir. H. Djuanda,"4,6",https://lh5.googleusercontent.com/p/AF1QipNqZP0SMzi4yRb3lqiYcjXHssDOeFnGPv1euCKv=w1220-h920-k-no,Jawa Barat,"Kecamatan Coblong, Kota Bandung","Taman Hutan Raya Ir. H. Djuanda adalah kawasan hutan lindung yang menawarkan keindahan alam serta berbagai jalur trekking untuk pengunjung. Di sini, pengunjung dapat menikmati udara segar sambil menjelajahi flora dan fauna lokal. Terdapat juga beberapa situs sejarah seperti gua-gua peninggalan Belanda dan jembatan kuno yang menambah daya tarik tempat ini. Ini adalah lokasi ideal bagi pecinta alam dan petualangan.",Hutan/Taman Nasional
https://www.google.com/maps/place/Kebun+Raya+Cibodas/data=!4m7!3m6!1s0x2e69b847b001605b:0x3039dcd3558f8900!8m2!3d-6.7377887!4d107.0143416!16s%2Fg%2F11bc26f643!19sChIJWxABsUewai4RABm_jm8-wU?authuser=0&hl=id&rclk=1,Kebun Raya Cibodas,"4,6",https://lh5.googleusercontent.com/p/AF1QipNU-so-7P1opS61shavcGmJsjX1kAKmhGp-22Y=w1220-h920-k-no,Jawa Barat,"Cibodas, Kabupaten Cianjur","Kebun Raya Cibodas adalah salah satu kebun raya tertua di Indonesia yang memiliki koleksi tanaman tropis dan subtropis yang sangat beragam. Dengan luas lebih dari 100 hektar, kebun ini menawarkan berbagai jalur jalan setapak untuk berjalan-jalan sambil menikmati keindahan alam. Pengunjung dapat menemukan taman bunga, koleksi anggrek langka, serta air terjun kecil yang menambah pesona kebun ini. Kebun Raya Cibodas juga sering digunakan sebagai lokasi penelitian botani.",Taman Rekreasi
https://www.google.com/maps/place/Curug+Cikaso/data=!4m7!3m6!1s0x2e68574a9b053023:0x50e656745285034b!8m2!3d-7.3557823!4d106.4615126!16s%2Fg%2F11b6g0q0z9!19sChIJIzgFm6yJhy4RKyUB-jnIkRQ?authuser=0&hl=id&rclk=1,Curug Cikaso,"4,6",https://lh5.googleusercontent.com/p/AF1QipNYl-BD-2Xc8eslvK084Pg_SbyuEFJlFCDwqrhw=w1220-h920-k-no,Jawa Barat,"Kecamatan Surade, Kabupaten Sukabumi",Curug Cikaso adalah air terjun yang indah dengan ketinggian sekitar 50 meter dan dikelilingi oleh hutan lebat. Air terjun ini memiliki tiga tingkat dengan kolam alami di bawahnya yang cocok untuk berenang. Suasana tenang dan pemandangan alam yang memukau membuatnya menjadi tempat ideal untuk bersantai atau berfoto. Akses menuju curug ini memerlukan sedikit usaha dengan berjalan kaki melalui jalur setapak yang menantang.,Air Terjun
https://www.google.com/maps/place/Taman+Wisata+Goa+Sunyaragi+Cirebon/data=!4m7!3m6!1s0x2e6f1df257d4d4fb:0x8d4ea2ef1ff1103d!8m2!3d-6.737365!4d108.542758!16s%2Fg%2F120s1tt4!19sChIJ-9TUV_Idby4RPRDxH--iTo0?authuser=0&hl=id&rclk=1,Taman Wisata Goa Sunyaragi Cirebon,"4,4",https://lh5.googleusercontent.com/p/AF1QipNWHmwGhLaBfIUaMGhygRMaF7nelIyYpGvRc_M=w1220-h920-k-no,Jawa Barat,"Kecamatan Kesambi, Kota Cirebon",Taman Wisata Goa Sunyaragi adalah situs bersejarah dengan gua-gua alami yang dibangun pada abad ke-18 sebagai tempat peristirahatan Sultan Cirebon. Tempat ini menawarkan pemandangan arsitektur unik dengan ornamen batuan alami dan kolam-kolam kecil di sekitarnya. Pengunjung dapat menjelajahi gua-gua sambil belajar tentang sejarah budaya Cirebon serta menikmati suasana tenang di taman sekitarnya,Goa
https://www.google.com/maps/place/Kebun+Raya+Bogor/data=!4m7!3m6!1s0x2e690c9659a4c4c9:0x5b24a59834965d72!8m2!3d-6.5983277!4d106.8035945!16s%2Fg%2F11b61x6n34!19sChIJObmUWaC4ai4ReVZ21VoQaaE?authuser=0&hl=id&rclk=1,Kebun Raya Bogor,"4,7",https://lh5.googleusercontent.com/p/AF1QipPyrHksJVWQT6o-kZhWyguH2qfqiCBDXFFTZlCC=w1220-h920-k-no,Jawa Barat,"Bogor Tengah, Kota Bogor","Kebun Raya Bogor adalah kebun botani terbesar di Indonesia yang menyimpan ribuan spesies tanaman dari seluruh dunia. Dengan luas sekitar 87 hektar, kebun ini merupakan tempat ideal untuk berjalan-jalan santai sambil menikmati keindahan alam dan udara segar. Di dalamnya terdapat berbagai koleksi tanaman langka serta fasilitas edukasi mengenai botani. Kebun Raya Bogor juga sering menjadi lokasi penelitian ilmiah.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Nasional+Gunung+Gede+Pangrango/data=!4m7!3m6!1s0x2e69a9e14914a16b:0x3039dcd355971f00!8m2!3d-6.7809291!4d106.9808792!16s%2Fg%2F11clq048c2!19sChIJmxkUkVd3ai4RDxkzFTdT7A?authuser=0&hl=id&rclk=1,Taman Nasional Gunung Gede Pangrango,"4,7",https://lh5.googleusercontent.com/p/AF1QipNVsrgq749Xga0HDIDVqvLTFrkmysFvxHWwTUxN=w1220-h920-k-no,Jawa Barat,"Kecamatan Cipanas, Kabupaten Cianjur & Kecamatan Sukabumi","Taman Nasional Gunung Gede Pangrango adalah kawasan konservasi yang melindungi dua gunung aktif yaitu Gunung Gede dan Gunung Pangrango. Tempat ini menawarkan berbagai jalur pendakian bagi para pecinta alam serta keanekaragaman hayati yang kaya termasuk flora endemik seperti Edelweiss. Selain pendakian, pengunjung juga dapat menikmati keindahan air terjun dan pemandangan alam sekitar.",Gunung/Bukit
https://www.google.com/maps/place/Papandayan+Mountain/data=!4m7!3m6!1s0x2e68e33a069c2c6f:0x3039dcd355a37e00!8m2!3d-7.3202157!4d107.7323819!16s%2Fg%2F11b6651944!19sChIJb0mcBp-Gzi0RABLmG1HMHM?authuser=0&hl=id&rclk=1,Gunung Papandayan,"4,6",https://lh5.googleusercontent.com/p/AF1QipM29AJJMbO2TJ-4Sh2w_7hGQbg2NdMtrUd8x8x-=w1220-h920-k-no,Jawa Barat,"Garut Selatan, Kabupaten Garut","Gunung Papandayan adalah gunung berapi aktif dengan pemandangan kawah belerang yang menakjubkan serta hutan mati akibat letusan sebelumnya. Pendakian ke puncak gunung ini relatif mudah dan cocok untuk pemula. Selama perjalanan menuju puncak, pengunjung akan disuguhi pemandangan alam yang indah serta kesempatan untuk melihat flora unik seperti bunga Edelweiss di sepanjang jalur pendakian.",Gunung/Bukit
