LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Kawasan+Wisata+Kota+Tua+Jakarta/data=!4m7!3m6!1s0x2e69ec2a940017ed:0xdfce12d4a0938133!8m2!3d-6.1350687!4d106.8136795!16s%2Fg%2F11d_v9mf_f!19sChIJ7RcAlCrsaS4RM4GToNQSzt8?authuser=0&hl=id&rclk=1,Kawasan Wisata Kota Tua Jakarta,"4,6",https://lh5.googleusercontent.com/p/AF1QipNYvEWZtQMsJjFxoKqy4OPayrrPVniwLAdvQlIs=w1220-h920-k-no,DKI Jakarta,"Pinangsia, Taman Sari, Kota Jakarta Barat","Kawasan Wisata Kota Tua Jakarta adalah sebuah distrik bersejarah yang menampilkan arsitektur kolonial Belanda dan merupakan pusat budaya serta sejarah Jakarta. Dikenal sebagai Batavia pada masa kolonial, kawasan ini memiliki banyak museum dan bangunan bersejarah yang menarik untuk dijelajahi. Pengunjung dapat menikmati suasana yang kaya akan sejarah sambil mengunjungi berbagai tempat seperti Museum Sejarah Jakarta dan Museum Wayang. Kawasan ini juga sering menjadi lokasi pertunjukan seni dan kuliner yang menggugah selera, menjadikannya sebagai destinasi wisata yang populer di kalangan masyarakat lokal maupun wisatawan asing. Dengan luas sekitar 130 hektare, Kota Tua menawarkan pengalaman menarik bagi pengunjung dari segala usia",Museum/Sejarah
https://www.google.com/maps/place/Taman+Impian+Jaya+Ancol/data=!4m7!3m6!1s0x2e69f47477efd771:0x85206a9cc2c15358!8m2!3d-6.1252747!4d106.8335569!16zL20vMDg5OWR6!19sChIJcdfvd3T0aS4RWFPBwpxqIIU?authuser=0&hl=id&rclk=1,Taman Impian Jaya Ancol,"4,5",https://lh5.googleusercontent.com/p/AF1QipOGoIHy_v7bscQSYRqkG3XXNoGvuDsPBj6VyoBA=w1220-h920-k-no,DKI Jakarta,"Ancol, Pademangan, Kota Jakarta Utara","Taman Impian Jaya Ancol adalah salah satu taman rekreasi terbesar di Jakarta yang menawarkan berbagai atraksi hiburan untuk seluruh keluarga. Di dalam kawasan ini terdapat Dunia Fantasi, Sea World Indonesia, dan berbagai wahana air serta pantai buatan. Ancol menjadi tempat ideal untuk bersantai sambil menikmati keindahan pantai dan berbagai aktivitas menarik seperti olahraga air dan pertunjukan seni. Selain itu, pengunjung juga dapat menemukan berbagai restoran dan kafe yang menyajikan kuliner khas Indonesia dan internasional. Dengan suasana yang ceria dan beragam pilihan aktivitas, Taman Impian Jaya Ancol selalu ramai dikunjungi oleh keluarga dan wisatawan",Taman Rekreasi
https://www.google.com/maps/place/Taman+Wisata+Alam+Mangrove+Angke+Kapuk/data=!4m10!3m9!1s0x2e6a1d2589502ba3:0xc39c90629ab16290!5m2!4m1!1i2!8m2!3d-6.1064903!4d106.7368887!16s%2Fg%2F1pzpnxtjc!19sChIJoytQiSUdai4RkGKxmmKQnMM?authuser=0&hl=id&rclk=1,Taman Wisata Alam Mangrove Angke Kapuk,"4,3",https://lh5.googleusercontent.com/p/AF1QipOZfQ-BI08X5lfc-ioINqsHwwpnppXZOKmcRjnp=w1220-h920-k-no,DKI Jakarta,"Kamal Muara, Penjaringan, Kota Jakarta Utara","Taman Wisata Alam Mangrove Angke Kapuk merupakan area konservasi mangrove yang menawarkan keindahan alam serta edukasi tentang ekosistem mangrove. Tempat ini menjadi habitat bagi berbagai spesies burung dan satwa lainnya serta menyediakan jalur trekking bagi pengunjung untuk menjelajahi keindahan alamnya. Di sini, pengunjung bisa menikmati suasana tenang sambil melakukan aktivitas seperti birdwatching atau sekadar berjalan-jalan di jembatan kayu yang menghubungkan area mangrove. Selain itu, taman ini juga berperan penting dalam pelestarian lingkungan dengan memberikan informasi kepada masyarakat tentang pentingnya menjaga ekosistem mangrove",Hutan/Taman Nasional
https://www.google.com/maps/place/Taman+Suropati/data=!4m7!3m6!1s0x2e69f416e4052ef9:0x8b3359cdbfba5a81!8m2!3d-6.199387!4d106.8326333!16s%2Fg%2F120z1syk!19sChIJ-S4F5Bb0aS4RgVq6v81ZM4s?authuser=0&hl=id&rclk=1,Taman Suropati,"4,6",https://lh5.googleusercontent.com/p/AF1QipNTKlzXIJ4VXspZ21qz_RKh2cvjX4hXnbsKgYU-=w1220-h920-k-no,DKI Jakarta,"Menteng, Kota Jakarta Pusat","Taman Suropati adalah taman kota yang indah dengan suasana tenang di tengah hiruk-pikuk Jakarta. Taman ini dikelilingi oleh pepohonan rindang dan dilengkapi dengan jalur pejalan kaki serta area duduk yang nyaman. Banyak pengunjung datang ke sini untuk bersantai atau berolahraga ringan seperti jogging dan yoga. Selain itu, taman ini sering dijadikan lokasi untuk berbagai acara seni dan budaya lokal. Dengan desain lanskap yang menarik dan fasilitas yang memadai, Taman Suropati menjadi tempat favorit bagi warga Jakarta untuk melepas penat",Taman Rekreasi
https://www.google.com/maps/place/Jakarta+AQuarium+Safari/data=!4m7!3m6!1s0x2e69f7fb7dfbb9a3:0xde7bf875b06023b1!8m2!3d-6.1749533!4d106.7900155!16s%2Fg%2F11qq01l_3l!19sChIJo7n7ffv3aS4RsSNgsHX4e94?authuser=0&hl=id&rclk=1,Jakarta AQuarium Safari,"4,7",https://lh5.googleusercontent.com/p/AF1QipN9FmawC363JlyAnSTsG_XOHCMw95p5IJnxkf_3=w1220-h920-k-no,DKI Jakarta,"Ancol, Pademangan, Kota Jakarta Utara","Jakarta AQuarium Safari adalah destinasi wisata edukatif yang menggabungkan pengalaman aquarium dengan safari hewan darat dan laut. Di sini pengunjung dapat melihat berbagai spesies ikan dan hewan eksotis lainnya dalam habitat mereka yang dirancang menyerupai lingkungan asli mereka. Selain menikmati pemandangan hewan-hewan tersebut, pengunjung juga dapat mengikuti program edukasi tentang konservasi laut dan perlindungan hewan langka. Tempat ini sangat cocok untuk keluarga yang ingin memberikan pengalaman belajar yang menyenangkan bagi anak-anak",Lainnya
https://www.google.com/maps/place/Allianz+Eco+Park/data=!4m7!3m6!1s0x2e6a1e1a241e3a9d:0x9ecf31ac76753a1a!8m2!3d-6.1257185!4d106.836356!16s%2Fg%2F11bc7twhcf!19sChIJnToeJBoeai4RGjp1dqwxz54?authuser=0&hl=id&rclk=1,Allianz Eco Park,"4,6",https://lh5.googleusercontent.com/p/AF1QipPcgpxUtzUrPWwhKLqEKNQ_UP9kXeSfe730SDJF=w1220-h920-k-no,DKI Jakarta,"Ancol, Pademangan, Kota Jakarta Utara",Allianz Eco Park adalah taman rekreasi yang mengusung konsep ramah lingkungan dengan berbagai fasilitas edukatif seputar alam dan keberlanjutan. Di dalamnya terdapat area bermain anak-anak serta jalur sepeda yang dikelilingi oleh tanaman hijau dan pepohonan rimbun. Pengunjung dapat menikmati berbagai kegiatan outdoor sambil belajar tentang pentingnya menjaga lingkungan hidup melalui program-program edukasi yang disediakan di taman ini. Allianz Eco Park menjadi pilihan tepat bagi mereka yang ingin bersantai sambil meningkatkan kesadaran lingkungan,Taman Rekreasi
https://www.google.com/maps/place/Taman+Situ+Lembang/data=!4m7!3m6!1s0x514107ef6417075:0xdf97f027bb9bcd42!8m2!3d-6.1973783!4d106.8343448!16s%2Fg%2F11bzq3fvt7!19sChIJdXBB9n4QFAURQs2buyfwl98?authuser=0&hl=id&rclk=1,Taman Situ Lembang,"4,6",https://lh5.googleusercontent.com/p/AF1QipN9xXLyzWOndqfxUUs-qJZIJNjx74c7fH2BRXeb=w1220-h920-k-no,DKI Jakarta,"Menteng, Kota Jakarta Pusat ","Taman Situ Lembang adalah taman kota yang memiliki sebuah situ (danau kecil) di tengahnya, menciptakan suasana asri di tengah kota metropolitan Jakarta. Tempat ini sering digunakan oleh warga untuk berolahraga seperti jogging atau bersepeda di sekitar situ sambil menikmati pemandangan alam yang indah. Di sekitar taman terdapat berbagai fasilitas seperti area bermain anak-anak dan tempat duduk untuk bersantai. Taman ini juga menjadi lokasi berkumpulnya komunitas pecinta alam untuk melakukan kegiatan pelestarian lingkungan",Danau
https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/data=!4m7!3m6!1s0x2e69ed50d076a261:0x73127b9ecf2da0c!8m2!3d-6.3020386!4d106.8898924!16zL20vMDhiaHFr!19sChIJYaJ20FDtaS4RDNry7LknMQc?authuser=0&hl=id&rclk=1,Taman Mini Indonesia Indah,"4,6",https://lh5.googleusercontent.com/p/AF1QipMx_sCRNmqZCZZtOfYQ660E1b0vUC7sJSvwOGx3=w1220-h920-k-no,DKI Jakarta,"Ceger, Cipayung, Kota Jakarta Timur",Taman Mini Indonesia Indah (TMII) adalah taman rekreasi seluas 150 hektare yang menampilkan kebudayaan Indonesia dari berbagai provinsi melalui miniatur rumah adat dan pameran budaya lainnya. TMII juga memiliki museum-museum menarik seperti Museum Transportasi dan Museum Sejarah Peradaban Islam Indonesia serta taman-taman indah untuk bersantai keluarga. Tempat ini sangat cocok bagi wisatawan domestik maupun mancanegara untuk mengenal lebih dekat keragaman budaya Indonesia dalam satu lokasi,Lainnya
https://www.google.com/maps/place/Taman+Margasatwa+Ragunan/data=!4m7!3m6!1s0x2e69edfdb17f7b7d:0xf9dd2a3f5ab5069a!8m2!3d-6.3059887!4d106.820353!16zL20vMDdfZmRo!19sChIJfXt_sf3taS4Rmga1Wj8q3fk?authuser=0&hl=id&rclk=1,Taman Margasatwa Ragunan,"4,5",https://lh5.googleusercontent.com/p/AF1QipODHVnlmNtyn38i5Bgh4Gqb7Y98v_1NzRDXjhO6=w1220-h920-k-no,DKI Jakarta,Ragunan Pasar Minggu Kota Jakarta Selatan,Taman Margasatwa Ragunan adalah kebun binatang terbesar di Indonesia dengan koleksi lebih dari 3 ribu hewan dari ratusan spesies berbeda termasuk satwa langka dari Indonesia maupun luar negeri. Tempat ini tidak hanya berfungsi sebagai kebun binatang tetapi juga sebagai pusat konservasi satwa liar dan edukasi bagi masyarakat tentang pentingnya pelestarian satwa dan habitatnya. Pengunjung dapat menikmati suasana hijau sambil belajar tentang berbagai spesies hewan melalui program-program edukatif,Lainnya
https://www.google.com/maps/place/Taman+Pandang+Istana/data=!4m7!3m6!1s0x2e69f5d4058a4bbf:0xdf7aecafd6f46e32!8m2!3d-6.1721641!4d106.8233829!16s%2Fg%2F11cp5ddmg8!19sChIJv0uKBdT1aS4RMm701q_set8?authuser=0&hl=id&rclk=1,Taman Pandang Istana,"4,5",https://lh5.googleusercontent.com/p/AF1QipMUnhbilXQKwRIzFu0LzVhZFfbuWBw0EliSExo8=w1220-h920-k-no,DKI Jakarta,"Gambir, Kota Jakarta Pusat",Taman Pandang Istana adalah salah satu ruang terbuka hijau di pusat kota Jakarta dengan pemandangan langsung ke Istana Merdeka serta Monumen Nasional (Monas). Tempat ini sering digunakan oleh masyarakat untuk bersantai atau berolahraga ringan sambil menikmati suasana kota,Taman Rekreasi
