LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Wisata+Jambi+Paradise/data=!4m7!3m6!1s0x2e25843396a160b3:0x8eacdff215797d2b!8m2!3d-1.6689459!4d103.6539111!16s%2Fg%2F11bw2j6bwk!19sChIJs2ChljOEJS4RK315FfLfrI4?authuser=0&hl=id&rclk=1,Taman Wisata Jambi Paradise,"4,2",https://lh5.googleusercontent.com/p/AF1QipOV5kQgetLwo01SXWoGz2wYfGXEvQJ6_fhvlD_2=w1220-h920-k-no,Jambi,"Kecamatan Jambi Selatan, Kota Jambi","Taman Wisata Jambi Paradise adalah destinasi wisata yang sangat populer di Jambi, menawarkan berbagai atraksi menarik untuk pengunjung dari segala usia. Dengan konsep modern, taman ini dilengkapi dengan banyak spot foto yang instagramable, membuatnya menjadi tempat ideal bagi para pecinta fotografi. Di dalamnya terdapat replika Garden by The Bay, labirin unik, dan area bermain anak. Taman ini juga sering menjadi lokasi acara dan festival, menambah daya tariknya bagi pengunjung yang ingin menikmati suasana yang hidup dan berwarna.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Tanggo+Rajo+-+Kota+Jambi/data=!4m7!3m6!1s0x2e258926ab99f4d1:0xb86cb2f11004de04!8m2!3d-1.5879189!4d103.6172342!16s%2Fg%2F11c1tldjrm!19sChIJ0fSZqyaJJS4RBN4EEPGybLg?authuser=0&hl=id&rclk=1,Taman Tanggo Rajo - Kota Jambi,"4,2",https://lh5.googleusercontent.com/p/AF1QipNIMlvnktJmGTDC3kndRIKqh9JixRDSAOuDYlJo=w1220-h920-k-no,Jambi,"Kecamatan Jambi Selatan, Kota Jamb","Taman Tanggo Rajo merupakan ruang terbuka hijau yang menawarkan suasana tenang di tengah hiruk-pikuk kota. Taman ini dilengkapi dengan berbagai fasilitas seperti jogging track, area bermain anak, dan tempat duduk untuk bersantai. Pengunjung dapat menikmati pemandangan indah sambil berjalan-jalan atau bersantai di bawah pepohonan rindang. Taman ini juga sering digunakan untuk kegiatan komunitas dan acara keluarga, menjadikannya tempat yang ideal untuk berkumpul dan bersosialisasi.",Taman Rekreasi
https://www.google.com/maps/place/Wisata+Kampoeng+Radja/data=!4m7!3m6!1s0x2e25887196d9ac25:0x391ca682a715da89!8m2!3d-1.6342753!4d103.5491872!16s%2Fg%2F1pzvnzhpv!19sChIJJazZlnGIJS4RidoVp4KmHDk?authuser=0&hl=id&rclk=1,Wisata Kampoeng Radja,"4,1",https://lh5.googleusercontent.com/p/AF1QipOIt-RowbgkgG2xXF4Inf9EAPVSzCXvbEKAQUWT=w1220-h920-k-no,Jambi,"Kecamatan Jambi Selatan, Kota Jambi","Wisata Kampoeng Radja adalah tempat wisata yang menawarkan pengalaman budaya dan kuliner khas Jambi. Di sini, pengunjung dapat menikmati berbagai makanan tradisional sambil merasakan suasana pedesaan yang asri. Tempat ini juga sering mengadakan pertunjukan seni dan budaya, memberikan kesempatan bagi pengunjung untuk lebih mengenal kebudayaan lokal. Dengan suasana yang nyaman dan ramah, Kampoeng Radja menjadi pilihan menarik untuk keluarga dan wisatawan yang ingin merasakan keunikan Jambi.",Lainnya
https://www.google.com/maps/place/Jembatan+Gentala+Arasy/data=!4m7!3m6!1s0x2e25892177b8b457:0xa72648d09e67b339!8m2!3d-1.586732!4d103.6156861!16s%2Fg%2F11bw3dk3vr!19sChIJV7S4dyGJJS4RObNnntBIJqc?authuser=0&hl=id&rclk=1,Jembatan Gentala Arasy,"4,5",https://lh5.googleusercontent.com/p/AF1QipNMlq6v3t1q-8kpl3sXBY7LBmDGRX78PdydIU0T=w1220-h920-k-no,Jambi,"Kecamatan Jambi Timur, Kota Jambi","Jembatan Gentala Arasy adalah jembatan ikonik di Kota Jambi yang menghubungkan dua sisi Sungai Batanghari. Dengan desain arsitektur yang unik dan pemandangan yang menakjubkan, jembatan ini menjadi salah satu tempat favorit bagi wisatawan dan penduduk setempat untuk bersantai dan berfoto. Di ujung jembatan terdapat Menara Gentala Arasy, sebuah museum yang menyimpan sejarah perkembangan Islam di daerah tersebut. Tempat ini sangat cocok untuk menikmati sore hari sambil melihat aktivitas di sungai.",Lainnya
"https://www.google.com/maps/place/Taman+Hutan+Pinus+PAL+X,+Kota+Jambi/data=!4m7!3m6!1s0x2e2586fdbbd64107:0x519bb0ac55a7bc2e!8m2!3d-1.6732299!4d103.591953!16s%2Fg%2F11fyljz1f2!19sChIJB0HWu_2GJS4RLrynVaywm1E?authuser=0&hl=id&rclk=1","Taman Hutan Pinus PAL X, Kota Jambi","4,2",https://lh5.googleusercontent.com/p/AF1QipP4N1ukrvGx7PhuBQrXUF6UqT6JYcHGu0sbAUKz=w1220-h920-k-no,Jambi,"Kecamatan Kota Jambi, Kota Jambi","Taman Hutan Pinus PAL X adalah destinasi wisata alam yang menawarkan ketenangan di tengah hutan pinus yang sejuk. Tempat ini sangat cocok untuk hiking, piknik, atau sekadar bersantai menikmati keindahan alam. Pengunjung dapat menjelajahi jalur-jalur trekking yang telah disediakan sambil menikmati udara segar dan pemandangan hijau yang menenangkan. Taman ini juga sering menjadi lokasi kegiatan outdoor seperti camping dan fotografi alam.",Hutan/Taman Nasional
https://www.google.com/maps/place/Taman+Anggrek+Sri+Sudewi+-+Jambi/data=!4m7!3m6!1s0x2e25885c09ea9c0d:0x3093b197592c5bae!8m2!3d-1.6058921!4d103.5827289!16s%2Fg%2F11bysjspss!19sChIJDZzqCVyIJS4RrlssWZexkzA?authuser=0&hl=id&rclk=1,Taman Anggrek Sri Sudewi - Jambi,"4,2",https://lh5.googleusercontent.com/p/AF1QipOiNbJbrHuDIHqltoccUICGVjqcuSqHtXZhR_3y=w1220-h920-k-no,Jambi,"Kecamatan Jambi Timur, Kota Jambi",Taman Anggrek Sri Sudewi adalah taman bunga yang menampilkan berbagai jenis anggrek indah dari seluruh Indonesia. Pengunjung dapat berjalan-jalan di antara koleksi anggrek yang beragam sambil menikmati keindahan warna-warni bunga tersebut. Taman ini dirancang dengan baik untuk memberikan pengalaman visual yang menakjubkan serta edukasi tentang berbagai spesies anggrek. Tempat ini sangat ideal bagi pecinta tanaman dan keluarga yang ingin menghabiskan waktu berkualitas bersama anak-anak mereka dalam suasana alami.,Taman Rekreasi
https://www.google.com/maps/place/Sipin+Lake/data=!4m7!3m6!1s0x2e2588fa2f635dcb:0xafd48b021c6fbd0d!8m2!3d-1.5983409!4d103.594535!16s%2Fg%2F11gdz5_r0k!19sChIJy11jL_qIJS4RDb1vHAKL1K8?authuser=0&hl=id&rclk=1,Sipin Lake,"4,2",https://lh5.googleusercontent.com/p/AF1QipNyb9Y-dt2d15E1kTCcG9pvNpQduv3C6uCIJXhV=w1220-h920-k-no,Jambi,"Kecamatan Danau Sipin, Kota Jambi",Danau Sipin adalah salah satu destinasi wisata alam terpopuler di Jambi dengan pemandangan alam yang memukau. Danau ini dikelilingi oleh perumahan khas Melayu dan menawarkan berbagai aktivitas rekreasi air seperti perahu dayung dan memancing. Suasana tenang di sekitar danau membuatnya menjadi tempat ideal untuk bersantai atau piknik bersama keluarga. Pengunjung dapat menikmati keindahan alam sambil menyaksikan kehidupan sehari-hari masyarakat sekitar yang berinteraksi dengan lingkungan mereka.,Danau
https://www.google.com/maps/place/Wisata+Danau+Sipin+Island/data=!4m7!3m6!1s0x2e2589329e044eb9:0xbe56716b83bc4369!8m2!3d-1.5959322!4d103.5946755!16s%2Fg%2F11f6gj3rrh!19sChIJuU4EnjKJJS4RaUO8g2txVr4?authuser=0&hl=id&rclk=1,Wisata Danau Sipin Island,"4,3",https://lh5.googleusercontent.com/p/AF1QipNLNL1auG-TtrF0b6Ck25jRXc9fwVBgtYrNV8pX=w1220-h920-k-no,Jambi,"Kecamatan Danau Sipin, Kota Jambi",Wisata Danau Sipin Island adalah sebuah pulau kecil di tengah Danau Sipin yang menawarkan pengalaman unik bagi para pengunjung. Pulau ini dilengkapi dengan fasilitas rekreasi seperti area bermain anak dan tempat duduk untuk bersantai sambil menikmati pemandangan air dan pepohonan sekitarnya. Pengunjung dapat melakukan aktivitas seperti berkeliling pulau atau sekadar bersantai menikmati suasana damai jauh dari keramaian kota. Tempat ini sangat cocok untuk liburan keluarga atau kegiatan kelompok kecil.,Danau
https://www.google.com/maps/place/Taman+Jomblo+Kota+Jambi/data=!4m7!3m6!1s0x2e2586272d465d21:0x5e828779ada312c1!8m2!3d-1.6304855!4d103.6075253!16s%2Fg%2F11cjk3tyyp!19sChIJIV1GLSeGJS4RwRKjrXmHgl4?authuser=0&hl=id&rclk=1,Taman Jomblo Kota Jambi,"4,3",https://lh5.googleusercontent.com/p/AF1QipOtoNmE3cTxHtd6I3OmtbDCulf5-Ec56xDDtpIy=w1220-h920-k-no,Jambi,"Kecamatan Jambi Selatan, Kota Jambi","Taman Jomblo adalah taman rekreasi populer di Kota Jambi yang sering dikunjungi oleh anak muda dan pasangan. Dengan desain modern dan fasilitas lengkap seperti area olahraga, tempat duduk nyaman, serta jalur pejalan kaki, taman ini menjadi tempat ideal untuk bersantai atau berkumpul bersama teman-teman. Suasana taman yang asri dan bersih membuat pengunjung betah berlama-lama di sini sambil menikmati berbagai aktivitas rekreasi ringan seperti jogging atau sekadar berbincang santai.",Taman Rekreasi
https://www.google.com/maps/place/Ancol+Kota+Jambi/data=!4m7!3m6!1s0x2e2589213d64626d:0x3d4765cddb359403!8m2!3d-1.5884232!4d103.6170821!16s%2Fg%2F11c51w52b8!19sChIJbWJkPSGJJS4RA5Q1281lRz0?authuser=0&hl=id&rclk=1,Ancol Kota Jambi,"4,3",https://lh5.googleusercontent.com/p/AF1QipPTgdJ-t9PPEOYmfFmsP7sbNHpP_FdLMCjVC_J1=w1220-h920-k-no,Jambi,"Kecamatan Telanaipura, Kota Jambi","Ancol Kota Jambi merupakan kawasan rekreasi keluarga yang menawarkan berbagai wahana permainan air serta fasilitas hiburan lainnya. Tempat ini sangat cocok untuk dikunjungi oleh keluarga dengan anak-anak karena menyediakan banyak pilihan aktivitas seru seperti kolam renang, permainan air, serta area bermain anak-anak lainnya. Suasana ceria dan penuh warna menjadikan Ancol sebagai pilihan tepat untuk menghabiskan waktu akhir pekan bersama orang tercinta dalam suasana menyenangkan.",Lainnya
