LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Air+Terjun+Grojogan+Sewu/data=!4m7!3m6!1s0x2e798a3aaef24383:0x3d3da6236af2202a!8m2!3d-7.6615335!4d111.1286395!16s%2Fm%2F056n6r1!19sChIJg0PyrjqKeS4RKiDyaiOmPT0?authuser=0&hl=id&rclk=1,Air Terjun Grojogan Sewu,"4,5",https://lh5.googleusercontent.com/p/AF1QipODCmf5Fg1pB5smXiv1IQUl3lp_nm36XzNQ3peQ=w1220-h920-k-no,Jawa Tengah,"Kecamatan Karanganyar, Kabupaten Karanganyar","Taman Wisata Grojogan Sewu adalah salah satu destinasi wisata alam yang menakjubkan di Jawa Tengah. Nama ""Grojogan Sewu"" secara harfiah berarti ""air terjun seribu,"" yang merujuk pada banyaknya air terjun yang ada di lokasi ini. Dengan ketinggian sekitar 81 meter, air terjun ini dikelilingi oleh hutan lebat, memberikan pengalaman alam yang luar biasa bagi pengunjung. Selain menikmati keindahan air terjun, pengunjung juga dapat melakukan trekking dan hiking di jalur yang telah disediakan. Tempat ini sangat cocok bagi pecinta alam dan petualangan.",Air Terjun
https://www.google.com/maps/place/Taman+Wisata+Kopeng/data=!4m7!3m6!1s0x2e7a7c0c035b9635:0x682b85a56ca2492b!8m2!3d-7.398416!4d110.419317!16s%2Fg%2F11b6s_xdq5!19sChIJNZZbAwx8ei4RK0mibKWFK2g?authuser=0&hl=id&rclk=1,Taman Wisata Kopeng,"4,2",https://lh5.googleusercontent.com/p/AF1QipO-FAeZlvOGBVOX1aILYpYWPLpPPAT2Khg4oelp=w1220-h920-k-no,Jawa Tengah,"Kecamatan Getasan, Kabupaten Semarang","Taman Wisata Kopeng dikenal dengan udara yang sejuk dan pemandangan alam yang indah. Terletak di kaki Gunung Merbabu, tempat ini menawarkan berbagai aktivitas outdoor seperti trekking, camping, dan menikmati kebun bunga yang berwarna-warni. Taman ini juga dilengkapi dengan fasilitas seperti area bermain anak dan tempat bersantai, menjadikannya pilihan ideal untuk keluarga yang ingin berlibur di alam terbuka.",Taman Rekreasi
https://www.google.com/maps/place/Kawasan+Dataran+Tinggi+Dieng/data=!4m7!3m6!1s0x2e700ce34714804d:0xf71779c2d538ad1!8m2!3d-7.2149012!4d109.8994385!16zL20vMGdna3Ay!19sChIJTYAUR-MMcC4R0YpTLZx3cQ8?authuser=0&hl=id&rclk=1,Kawasan Dataran Tinggi Dieng,"4,6",https://lh5.googleusercontent.com/p/AF1QipM2zZ8g7xVszqRsdfGdzPM4msmJkN9VQzf1Q_fg=w1220-h920-k-no,Jawa Tengah,"Kecamatan Batur, Kabupaten Banjarnegara","Dataran Tinggi Dieng merupakan kawasan pegunungan yang terkenal dengan keindahan alamnya. Di sini, pengunjung dapat menemukan berbagai objek wisata menarik seperti Telaga Warna dan Kawah Sikidang. Selain itu, Dieng juga dikenal dengan festival budaya dan seni yang sering diadakan setiap tahunnya. Suasana dingin dan pemandangan yang memukau menjadikan Dieng sebagai salah satu destinasi wisata favorit di Jawa Tengah bagi para pecinta alam dan budaya.",Gunung/Bukit
https://www.google.com/maps/place/Bukit+Sikunir/data=!4m7!3m6!1s0x2e700c9f673eedcf:0xb11d96d5bd9e2fe3!8m2!3d-7.2391211!4d109.9242956!16s%2Fg%2F11g8w4stmr!19sChIJz-0-Z58McC4R4y-evdWWHbE?authuser=0&hl=id&rclk=1,Bukit Sikunir,"4,7",https://lh5.googleusercontent.com/p/AF1QipOzHztPW2_gjVv1QMxy-ffGb8_2kxb-Qy4TO-gB=w1220-h920-k-no,Jawa Tengah,"Kecamatan Kejajar, Kabupaten Wonosobo","Bukit Sikunir terkenal sebagai salah satu spot terbaik untuk menyaksikan sunrise di kawasan Dieng. Dengan ketinggian sekitar 2.300 mdpl, pengunjung harus melakukan pendakian untuk mencapai puncaknya. Pemandangan matahari terbit dari Bukit Sikunir sangat memukau dan menjadi daya tarik utama bagi para wisatawan. Selain itu, area sekitar bukit juga menawarkan keindahan alam pegunungan yang masih asri dan segar.",Gunung/Bukit
https://www.google.com/maps/place/Obyek+Wisata+Dieng/data=!4m7!3m6!1s0x2e700c99b1727645:0xab5df4173cfd4500!8m2!3d-7.2340598!4d109.9224411!16s%2Fg%2F11bzs2lcbs!19sChIJRXZysZkMcC4RAEX9PBf0Xas?authuser=0&hl=id&rclk=1,Obyek Wisata Dieng,"4,5",https://lh5.googleusercontent.com/p/AF1QipOdf4kL1ZoQaw1OTasJ-JVF1AqMYRg5BHVLIDPz=w1220-h920-k-no,Jawa Tengah,"Kecamatan Batur, Kabupaten Banjarnegara",Obyek Wisata Dieng mencakup berbagai atraksi menarik seperti Candi Arjuna dan Telaga Warna. Kawasan ini terkenal dengan keindahan alamnya serta kekayaan budaya yang ada di dalamnya. Pengunjung dapat menikmati pemandangan spektakuler dari dataran tinggi serta berpartisipasi dalam festival budaya lokal yang sering digelar di sini. Dieng juga menawarkan pengalaman unik bagi pengunjung untuk belajar tentang sejarah dan tradisi masyarakat setempat.,Lainnya
https://www.google.com/maps/place/Objek+Wisata+Kawasan+Selo/data=!4m7!3m6!1s0x2e7a64f90d39453f:0xfedcac5f05048a43!8m2!3d-7.4999734!4d110.4655797!16s%2Fg%2F1hm32g0xj!19sChIJP0U5Dflkei4RQ4oEBV-s3P4?authuser=0&hl=id&rclk=1,Objek Wisata Kawasan Selo,"4,6",https://lh5.googleusercontent.com/p/AF1QipMnLaIfDw_CiZn27UC-RLJNdojlYh771LBjJGmA=w1220-h920-k-no,Jawa Tengah,"Kecamatan Selo, Kabupaten Boyolali","Objek Wisata Kawasan Selo merupakan tempat yang populer untuk pendakian Gunung Merapi dan Gunung Merbabu. Dengan pemandangan alam yang menakjubkan serta udara segar, kawasan ini menjadi tempat ideal bagi para pendaki dan pecinta alam. Selain itu, terdapat banyak spot foto menarik serta area untuk berkemah bagi pengunjung yang ingin merasakan pengalaman lebih dekat dengan alam.",Gunung/Bukit
https://www.google.com/maps/place/Ketep+Pass+Magelang/data=!4m7!3m6!1s0x2e7a631c52d78667:0xd6899eb201af0678!8m2!3d-7.4944699!4d110.3815682!16s%2Fg%2F1229cx9l!19sChIJZ4bXUhxjei4ReAavAbKeidY?authuser=0&hl=id&rclk=1,Ketep Pass Magelang,"4,5",https://lh5.googleusercontent.com/p/AF1QipNia-Urtl_dkA_LlTU0LtZ25Tql_e_ZdQzzwWGW=w1220-h920-k-no,Jawa Tengah,"Kecamatan Sawangan, Kabupaten Magelang",Ketep Pass adalah tempat wisata yang menawarkan pemandangan spektakuler dari ketinggian dengan latar belakang Gunung Merapi dan Merbabu. Di sini terdapat observatorium untuk melihat aktivitas vulkanik serta area wisata edukasi tentang gunung berapi. Pengunjung dapat menikmati keindahan alam sambil bersantai di kafe-kafe yang tersedia di lokasi ini. Ketep Pass menjadi pilihan tepat untuk menikmati panorama pegunungan sambil belajar tentang geologi.,Gunung/Bukit
https://www.google.com/maps/place/Brown+Canyon/data=!4m7!3m6!1s0x2e708e7e1d16e6c7:0x38cd451e8fbddbc4!8m2!3d-7.0565164!4d110.4862531!16s%2Fg%2F11css5ykx5!19sChIJx-YWHX6OcC4RxNu9jx5FzTg?authuser=0&hl=id&rclk=1,Brown Canyon,"4,2",https://lh5.googleusercontent.com/p/AF1QipPDrmFaStTyUJc7CMU0_nlKaCZJZSoCBiThyGKX=w1220-h920-k-no,Jawa Tengah,"Kecamatan Ungaran Timur, Kabupaten Semarang",Brown Canyon adalah lokasi bekas tambang yang kini menjadi objek wisata unik dengan formasi batuan yang menyerupai ngarai besar. Tempat ini menawarkan pemandangan menakjubkan dengan warna coklat kemerahan dari tanah liatnya yang memberikan kesan dramatis saat matahari terbenam. Brown Canyon menjadi spot foto populer bagi pengunjung yang ingin menangkap keindahan alam sekaligus menjelajahi area bekas tambang tersebut.,Lainnya
https://www.google.com/maps/place/Taman+Wisata+Candi+Borobudur/data=!4m7!3m6!1s0x2e7a8ced83266877:0x2a8e6e33252aa886!8m2!3d-7.6068857!4d110.2094275!16s%2Fg%2F11b6d2wnqz!19sChIJd2gmg-2Mei4RhqgqJTNujio?authuser=0&hl=id&rclk=1,Taman Wisata Candi Borobudur,"4,7",https://lh5.googleusercontent.com/p/AF1QipPV2SF5RbWJz-9S75zNPzdCX_cETotvCzkHc5fZ=w1220-h920-k-no,Jawa Tengah,"Kecamatan Borobudur, Kabupaten Magelang","Candi Borobudur adalah situs warisan dunia UNESCO dan salah satu candi Buddha terbesar di dunia. Dikenal karena arsitekturnya yang megah dan detail reliefnya yang indah, candi ini menjadi tujuan utama wisatawan baik lokal maupun mancanegara. Pengunjung dapat menjelajahi berbagai tingkat candi sambil menikmati pemandangan sekitar yang menakjubkan dari puncaknya. Candi Borobudur juga sering digunakan untuk upacara keagamaan dan festival budaya setiap tahunnya.",Museum/Sejarah
https://www.google.com/maps/place/Wisata+Alam+Curug+Gombong/data=!4m7!3m6!1s0x2e703e1c559c456f:0x909140ef92bc8e7e!8m2!3d-6.9971527!4d109.8693655!16s%2Fg%2F11b6t3g0qh!19sChIJb0WcVRw-cC4Rfo68ku9AkZA?authuser=0&hl=id&rclk=1,Wisata Alam Curug Gombong,"4,2",https://lh5.googleusercontent.com/p/AF1QipNGRFAZv_RWOdIuQXHiSFxZUr06b4Q1RSbjwBIZ=w1220-h920-k-no,Jawa Tengah,"Kecamatan Gombong, Kabupaten Kebumen, Jawa Tengah",Curug Gombong adalah air terjun indah yang terletak di Kebumen dengan ketinggian sekitar 30 meter. Dikelilingi oleh hutan tropis yang rimbun membuat suasana di sekitar curug sangat sejuk dan alami. Pengunjung dapat menikmati keindahan air terjun sambil berfoto atau sekedar bersantai mendengarkan suara gemericik air. Tempat ini menjadi pilihan ideal bagi mereka yang mencari ketenangan dan keindahan alam jauh dari keramaian kota.,Air Terjun
