LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Nasional+Baluran/data=!4m7!3m6!1s0x2dd1249454d7c085:0x67067c7ed3eced4b!8m2!3d-7.8311884!4d114.3875505!16s%2Fm%2F025tbhm!19sChIJhcDXVJQk0S0RS-3s0358Bmc?authuser=0&hl=id&rclk=1,Taman Nasional Baluran,"4,6",https://lh5.googleusercontent.com/p/AF1QipNzGu8rns7hPte0rXyhyicXhRKUU2ouqg8VESFV=w1220-h920-k-no,Jawa Timur,"Kecamatan Banyuputih, Kabupaten Situbondo","Taman Nasional Baluran adalah salah satu taman nasional yang terkenal di Jawa Timur, dikenal karena keanekaragaman hayatinya yang luar biasa. Taman ini memiliki luas sekitar 25.000 hektar dan menawarkan berbagai ekosistem, mulai dari padang savana hingga hutan mangrove. Pengunjung dapat menikmati pemandangan satwa liar seperti banteng, rusa, dan berbagai jenis burung. Taman Nasional Baluran juga dikenal sebagai ""Little Africa"" di Indonesia karena suasana savananya yang mirip dengan benua Afrika. Tempat ini sangat cocok bagi pecinta alam dan fotografer yang ingin menangkap keindahan alam.",Hutan/Taman Nasional
https://www.google.com/maps/place/Wisata+Bukit+Jaddhih/data=!4m7!3m6!1s0x2dd8045eb0acb79d:0x4a24af02fd796f55!8m2!3d-7.082283!4d112.7595396!16s%2Fg%2F11c2r8kctr!19sChIJnbessF4E2C0RVW95_QKvJEo?authuser=0&hl=id&rclk=1,Wisata Bukit Jaddhih,"4,0",https://lh5.googleusercontent.com/p/AF1QipPeQkQINgk8z0ix103nhTq93BHeLXx2X95hoC6H=w1220-h920-k-no,Jawa Timur,"Kecamatan Jaddih, Kabupaten Bangkalan","Wisata Bukit Jaddhih merupakan destinasi yang menawarkan pemandangan alam yang menakjubkan dengan tebing-tebing kapur yang menjulang tinggi. Tempat ini terkenal dengan formasi batuan unik dan panorama yang indah, terutama saat matahari terbenam. Pengunjung dapat melakukan berbagai aktivitas seperti hiking dan berfoto di spot-spot menarik yang disediakan. Selain itu, suasana yang tenang menjadikan Bukit Jaddhih sebagai tempat ideal untuk bersantai dan menikmati keindahan alam. Bukit ini juga sering dijadikan lokasi untuk kegiatan outdoor seperti camping dan trekking.",Gunung/Bukit
https://www.google.com/maps/place/Taman+Rekreasi+Selecta/data=!4m7!3m6!1s0x2e787e762e0d9487:0xb8804cabf1c12b40!8m2!3d-7.8183031!4d112.5253337!16s%2Fg%2F11b7rnf310!19sChIJh5QNLnZ-eC4RQCvB8atMgLg?authuser=0&hl=id&rclk=1,Taman Rekreasi Selecta,"4,5",https://lh5.googleusercontent.com/p/AF1QipMfdOIsRpidpUE8Bznv6C8qPwmBixw8R08jXKtU=w1220-h920-k-no,Jawa Timur,"Kecamatan Bumiaji, Kota Batu","Taman Rekreasi Selecta adalah taman hiburan keluarga yang terletak di Kota Batu, dikenal dengan kebun bunga yang indah dan wahana permainan yang menarik. Taman ini menawarkan berbagai fasilitas rekreasi seperti kolam renang, area bermain anak, dan taman bunga yang memukau. Pengunjung dapat menikmati suasana sejuk pegunungan sambil berjalan-jalan di antara kebun bunga yang berwarna-warni. Taman ini juga dilengkapi dengan restoran dan kafe untuk bersantai setelah beraktivitas. Selecta menjadi pilihan populer bagi keluarga yang ingin menghabiskan waktu berkualitas bersama.",Taman Rekreasi
https://www.google.com/maps/place/Air+Terjun+Coban+Rondo+Pujon/data=!4m7!3m6!1s0x2e7887009890ac2f:0x9f46ac987d3e2274!8m2!3d-7.8846458!4d112.4768237!16s%2Fg%2F113qbkqbp!19sChIJL6yQmACHeC4RdCI-fZisRp8?authuser=0&hl=id&rclk=1,Air Terjun Coban Rondo Pujon,"4,5",https://lh5.googleusercontent.com/p/AF1QipOqgCv5wsPYbd57ua7RaYKFfUZ1rOj5kPbl5ZG3=w1220-h920-k-no,Jawa Timur,"Kecamatan Pujon, Kabupaten Malang","Air Terjun Coban Rondo adalah salah satu air terjun paling terkenal di Jawa Timur dengan ketinggian sekitar 84 meter. Tempat ini dikelilingi oleh hutan lebat dan menawarkan pemandangan alam yang spektakuler. Air terjun ini memiliki kolam di bawahnya yang memungkinkan pengunjung untuk bermain air atau sekadar menikmati keindahan alam sekitar. Selain itu, terdapat jalur trekking menuju air terjun yang memberikan pengalaman petualangan bagi para pengunjung. Coban Rondo juga dilengkapi dengan fasilitas seperti area parkir dan tempat istirahat.",Air Terjun  
https://www.google.com/maps/place/Air+Terjun+Dlundung/data=!4m7!3m6!1s0x2e78781fc520cca9:0x9c60ea727495fe5a!8m2!3d-7.6818774!4d112.5938116!16s%2Fg%2F11b825pbgy!19sChIJqcwgxR94eC4RWv6VdHLqYJw?authuser=0&hl=id&rclk=1,Air Terjun Dlundung,"4,6",https://lh5.googleusercontent.com/p/AF1QipMAW0bYRO4OeOOWWDpyOwj89mNSEyFLmm1uLkhG=w1220-h920-k-no,Jawa Timur,"Kecamatan Trawas, Kabupaten Mojokerto","Air Terjun Dlundung memiliki ketinggian sekitar 50 meter dan dikelilingi oleh hutan tropis yang rimbun. Suara gemuruh air terjun dan pemandangan alam sekitarnya menciptakan suasana damai bagi para pengunjung. Untuk mencapai lokasi air terjun ini, pengunjung harus melewati jalur trekking yang menantang namun menyenangkan. Di sekitar air terjun terdapat area piknik yang cocok untuk bersantai sambil menikmati keindahan alam. Air Terjun Dlundung adalah tempat ideal bagi mereka yang mencari ketenangan dan keindahan alam.",Air Terjun  
https://www.google.com/maps/place/Eco+Active+Park/data=!4m7!3m6!1s0x2e7881617ff5e4f7:0x63c0ef9654873861!8m2!3d-7.8877752!4d112.5266102!16s%2Fg%2F124ygkv4w!19sChIJ9-T1f2GBeC4RYTiHVJbvwGM?authuser=0&hl=id&rclk=1,Eco Active Park,"4,6",https://lh5.googleusercontent.com/p/AF1QipNyH7FlQ0YkQMQqUq5ooO4Q24UraF8BSKd7S0ss=w1220-h920-k-no,Jawa Timur,"Kecamatan Batu, Kota Batu","Eco Active Park adalah taman rekreasi edukatif yang menawarkan berbagai aktivitas luar ruangan dengan fokus pada pelestarian lingkungan. Tempat ini menyediakan wahana permainan interaktif serta edukasi tentang lingkungan hidup dan keberlanjutan. Pengunjung dapat menikmati berbagai kegiatan seperti berkebun, bersepeda, dan permainan air sambil belajar tentang pentingnya menjaga lingkungan. Eco Active Park juga memiliki area piknik dan restoran untuk bersantai setelah beraktivitas. Ini adalah tempat ideal untuk keluarga dan anak-anak untuk belajar sambil bermain.",Lainnya
https://www.google.com/maps/place/Taman+Langit+Gunung+Banyak/data=!4m7!3m6!1s0x2e7887676b453f41:0xb3bb427b64aa4b7b!8m2!3d-7.8545122!4d112.49805!16s%2Fg%2F11fx8wgpsc!19sChIJQT9Fa2eHeC4Re0uqZHtCu7M?authuser=0&hl=id&rclk=1,Taman Langit Gunung Banyak,"4,6",https://lh5.googleusercontent.com/p/AF1QipO7erGITWmDvz6tsgfBXNJQy88OjQmJ8sATSYG1=w1220-h920-k-no,Jawa Timur,"Kecamatan Bumiaji, Kota Batu","Taman Langit Gunung Banyak menawarkan pemandangan spektakuler dari ketinggian serta berbagai aktivitas outdoor seperti paralayang dan trekking. Dari puncak taman ini, pengunjung dapat melihat panorama Kota Batu serta hamparan pegunungan di sekitarnya. Tempat ini sangat populer di kalangan pecinta petualangan dan fotografi karena keindahan alamnya yang menakjubkan. Selain itu, terdapat fasilitas untuk bersantai seperti gazebo dan area makan untuk menikmati makanan sambil menikmati pemandangan.",Gunung/Bukit
https://www.google.com/maps/place/The+Grand+Taman+Safari+Prigen+Jawa+Timur/data=!4m7!3m6!1s0x2dd7d7e760373d7f:0x77f02a789d5a548e!8m2!3d-7.7583372!4d112.6639427!16s%2Fg%2F120qkm52!19sChIJfz03YOfX1y0RjlRanXgq8Hc?authuser=0&hl=id&rclk=1,The Grand Taman Safari Prigen Jawa Timur,"4,6",https://lh5.googleusercontent.com/p/AF1QipMiZtoCmnrKX7L5ZjyIKJmUQkM5cIf--PYeJHzP=w1220-h920-k-no,Jawa Timur,"Kecamatan Prigen, Kabupaten Pasuruan","The Grand Taman Safari Prigen adalah taman safari terbesar di Jawa Timur yang menawarkan pengalaman melihat satwa liar dalam habitat alami mereka. Dengan luas lebih dari 250 hektar, pengunjung dapat menjelajahi taman menggunakan kendaraan pribadi atau bus safari yang disediakan. Berbagai jenis satwa dari seluruh dunia dapat ditemukan di sini, termasuk hewan langka seperti harimau putih dan panda. Taman safari ini juga dilengkapi dengan wahana permainan dan area edukasi tentang konservasi satwa.",Lainnya
https://www.google.com/maps/place/Air+Terjun+Kakek+Bodo/data=!4m7!3m6!1s0x2dd7d7dd85cff7ff:0xaf873e790640552f!8m2!3d-7.7006395!4d112.6237544!16s%2Fg%2F11bv1lq6b3!19sChIJ__fPhd3X1y0RL1VABnk-h68?authuser=0&hl=id&rclk=1,Air Terjun Kakek Bodo,"4,3",https://lh5.googleusercontent.com/p/AF1QipPjZbcBd2f8fE4nrx2fa3SwyweAZiJMQyBG0CgQ=w1220-h920-k-no,Jawa Timur,"Kecamatan Bumiaji, Kota Batu","Air Terjun Kakek Bodo adalah destinasi wisata tersembunyi di Kota Batu dengan ketinggian sekitar 15 meter. Dikenal karena keindahan alamnya yang masih alami dan suasana tenang di sekitarnya, air terjun ini menjadi tempat ideal untuk bersantai dan menikmati ketenangan alam. Pengunjung dapat melakukan trekking menuju lokasi air terjun melalui jalur setapak yang dikelilingi pepohonan hijau. Suara gemuruh air terjun menciptakan suasana damai bagi siapa saja yang mengunjunginya.",Air Terjun  
https://www.google.com/maps/place/Wisata+Air+Taman+Prestasi/data=!4m7!3m6!1s0x2dd7f96134b178a1:0x3ea035154009924a!8m2!3d-7.2618767!4d112.7432029!16s%2Fg%2F11f0kr9tz8!19sChIJoXixNGH51y0RSpIJQBU1oD4?authuser=0&hl=id&rclk=1,Wisata Air Taman Prestasi,"4,7",https://lh5.googleusercontent.com/p/AF1QipMZQpmLE15bBIYjAh82W4z7BpIPK7pa4WG_al1N=w1220-h920-k-no,Jawa Timur,"Kecamatan Batu, Kota Batu","Wisata Air Taman Prestasi adalah taman rekreasi yang menawarkan berbagai wahana air dan fasilitas bermain yang menarik. Terletak di tengah Kota Batu, taman ini sangat cocok untuk keluarga yang ingin menikmati waktu bersama anak-anak. Dengan berbagai kolam renang, seluncuran air, dan area bermain, pengunjung dapat bersantai dan bersenang-senang. Selain itu, taman ini juga dikelilingi oleh pemandangan alam yang hijau dan sejuk, memberikan suasana yang nyaman untuk berlibur. Taman Prestasi menjadi pilihan populer bagi warga lokal dan wisatawan.",Taman Rekreasi
