LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Khatulistiwa/data=!4m7!3m6!1s0x31e2a75b7f18d41d:0x959992e0a47ea028!8m2!3d0.0009995!4d109.3222052!16s%2Fm%2F05b623h!19sChIJHdQYf1un4jERKKB-pOCSmZU?authuser=0&hl=id&rclk=1,Taman Khatulistiwa,"4,4",https://lh5.googleusercontent.com/p/AF1QipM07BJVuf8IqZlyyg-mKCH9JSQeOpJ9Tn5ekvMX=w1220-h920-k-no,Kalimantan Barat,Kota Pontianak,"Taman Khatulistiwa adalah destinasi wisata yang terletak di titik nol Khatulistiwa, menjadikannya lokasi yang unik dan menarik. Taman ini menawarkan berbagai aktivitas, termasuk mengunjungi patung Khatulistiwa dan jembatan gantung yang melintasi sungai. Pengunjung dapat menikmati keindahan alam dengan pepohonan hijau dan area taman yang luas. Suasana damai di sekitar taman menjadi pelarian dari kesibukan kota, dan terdapat museum yang menyajikan informasi tentang garis Khatulistiwa. Taman ini juga memiliki berbagai warung makan yang menyajikan kuliner khas Kalimantan Barat.",Lainnya
https://www.google.com/maps/place/Bukit+jamur+bengkayang/data=!4m7!3m6!1s0x31e335d44160f9c3:0xfbf8e1f1f075c41f!8m2!3d0.7781171!4d109.4754982!16s%2Fg%2F11b6thg9rh!19sChIJw_lgQdQ14zERH8R18PHh-Ps?authuser=0&hl=id&rclk=1,Bukit jamur bengkayang,"4,6",https://lh5.googleusercontent.com/p/AF1QipOQkEMFqV74MKRtBCKxEAaX0zYARJ0jd5bt6ZAq=w1220-h920-k-no,Kalimantan Barat,"Kecamatan Bengkayang, Kabupaten Bengkayang","Bukit Jamur dikenal dengan formasi bebatuan besar yang menyerupai jamur raksasa, menciptakan pemandangan yang eksotis dan Instagramable. Di puncaknya, pengunjung disuguhkan pemandangan awan putih yang menutupi bukit, memberikan kesan seolah berada di atas awan. Bukit ini menjadi tempat favorit bagi para pecinta fotografi dan petualangan, serta menawarkan pengalaman hiking yang memuaskan. Keindahan alamnya membuat Bukit Jamur menjadi destinasi wajib bagi wisatawan yang berkunjung ke Kalimantan Barat.",Gunung/Bukit
https://www.google.com/maps/place/Air+Terjun+Mananggar/data=!4m7!3m6!1s0x31fc8d4bf626ed4f:0x72d88065606cd770!8m2!3d0.8539274!4d110.1581455!16s%2Fg%2F11bw1517pp!19sChIJT-0m9kuN_DERcNdsYGWA2HI?authuser=0&hl=id&rclk=1,Air Terjun Mananggar,"4,4",https://lh5.googleusercontent.com/p/AF1QipP_RtSVLwKT21r4-aldbxTBFgf7OoZ4khJojvy9=w1220-h920-k-no,Kalimantan Barat,"Kecamatan Air Besar, Kabupaten Landak","Air Terjun Mananggar, juga dikenal sebagai Niagara dari Borneo, memiliki ketinggian sekitar 60 meter dan lebar lebih dari 60 meter. Terletak di hulu Sungai Landak, air terjun ini menawarkan pesona alam yang menakjubkan meskipun aksesnya cukup sulit. Wisatawan biasanya menikmati keindahan dari atas air terjun karena jalur menuju dasar air terjun yang tertutup belukar. Perjalanan menuju lokasi ini memerlukan waktu enam hingga tujuh jam dari Pontianak, namun keindahan air terjun ini sangat memuaskan bagi para petualang.",Air Terjun
https://www.google.com/maps/place/Danau+Belibis+tayan/data=!4m7!3m6!1s0x31fd61eb7627a8b9:0xd33799007fe18628!8m2!3d0.0490965!4d110.0040305!16s%2Fg%2F11fl0x3f4w!19sChIJuagnduth_TERKIbhfwCZN9M?authuser=0&hl=id&rclk=1,Danau Belibis tayan,"4,3",https://lh5.googleusercontent.com/p/AF1QipNsyjIhZ5IimEF2VJapPMLABN51fTNQ9_LBj0WF=w1220-h920-k-no,Kalimantan Barat,"Tayan Hilir, Kabupaten Sanggau","Danau Belibis adalah destinasi wisata yang terkenal dengan pasir putihnya yang bersih dan air jernih seperti miniatur lautan. Dikelilingi oleh hutan dan pemandangan alam yang indah, danau ini menjadi tempat ideal untuk berlibur dan bersantai. Sebelumnya merupakan area pertambangan emas tanpa izin, kini Danau Belibis dikelola dengan baik dan semakin dikenal oleh masyarakat sebagai lokasi wisata menarik. Pengunjung dapat menikmati suasana tenang sambil melihat burung belibis yang berkoloni di sekitar danau.",Danau
https://www.google.com/maps/place/Pantai+Jungkat+%26+Resort/data=!4m7!3m6!1s0x31e2a1fc3b8fafe3:0x6bb8ad96f083dc76!8m2!3d0.065402!4d109.192148!16s%2Fg%2F11b6yzrc9_!19sChIJ46-PO_yh4jERdtyD8JatuGs?authuser=0&hl=id&rclk=1,Pantai Jungkat & Resort,"4,2",https://lh5.googleusercontent.com/p/AF1QipNoOD248LlqlQyT4Do5B7B_JufQGiYO6wA5TV3j=w1220-h920-k-no,Kalimantan Barat,"Sei Nipah, Kabupaten Mempawah","Pantai Jungkat adalah tempat ideal untuk bersantai dengan pasir putih dan air laut jernih. Selain menikmati keindahan alam pantai, pengunjung dapat mencoba berbagai wahana air seperti jet ski dan banana boat. Pantai ini juga terkenal dengan pemandangan matahari terbenam yang spektakuler. Dengan banyaknya warung makan di sekitarnya, pengunjung dapat mencicipi kuliner lokal sambil menikmati suasana pantai yang tenang. Jungkat Beach merupakan pilihan tepat untuk liburan keluarga atau teman-teman.",Pantai
https://www.google.com/maps/place/Air+Terjun+Bedawat/data=!4m7!3m6!1s0x31fceb31007e4891:0x6bf293803031b794!8m2!3d0.8443975!4d110.0122264!16s%2Fg%2F11crstglgr!19sChIJkUh-ADHr_DERlLcxMICT8ms?authuser=0&hl=id&rclk=1,Air Terjun Bedawat,"4,9",https://lh5.googleusercontent.com/p/AF1QipNs0pfvkHphCKv-EdCEt09VURDieoeO8NM-kPhT=w1220-h920-k-no,Kalimantan Barat,"Kecamatan Air Besar, Kabupaten Landak","Air Terjun Bedawat adalah keindahan alam yang terletak di tengah hutan tropis Kalimantan. Memiliki tujuh tingkat dengan ketinggian yang bervariasi, air terjun ini menawarkan pemandangan yang memukau dengan aliran air yang deras dan jernih. Suasana di sekitar air terjun sangat alami, dikelilingi oleh pepohonan besar dan suara kicauan burung. Akses menuju lokasi ini cukup menantang, memerlukan perjalanan sekitar 8 jam dari Pontianak dan dilanjutkan dengan trekking selama 45 menit. Keindahan dan keaslian alam di Air Terjun Bedawat menjadikannya tempat yang ideal untuk para pecinta alam dan petualangan",Air Terjun
https://www.google.com/maps/place/Bukit+Rel/data=!4m7!3m6!1s0x31e2a71f00d911c7:0xf2cb0fbf30b9bb53!8m2!3d0.0327332!4d109.3099092!16s%2Fg%2F11bw82zg4g!19sChIJxxHZAB-n4jERU7u5ML8Py_I?authuser=0&hl=id&rclk=1,Bukit Rel,"4,0",https://lh5.googleusercontent.com/p/AF1QipPmLJS2v9rzP8O_nV3rnSsrI09SYuBuLMSNqqSv=w1220-h920-k-no,Kalimantan Barat,"Pontianak Utara, Kota Pontianak","Bukit Rel adalah satu-satunya bukit yang ada di Kota Pontianak, dengan ketinggian sekitar 40 meter. Dikenal sebagai lokasi bersejarah, bukit ini dulunya merupakan tempat pengerukan batu oleh Belanda untuk pembangunan kota. Di puncaknya terdapat pantak, yang digunakan sebagai lokasi ritual masyarakat adat Dayak. Bukit ini berpotensi untuk dikembangkan menjadi destinasi wisata yang menarik, dengan akses yang cukup mudah dari pusat kota. Pemerintah setempat berencana untuk meningkatkan fasilitas dan akses menuju Bukit Rel agar lebih dikenal oleh masyarakat dan wisatawan.",Gunung/Bukit
https://www.google.com/maps/place/Air+Terjun+Riam+Dait/data=!4m7!3m6!1s0x31fcf0ea92774ffb:0xcf2d8d96337a00c4!8m2!3d0.7264102!4d110.2104838!16s%2Fg%2F11c1g6m45k!19sChIJ-093kurw_DERxAB6M5aNLc8?authuser=0&hl=id&rclk=1,Air Terjun Riam Dait,"4,6",https://lh5.googleusercontent.com/p/AF1QipP2Ne3oL_YztP6BBYFNzMGRgftZxwItC9wig3yA=w1220-h920-k-no,Kalimantan Barat,"Kecamatan Sekadau Hilir, Kabupaten Sekadau","Air Terjun Riam Dait adalah salah satu air terjun yang menawarkan keindahan alam yang menakjubkan di Kalimantan Barat. Dikelilingi oleh hutan lebat, air terjun ini memiliki aliran air yang jernih dan segar. Tempat ini sangat cocok untuk pengunjung yang ingin bersantai sambil menikmati suara alam dan keindahan pemandangan sekitar. Pengunjung juga dapat melakukan trekking untuk mencapai lokasi air terjun ini, menjadikannya pengalaman petualangan yang menyenangkan.",Air Terjun
https://www.google.com/maps/place/WISATA+DESA+CIPTA+KARYA/data=!4m7!3m6!1s0x31e3376ec163ff6b:0x7fce52d2620bd786!8m2!3d0.8173401!4d109.4318956!16s%2Fg%2F11kwlk1vsb!19sChIJa_9jwW434zERhtcLYtJSzn8?authuser=0&hl=id&rclk=1,WISATA DESA CIPTA KARYA,"5,0",https://lh5.googleusercontent.com/p/AF1QipNgTsMJkYhPHa5o8St-6niKijwUxDAu8LW-mBoC=w1220-h920-k-no,Kalimantan Barat,"Kecamatan Mempawah Hilir, Kabupaten Mempawah","Wisata Desa Cipta Karya merupakan destinasi wisata berbasis komunitas yang menonjolkan budaya lokal dan kerajinan tangan masyarakat setempat. Di sini, pengunjung dapat belajar tentang kehidupan sehari-hari penduduk desa serta berpartisipasi dalam kegiatan tradisional. Wisata ini tidak hanya menawarkan pengalaman budaya tetapi juga pemandangan alam yang indah di sekitarnya. Dengan suasana yang ramah dan hangat, tempat ini menjadi pilihan menarik bagi wisatawan yang ingin merasakan kehidupan desa di Kalimantan Barat.",Desa Wisata
https://www.google.com/maps/place/Bukit+Batu+Daya/data=!4m7!3m6!1s0x2e03780c861c60ad:0x7e5dad820ab3e36d!8m2!3d-1.0086875!4d110.3242031!16s%2Fg%2F11c5wml_wq!19sChIJrWAchgx4Ay4RbeOzCoKtXX4?authuser=0&hl=id&rclk=1,Bukit Batu Daya,"4,7",https://lh5.googleusercontent.com/p/AF1QipN9wvQ07SxMw45vbbdrJbiSQ6C6HMzq7gfGk03K=w1220-h920-k-no,Kalimantan Barat,"Kecamatan Singkawang Selatan, Kota Singkawang","Bukit Batu Daya adalah sebuah bukit yang terkenal dengan formasi batuan uniknya dan pemandangan alam yang menakjubkan. Tempat ini sering dikunjungi oleh para pendaki dan pecinta alam karena jalur pendakiannya yang menantang namun menyenangkan. Di puncak bukit, pengunjung dapat menikmati panorama kota Singkawang dan sekitarnya. Bukit ini juga menjadi lokasi favorit untuk kegiatan fotografi dan piknik keluarga di akhir pekan",Gunung/Bukit
