LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Hutan+Raya+Sultan+Adam/data=!4m7!3m6!1s0x2de67d1ae64e39f1:0x8ce56adf7126ab33!8m2!3d-3.5194142!4d114.9501443!16s%2Fg%2F11cp267jcc!19sChIJ8TlO5hp95i0RM6smcd9q5Yw?authuser=0&hl=id&rclk=1,Taman Hutan Raya Sultan Adam,"4,6",https://lh5.googleusercontent.com/p/AF1QipNB7MTrmH-woTIPFm6begAaxEn_TgT8ma2KEns4=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Karang Intan, Kabupaten Banjar","Taman Hutan Rakyat Sultan Adam, atau sering disebut Tahura Mandiangin, adalah destinasi wisata alam yang memukau di Kalimantan Selatan. Terletak di dataran tinggi, taman ini menawarkan pemandangan spektakuler, termasuk Waduk Riam Kanan yang megah. Selain keindahan alamnya, pengunjung juga dapat melihat penangkaran rusa Sambar dan puing-puing peninggalan Belanda yang menambah nilai sejarah tempat ini. Taman ini sangat cocok bagi pecinta alam yang ingin menikmati keindahan sekaligus belajar tentang sejarah lokal. ",Hutan/Taman Nasional
https://www.google.com/maps/place/Goa+Batu+Hapu/data=!4m7!3m6!1s0x2de5c72791c59b31:0xa5423575ba6543da!8m2!3d-3.1271282!4d115.175391!16s%2Fg%2F120lwhwj!19sChIJMZvFkSfH5S0R2kNlunU1QqU?authuser=0&hl=id&rclk=1,Goa Batu Hapu,"4,3",https://lh5.googleusercontent.com/p/AF1QipPXl-wESV0xj3PoAiUlbNYI2sIan9Irb-lM4hLN=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Hatungun, Kabupaten Tapin",Goa Batu Hapu merupakan situs geologi menarik yang terletak di Desa Batu Hapu. Goa ini terbentuk dari proses geologi yang berlangsung selama jutaan tahun dan memiliki interior yang menakjubkan dengan stalaktit dan stalagmit. Ketinggian goa mencapai 120 meter di atas permukaan laut dan menyimpan banyak mitos serta legenda lokal. Tempat ini tidak hanya menawarkan keindahan alam tetapi juga nilai edukatif bagi pengunjung yang tertarik dengan geologi dan budaya setempat.,Goa
https://www.google.com/maps/place/Borneo+Wonderland/data=!4m7!3m6!1s0x2de6797f5708c7cf:0xf73beb8e2f8bdf34!8m2!3d-3.4225382!4d115.0511337!16s%2Fg%2F11tf8qd45p!19sChIJz8cIV3955i0RNN-LL47rO_c?authuser=0&hl=id&rclk=1,Borneo Wonderland,"4,3",https://lh5.googleusercontent.com/p/AF1QipPvHk5D_S3fWYJERRy9vcSQkziOPYjs_HUxohZK=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Banjarmasin Selatan, Kota Banjarmasin","Borneo Wonderland adalah taman rekreasi yang menawarkan berbagai wahana permainan dan atraksi menarik untuk keluarga. Dengan konsep yang mengusung keindahan alam Kalimantan, tempat ini menyediakan area bermain yang luas, serta berbagai spot foto yang Instagramable. Pengunjung dapat menikmati suasana alam yang sejuk sambil berinteraksi dengan flora dan fauna lokal. Taman ini menjadi pilihan tepat untuk menghabiskan waktu bersama keluarga dan teman, serta memberikan pengalaman yang menyenangkan bagi anak-anak. ",Taman Rekreasi
https://www.google.com/maps/place/Menara+Pandang+Banjarmasin/data=!4m7!3m6!1s0x2de423c1879e1fb1:0xc531a6a5acab5a0!8m2!3d-3.3169893!4d114.5931235!16s%2Fg%2F11b7ccq_t3!19sChIJsR-eh8Ej5C0RoLXKWmoaUww?authuser=0&hl=id&rclk=1,Menara Pandang Banjarmasin,"4,5",https://lh5.googleusercontent.com/p/AF1QipM5tmaQ4TxhneYe3Xh9pC8IYTcI-DCnieJPBjLv=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Banjarmasin Tengah, Kota Banjarmasin","Menara Pandang Banjarmasin merupakan ikon wisata terbaru di Kota Banjarmasin yang menawarkan pemandangan spektakuler dari ketinggian 30 meter. Menara ini terdiri dari empat lantai, dengan lantai terbuka di puncaknya yang memungkinkan pengunjung menikmati panorama kota dan Sungai Martapura dengan jelas. Menaiki 155 anak tangga menuju puncak menara adalah usaha yang sepadan dengan pemandangan indah yang bisa dilihat, termasuk Pegunungan Meratus di timur dan aktivitas perahu di sungai di selatan. Menara ini juga sering digunakan untuk berbagai acara dan kegiatan masyarakat.",Puncak
https://www.google.com/maps/place/Air+Terjun+Bajuin/data=!4m7!3m6!1s0x2de6f64664d87467:0x2d7585efcd3c51ba!8m2!3d-3.7720708!4d114.8745512!16s%2Fg%2F11g8vwhlws!19sChIJZ3TYZEb25i0RulE8ze-FdS0?authuser=0&hl=id&rclk=1,Air Terjun Bajuin,"4,3",https://lh5.googleusercontent.com/p/AF1QipPA_ToFZuIWjFVNGnsQrmWqchZvW30kxFv1JDaJ=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Bajuin, Kabupaten Tanah Laut","Air Terjun Bajuin adalah salah satu destinasi alam yang menawan di Kalimantan Selatan. Air terjun ini dikelilingi oleh hutan tropis yang rimbun dan menawarkan suasana tenang bagi pengunjungnya. Dengan ketinggian sekitar 20 meter, air terjun ini memiliki kolam alami di bawahnya yang bisa digunakan untuk berenang. Suara gemericik air dan keindahan alam sekitarnya menjadikan tempat ini ideal untuk bersantai atau berfoto. Selain itu, akses menuju lokasi cukup mudah, membuatnya menjadi pilihan populer bagi wisatawan lokal maupun luar daerah.",Air Terjun
https://www.google.com/maps/place/Obyek+Wisata+Air+Panas+Tanuhi/data=!4m7!3m6!1s0x2de577e6e3b79831:0xb225e677b8b4b3c5!8m2!3d-2.7915194!4d115.4528503!16s%2Fg%2F11b7j3cvns!19sChIJMZi34-Z35S0RxbO0uHfmJbI?authuser=0&hl=id&rclk=1,Obyek Wisata Air Panas Tanuhi,"4,2",https://lh5.googleusercontent.com/p/AF1QipM2_3ZUoAskK5HyAj_OVlmdjvMTt0fmIjLuTj7V=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Tanuhi, Kabupaten Hulu Sungai Utara","Obyek Wisata Air Panas Tanuhi menawarkan pengalaman relaksasi dengan sumber air panas alami yang dipercaya memiliki khasiat kesehatan. Terletak di tengah hutan, tempat ini dikelilingi oleh pemandangan alam yang menakjubkan dan udara segar. Pengunjung dapat menikmati berendam dalam kolam air panas sambil menikmati keindahan alam sekitar. Selain itu, terdapat fasilitas pendukung seperti tempat istirahat dan warung makanan khas daerah yang menambah kenyamanan saat berkunjung. Tempat ini sangat cocok untuk pelancong yang mencari ketenangan dan relaksasi dari rutinitas sehari-hari.",Lainnya
https://www.google.com/maps/place/Hutan+Kota+Pinus+Mentaos+I/data=!4m7!3m6!1s0x2de681a005061eb9:0xc5cd877c1f76ea7c!8m2!3d-3.4344681!4d114.833598!16s%2Fg%2F11bvt0b_r8!19sChIJuR4GBaCB5i0RfOp2H3yHzcU?authuser=0&hl=id&rclk=1,Hutan Kota Pinus Mentaos I,"4,3",https://lh5.googleusercontent.com/p/AF1QipMFraxgApi3KAlAMA8GwfK9-w76f7VBvmfPFBHa=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Banjarmasin Selatan, Kota Banjarmasi","Hutan Kota Pinus Mentaos I adalah area hijau yang menyediakan ruang terbuka untuk rekreasi dan kegiatan luar ruangan di tengah kota. Dikenal dengan suasana sejuk berkat pepohonan pinusnya, tempat ini sering digunakan oleh warga untuk jogging, piknik, atau sekadar bersantai sambil menikmati udara segar. Hutan ini juga dilengkapi dengan jalur setapak dan area bermain anak-anak, menjadikannya pilihan ideal untuk keluarga. Keberadaan hutan kota ini sangat penting dalam menjaga keseimbangan ekosistem perkotaan serta memberikan ruang bagi masyarakat untuk beraktivitas di alam terbuka.",Hutan/Taman Nasional
https://www.google.com/maps/place/Air+Terjun+Haratai+Loksado/data=!4m7!3m6!1s0x2de578c0494e6a71:0xeb26c978082cca06!8m2!3d-2.775237!4d115.545856!16s%2Fg%2F11b6t7h_vq!19sChIJcWpOScB45S0RBsosCHjJJus?authuser=0&hl=id&rclk=1,Air Terjun Haratai Loksado,"4,6",https://lh5.googleusercontent.com/p/AF1QipN7hQAoRPpjUIl2Vu3VcISP8AN-eWUSRTafGSE9=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Loksado, Kabupaten Hulu Sungai Selatan","Air Terjun Haratai terletak di kawasan Loksado yang terkenal akan keindahan alamnya. Dengan ketinggian lebih dari 30 meter, air terjun ini dikelilingi oleh hutan tropis dan tebing batu yang menjadikannya pemandangan yang menakjubkan. Suara air terjun yang jatuh menciptakan suasana damai bagi pengunjung yang ingin bersantai atau berfoto-foto. Akses menuju lokasi memerlukan sedikit usaha melalui jalur trekking yang menantang tetapi memberikan pengalaman petualangan tersendiri bagi para pecinta alam. Tempat ini juga sering dikunjungi oleh wisatawan untuk menikmati keindahan alam Kalimantan Selatan secara langsung. ",Air Terjun
https://www.google.com/maps/place/Siring+Kota+Banjarmasin/data=!4m7!3m6!1s0x2de423c24b5596cd:0xd2facfc9ba5d8965!8m2!3d-3.3184996!4d114.5925817!16s%2Fg%2F11c42jg4wh!19sChIJzZZVS8Ij5C0RZYldusnP-tI?authuser=0&hl=id&rclk=1,Siring Kota Banjarmasin,"4,6",https://lh5.googleusercontent.com/p/AF1QipP10kLITz8I9secqtZkPm_pZbkRk3QY9tJWFq4=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Banjarmasin Tengah, Kota Banjarmasin","Siring Kota Banjarmasin adalah area tepi sungai yang menjadi pusat aktivitas sosial dan budaya masyarakat setempat. Di sepanjang siring terdapat berbagai fasilitas publik seperti kafe, tempat duduk, dan jalur pejalan kaki yang nyaman untuk berjalan-jalan sambil menikmati pemandangan Sungai Martapura. Siring ini sering dijadikan lokasi acara budaya dan festival lokal serta menjadi tempat berkumpulnya warga untuk bersantai atau berolahraga ringan seperti jogging atau bersepeda. Suasana malam hari di siring sangat hidup dengan lampu-lampu cantik dan keramaian pengunjung dari berbagai kalangan usia",Lainnya
https://www.google.com/maps/place/PULAU+PINUS+ARANIO/data=!4m7!3m6!1s0x2de67ad3be5f0581:0xab5f0320fff99f8d!8m2!3d-3.5364435!4d115.0541896!16s%2Fg%2F11g6xfjs9p!19sChIJgQVfvtN65i0RjZ_5_yADX6s?authuser=0&hl=id&rclk=1,PULAU PINUS ARANIO,"4,5",https://lh5.googleusercontent.com/p/AF1QipMP5RyF4MpLq1IoX_onjP0uQsFqPc0lGiCf9V_W=w1220-h920-k-no,Kalimantan Selatan,"Kecamatan Aranio, Kabupaten Banjar",Pulau Pinus Aranio adalah destinasi wisata unik berupa pulau kecil di tengah sungai dengan pepohonan pinus yang rindang. Tempat ini menawarkan suasana tenang jauh dari keramaian kota dan cocok untuk kegiatan piknik atau camping bersama keluarga dan teman-teman. Pengunjung dapat menikmati keindahan alam sambil melakukan aktivitas seperti memancing atau sekadar bersantai di bawah naungan pohon pinus sambil menikmati angin sepoi-sepoi. Pulau ini juga menjadi spot foto menarik bagi para pengunjung yang ingin mengabadikan momen indah mereka di tengah alam Kalimantan Selatan,Lainnya
