LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Nasional+Tanjung+Puting/data=!4m7!3m6!1s0x2e09a5fcc9bb3c5d:0xddb88e3644e9ea03!8m2!3d-3.0550149!4d111.9184136!16s%2Fm%2F06w61t2!19sChIJXTy7yfylCS4RA-rpRDaOuN0?authuser=0&hl=id&rclk=1,Taman Nasional Tanjung Puting,"4,7",https://lh5.googleusercontent.com/p/AF1QipMgGaOpOgz5CAXIUFLG8iflQ9x1uFfaMursloME=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Kumai, Kabupaten Kotawaringin Barat","Taman Nasional Tanjung Puting adalah salah satu taman nasional terpenting di Indonesia dan dikenal sebagai pusat konservasi orangutan terbesar di dunia. Terletak di semenanjung barat daya Kalimantan Tengah, taman ini memiliki luas sekitar 415.040 hektare dan terdiri dari berbagai ekosistem, termasuk hutan tropis dataran rendah, hutan rawa gambut, dan mangrove. Taman ini terkenal dengan keanekaragaman hayatinya, termasuk berbagai spesies mamalia seperti bekantan, owa Kalimantan, dan beruang madu. Salah satu atraksi utama di taman ini adalah Camp Leakey, tempat rehabilitasi orangutan yang memungkinkan pengunjung untuk menyaksikan orangutan dari dekat saat mereka diberi makan. Pengunjung dapat menjelajahi taman dengan menggunakan kapal kelotok menyusuri sungai-sungai yang ada.",Hutan/Taman Nasional
https://www.google.com/maps/place/Wisata+Bukit+Batu+Pertapaan+Tjilik+Riwut/data=!4m7!3m6!1s0x2dfce3fd223cf5d5:0xcb4e6c653c6fae85!8m2!3d-1.8951303!4d113.4680533!16s%2Fg%2F11c2np7d7b!19sChIJ1fU8Iv3j_C0Rha5vPGVsTss?authuser=0&hl=id&rclk=1,Wisata Bukit Batu Pertapaan Tjilik Riwut,"4,4",https://lh5.googleusercontent.com/p/AF1QipOxjbiOSog4FYDOVMJjoD8OnouzQeRQWqkNj3XR=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Tjilik Riwut, Kabupaten Pulang Pisau","Wisata Bukit Batu Pertapaan Tjilik Riwut adalah lokasi yang menawarkan pemandangan alam yang menakjubkan serta nilai spiritual bagi masyarakat setempat. Bukit ini dikenal sebagai tempat pertapaan yang sering dikunjungi oleh para peziarah dan wisatawan yang ingin merasakan kedamaian dan keindahan alam. Dari puncaknya, pengunjung dapat menikmati panorama luas hutan dan sungai yang mengalir di sekitarnya. Tempat ini juga sering dijadikan lokasi untuk kegiatan meditasi dan refleksi diri.",Gunung/Bukit
https://www.google.com/maps/place/Taman+Pasuk+Kameloh/data=!4m7!3m6!1s0x2dfcb25b32fffff3:0x14e6945a5735c40b!8m2!3d-2.2036369!4d113.92046!16s%2Fg%2F11f3n1ybkd!19sChIJ8___Mluy_C0RC8Q1V1qU5hQ?authuser=0&hl=id&rclk=1,Taman Pasuk Kameloh,"4,5",https://lh5.googleusercontent.com/p/AF1QipNKlqbcDjVIdgARm_jl9KVEsfm-303X1f-n_Dw6=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Palangka Raya, Kota Palangka Raya","Taman Pasuk Kameloh adalah taman rekreasi yang dirancang untuk memberikan ruang terbuka hijau bagi masyarakat Palangka Raya. Taman ini dilengkapi dengan jalur jogging, area bermain anak-anak, serta spot untuk bersantai sambil menikmati udara segar. Suasana taman sangat hidup terutama pada akhir pekan ketika banyak acara komunitas berlangsung di sini. Taman Pasuk Kameloh menjadi pilihan populer bagi mereka yang ingin bersantai sambil menikmati aktivitas sosial masyarakat kota.",Taman Rekreasi
https://www.google.com/maps/place/Matan+Andau+Tangkiling/data=!4m7!3m6!1s0x2dfcc19cb77ef39d:0x7448e16e2ecb9c29!8m2!3d-1.9978901!4d113.7388188!16s%2Fg%2F11k3_lzvbk!19sChIJnfN-t5zB_C0RKZzLLm7hSHQ?authuser=0&hl=id&rclk=1,Matan Andau Tangkiling,"4,0",https://lh5.googleusercontent.com/p/AF1QipO0bhYENBhz1aScSJn8mCGP20n38VwiDAcMoLKD=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Tangkiling, Kabupaten Pulang Pisau","Matan Andau Tangkiling adalah destinasi wisata alam yang menawarkan pemandangan hutan tropis serta keindahan alam yang asri. Tempat ini menjadi lokasi ideal untuk kegiatan trekking dan camping bagi pecinta alam. Dengan akses yang relatif mudah dari pusat kota Palangka Raya, Matan Andau Tangkiling menjadi pilihan menarik bagi mereka yang ingin menikmati keindahan alam sekaligus bersantai dari kesibukan sehari-hari",Lainnya
https://www.google.com/maps/place/Pesona+Alam+Lestari/data=!4m7!3m6!1s0x2de34c42aaf9566f:0xf1cd1e425dcd2098!8m2!3d-2.295615!4d113.8825728!16s%2Fg%2F11cjqlpfcy!19sChIJb1b5qkJM4y0RmCDNXUIezfE?authuser=0&hl=id&rclk=1,Pesona Alam Lestari,"3,9",https://lh5.googleusercontent.com/p/AF1QipO6mnUapjWoaSpgsFRDEhPEIgSki95sEzxJUnZy=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Palangka Raya, Kota Palangka Raya","Pesona Alam Lestari adalah kawasan wisata yang menawarkan keindahan alam serta berbagai aktivitas luar ruangan seperti hiking dan berkemah. Dikelilingi oleh hutan tropis yang rimbun, tempat ini cocok untuk keluarga atau kelompok yang ingin menghabiskan waktu berkualitas di tengah alam. Dengan fasilitas sederhana namun memadai, Pesona Alam Lestari menjadi pilihan menarik bagi para pecinta alam.",Lainnya
https://www.google.com/maps/place/Wisata+Flamboyan+Bawah/data=!4m7!3m6!1s0x2dfcb25d0b4e04a1:0x95434676cfed53be!8m2!3d-2.2059777!4d113.9285418!16s%2Fg%2F11c66pffjg!19sChIJoQROC12y_C0RvlPtz3ZGQ5U?authuser=0&hl=id&rclk=1,Wisata Flamboyan Bawah,"4,2",https://lh5.googleusercontent.com/p/AF1QipPc_t_9XbD5j4tH4AbnA0b8jV-2eo3lIJ3zZER-=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Palangka Raya, Kota Palangka Raya","Wisata Flamboyan Bawah adalah area rekreasi yang terkenal dengan pohon flamboyan yang indah dan berwarna-warni saat berbunga. Tempat ini menjadi lokasi favorit bagi masyarakat setempat untuk bersantai sambil menikmati keindahan alam dan suasana tenang. Dengan berbagai fasilitas seperti jalur pejalan kaki dan area bermain anak-anak, Wisata Flamboyan Bawah menjadi pilihan ideal untuk piknik keluarga atau sekadar menikmati sore hari bersama teman-teman.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Wisata+Alam+Bukit+Tangkiling/data=!4m7!3m6!1s0x2dfcc07d6e7bda0b:0x58827bd130bff911!8m2!3d-1.9986201!4d113.75346!16s%2Fg%2F11cp7p__gh!19sChIJC9p7bn3A_C0REfm_MNF7glg?authuser=0&hl=id&rclk=1,Taman Wisata Alam Bukit Tangkiling,"4,2",https://lh5.googleusercontent.com/p/AF1QipMBAWIw6q1qaMnkye3zE0bYHcohHkM2g0DFJhwI=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Tangkiling, Kabupaten Pulang Pisau",Taman Wisata Alam Bukit Tangkiling adalah kawasan konservasi yang menawarkan pemandangan indah serta jalur trekking menarik bagi para pecinta alam. Di sini pengunjung dapat menjelajahi hutan tropis sambil menikmati keindahan flora dan fauna lokal. Tempat ini juga sering dijadikan lokasi penelitian serta kegiatan ekowisata bagi pelajar dan peneliti lingkungan. Suasana sejuk di sekitar bukit menjadikannya tempat ideal untuk beraktivitas outdoor.,Hutan/Taman Nasional
https://www.google.com/maps/place/Air+Terjun+Batu+Mahasur/data=!4m7!3m6!1s0x2dfea0ca5b95aa3f:0x7287419dfd2b8e5f!8m2!3d-1.0897524!4d113.8549018!16s%2Fg%2F11c1n8fdh9!19sChIJP6qVW8qg_i0RX44r_Z1Bh3I?authuser=0&hl=id&rclk=1,Air Terjun Batu Mahasur,"4,2",https://lh5.googleusercontent.com/p/AF1QipMnzCMcas54iIjKgr3b95RdoDCeAA-xkTP1v6bA=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Katingan Hilir, Kabupaten Katingan",Air Terjun Batu Mahasur adalah air terjun menakjubkan dengan aliran air jernih yang jatuh dari ketinggian ke kolam alami di bawahnya. Dikelilingi oleh hutan lebat membuat suasana di sekitar air terjun sangat damai dan tenang bagi para pengunjungnya. Akses menuju lokasi memerlukan trekking melalui jalur alami namun memberikan pengalaman petualangan tersendiri saat tiba di tujuan.,Air Terjun
https://www.google.com/maps/place/Pantai+Kubu/data=!4m7!3m6!1s0x2e08fd0dd7c616bf:0x99e9ac20df07075d!8m2!3d-2.8579946!4d111.7010427!16s%2Fg%2F11f2tgp5sh!19sChIJvxbG1w39CC4RXQcH3yCs6Zk?authuser=0&hl=id&rclk=1,Pantai Kubu,"4,2",https://lh5.googleusercontent.com/p/AF1QipO7iNT4JcP3cUjZrtFi1Dng9S8X2-fOCkjZgX2q=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Kubu Raya, Kabupaten Kubu Raya",Pantai Kubu adalah pantai indah dengan pasir putih bersih dan ombak yang tenang. Tempat ini sangat cocok untuk bersantai sambil menikmati pemandangan laut lepas serta melakukan aktivitas seperti berenang dan bermain pasir. Pantai ini juga dikelilingi oleh pepohonan hijau yang memberikan suasana sejuk dan nyaman bagi pengunjungnya.,Pantai
https://www.google.com/maps/place/Taman+Nasional+Sebangau/data=!4m7!3m6!1s0x2dfcb2f9109ee879:0x40114385e9a1ba41!8m2!3d-2.5973765!4d113.6737776!16s%2Fm%2F04yfxmp!19sChIJeeieEPmy_C0RQbqh6YVDEUA?authuser=0&hl=id&rclk=1,Taman Nasional Sebangau,"4,3",https://lh5.googleusercontent.com/p/AF1QipNwgozK8iwPH6LR6Pat3ELH4kfZ-PcQdYNRhrpe=w1220-h920-k-no,Kalimantan Tengah,"Kecamatan Sebangau, Kota Palangka Raya",Taman Nasional Sebangau merupakan kawasan konservasi penting di Kalimantan Tengah dengan ekosistem gambut yang kaya akan flora dan fauna langka. Di sini pengunjung dapat menemukan berbagai spesies satwa liar seperti orangutan dan bekantan dalam habitat aslinya. Kawasan ini juga menawarkan aktivitas ekowisata seperti trekking dan birdwatching bagi para pengunjungnya.,Hutan/Taman Nasional
