LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Bukit+Bangkirai/data=!4m7!3m6!1s0x2df6b43dd14fa82f:0x910d89815a4d33f3!8m2!3d-1.0252487!4d116.8649419!16s%2Fg%2F120knfvm!19sChIJL6hP0T209i0R8zNNWoGJDZE?authuser=0&hl=id&rclk=1,Bukit Bangkirai,"4,5",https://lh5.googleusercontent.com/p/AF1QipNdlAjVBzOyc7F7ET8iYWZm_QIjDU0J3kGsR4d0=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Samboja, Kabupaten Kutai Kartanegara","Bukit Bangkirai adalah kawasan wisata alam yang dikelola oleh PT Inhutani I, terletak di hutan hujan tropis yang masih alami. Dikenal dengan jembatan gantungnya yang menghubungkan lima pohon bangkirai di ketinggian 30 meter, Bukit Bangkirai menawarkan pengalaman petualangan yang mendebarkan bagi pengunjung. Jembatan ini merupakan yang pertama di Indonesia dan kedua di Asia, serta menjadi daya tarik utama bagi wisatawan. Di kawasan ini, pengunjung dapat menikmati keindahan flora dan fauna khas Kalimantan, termasuk berbagai spesies anggrek dan satwa liar seperti monyet ekor panjang dan owa-owa. Selain aktivitas trekking dan menikmati panorama hutan, terdapat juga fasilitas seperti restoran dan cottage untuk kenyamanan pengunjung. Bukit Bangkirai menjadi pilihan tepat bagi mereka yang ingin merasakan keindahan alam sekaligus belajar tentang konservasi hutan tropis.",Hutan/Taman Nasional
https://www.google.com/maps/place/Pantai+Melawai/data=!4m7!3m6!1s0x2df1475b5204db5d:0xbd89f03e103910b3!8m2!3d-1.2787925!4d116.8100665!16s%2Fg%2F11b6hvcq94!19sChIJXdsEUltH8S0RsxA5ED7wib0?authuser=0&hl=id&rclk=1,Pantai Melawai,"4,5",https://lh5.googleusercontent.com/p/AF1QipN96ELcuC5jqAxIhbbljm3IdjiBC7Jl6rXdjml5=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Balikpapan Selatan, Kota Balikpapan","Pantai Melawai adalah pantai yang terkenal dengan pemandangan matahari terbenam yang memukau. Terletak di tepi laut, pantai ini menawarkan suasana tenang dengan pasir putih halus dan ombak yang lembut. Pengunjung dapat menikmati berbagai aktivitas seperti berjemur, bermain air, atau sekadar bersantai sambil menikmati kuliner laut dari warung-warung yang ada di sekitar pantai. Suasana malam hari di Pantai Melawai juga sangat hidup dengan lampu-lampu yang menghiasi area tersebut, menjadikannya tempat ideal untuk berkumpul bersama keluarga atau teman-teman",Pantai
https://www.google.com/maps/place/Mahakam+Lampion+Garden/data=!4m7!3m6!1s0x2df67e515caedd69:0x16d76b50635d8490!8m2!3d-0.5065446!4d117.1196193!16s%2Fg%2F11b7kc6z28!19sChIJad2uXFF-9i0RkIRdY1Br1xY?authuser=0&hl=id&rclk=1,Mahakam Lampion Garden,"4,4",https://lh5.googleusercontent.com/p/AF1QipN-rBg1eI6Z11pQ1v1JIxxtIwwrRxNGORWSQyeM=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Samarinda Ilir, Kota Samarinda","Mahakam Lampion Garden adalah taman yang indah dengan berbagai lampion berwarna-warni yang menghiasi area taman. Tempat ini sangat populer di kalangan keluarga dan anak-anak karena suasana ceria dan berbagai wahana permainan yang tersedia. Selain itu, taman ini juga sering dijadikan lokasi acara budaya dan festival lampion yang menarik banyak pengunjung. Mahakam Lampion Garden menawarkan pengalaman unik bagi pengunjung untuk menikmati keindahan taman sambil berfoto dengan latar belakang lampion yang cantik",Taman Rekreasi
https://www.google.com/maps/place/Wisata+Batu+Dinding/data=!4m7!3m6!1s0x2df6bac885b2012d:0x155aeb28a071c5db!8m2!3d-0.9239045!4d116.974042!16s%2Fg%2F11fzb0tb85!19sChIJLQGyhci69i0R28VxoCjrWhU?authuser=0&hl=id&rclk=1,Wisata Batu Dinding,"4,7",https://lh5.googleusercontent.com/p/AF1QipO7xLABV6VaELB1bXjfpUPgM45GVDIHD1HH_29Z=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Long Ikis, Kabupaten Paser",Wisata Batu Dinding adalah destinasi alam yang menawarkan pemandangan tebing batu curam dan formasi alam unik lainnya. Tempat ini cocok untuk para pecinta hiking dan fotografi karena keindahan alamnya yang menakjubkan. Pengunjung dapat menjelajahi area sekitar sambil menikmati suasana tenang dan udara segar pegunungan. Wisata Batu Dinding juga menjadi lokasi favorit bagi para petualang yang ingin merasakan tantangan mendaki tebing sambil menikmati panorama alam Kalimantan Timur dari ketinggian,Gunung/Bukit
https://www.google.com/maps/place/Gunung+embun/data=!4m7!3m6!1s0x2df015ab499d6d71:0xf503f5231d5439e3!8m2!3d-1.9485388!4d116.0022468!16s%2Fg%2F11h51yr5fy!19sChIJcW2dSasV8C0R4zlUHSP1A_U?authuser=0&hl=id&rclk=1,Gunung embun,"4,5",https://lh5.googleusercontent.com/p/AF1QipN9YPgf4JJPMNGlXj-1Arl7-aI3xN66O8I9_rRQ=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Long Bagun, Kabupaten Mahakam Ulu","Gunung Embun adalah gunung yang menawarkan pemandangan spektakuler dari puncaknya serta jalur trekking menantang bagi para pendaki. Dengan ketinggian sekitar 1.200 meter di atas permukaan laut, gunung ini menjadi tujuan favorit bagi para pecinta alam dan pendaki gunung. Di sepanjang perjalanan menuju puncak, pengunjung akan disuguhi keindahan flora dan fauna khas Kalimantan serta udara segar pegunungan. Puncak Gunung Embun juga menjadi spot ideal untuk melihat sunrise dan sunset yang memukau",Gunung/Bukit
https://www.google.com/maps/place/Taman+Tepian+Mahakam/data=!4m7!3m6!1s0x2df67fa77038d89b:0xb7345c350072aca1!8m2!3d-0.5021589!4d117.1418363!16s%2Fg%2F11c5x7nztt!19sChIJm9g4cKd_9i0RoaxyADVcNLc?authuser=0&hl=id&rclk=1,Taman Tepian Mahakam,"4,4",https://lh5.googleusercontent.com/p/AF1QipOfrk_Jp3x5rwFBn-hcaymaSAw5_brZDTmvP59Y=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Samarinda Kota, Kota Samarinda","Taman Tepian Mahakam adalah taman kota yang terletak di tepi Sungai Mahakam, menawarkan ruang terbuka hijau bagi masyarakat untuk bersantai dan beraktivitas luar ruangan. Taman ini dilengkapi dengan jalur pejalan kaki, area bermain anak-anak, serta tempat duduk untuk bersantai sambil menikmati pemandangan sungai. Suasana tenang dan asri menjadikan taman ini tempat ideal untuk piknik keluarga atau sekadar berjalan-jalan sambil menikmati udara segar di sekitar sungai Mahakam",Taman Rekreasi
https://www.google.com/maps/place/Desa+Wisata+Pela/data=!4m7!3m6!1s0x2df6378abcd88c61:0xa8c1e1e38ecabffa!8m2!3d-0.2408157!4d116.5407646!16s%2Fg%2F11l99sw_2f!19sChIJYYzYvIo39i0R-r_KjuPhwag?authuser=0&hl=id&rclk=1,Desa Wisata Pela,"4,7",https://lh5.googleusercontent.com/p/AF1QipMT1051Va-_1a6czSArGpVjxLr7KmtBE_3a8VmX=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Tenggarong Seberang, Kabupaten Kutai Kartanegara",Desa Wisata Pela merupakan desa wisata yang menawarkan pengalaman budaya lokal kepada pengunjung melalui kegiatan sehari-hari masyarakat setempat. Di sini pengunjung dapat belajar tentang kerajinan tangan tradisional serta mencicipi makanan khas daerah. Desa ini juga sering mengadakan acara budaya seperti pertunjukan tari tradisional dan festival lokal lainnya untuk memperkenalkan kebudayaan Kalimantan Timur kepada wisatawan,Desa Wisata
https://www.google.com/maps/place/Ladaya+Tenggarong/data=!4m7!3m6!1s0x2df66fbce31b02a9:0xe190ca1803f4f133!8m2!3d-0.3912659!4d116.9780274!16s%2Fg%2F11jlkw1rd3!19sChIJqQIb47xv9i0RM_H0AxjKkOE?authuser=0&hl=id&rclk=1,Ladaya Tenggarong,"4,4",https://lh5.googleusercontent.com/p/AF1QipM9bpZO1I0J7h070lSOTnuaPdhTY3rLPV4rTAZc=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Tenggarong Seberang, Kabupaten Kutai Kartanegara",Ladaya Tenggarong adalah destinasi wisata budaya yang menampilkan berbagai atraksi seni dan budaya lokal dari masyarakat Kutai Kartanegara. Di sini pengunjung dapat menyaksikan pertunjukan seni tradisional seperti tari Dayak serta berbagai kerajinan tangan khas daerah tersebut. Ladaya Tenggarong menjadi tempat penting dalam pelestarian budaya lokal sekaligus memberikan edukasi kepada masyarakat tentang pentingnya menjaga warisan budaya mereka,Museum/Sejarah
https://www.google.com/maps/place/Pantai+Monpera/data=!4m7!3m6!1s0x2df147378e8bf761:0x1611058c17e8c0c9!8m2!3d-1.2798078!4d116.8219289!16s%2Fg%2F1hm2ykrzg!19sChIJYfeLjjdH8S0RycDoF4wFERY?authuser=0&hl=id&rclk=1,Pantai Monpera,"4,3",https://lh5.googleusercontent.com/p/AF1QipM3Lg__FAKGIfOJIERuVwtfon9ZTXXe2aZlkSLC=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Balikpapan Tengah, Kota Balikpapan",Pantai Monpera adalah pantai indah dengan pasir putih halus serta ombak lembut ideal untuk bersantai bersama keluarga atau teman-teman! Pantai ini terkenal akan keindahan matahari terbenamnya yang memukau serta suasana tenang jauh dari keramaian kota; pengunjung dapat melakukan berbagai aktivitas seperti bermain air atau sekadar duduk santai sambil menikmati kuliner laut dari warung-warung sekitar pantai,Pantai
https://www.google.com/maps/place/Teluk+Lerong+Garden./data=!4m7!3m6!1s0x2df67f07608e7c49:0x2665bc998cfea4ca!8m2!3d-0.5012369!4d117.134015!16s%2Fg%2F11b75g0cy4!19sChIJSXyOYAd_9i0RyqT-jJm8ZSY?authuser=0&hl=id&rclk=1,Teluk Lerong Garden.,"4,1",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEouqFGvHsjfoM7fd76XjeQp9D9sNak0xas76mvNG3lhk6o0bau6mGc9sXzfS-Mx35tzWVh9COZ_pXqW3vMhCBFlUV1sc9njhIiEQG0Wz-_AIHEGtQKFsImUxabjG-rmXwZq771k44UvE-MIsEYzR5KiyYIGYPfMobKiHwtGSkrayxUxoaMHc2dv0S24KVZ-QeEdEU=w1220-h920-k-no,Kalimantan Timur,"Kecamatan Samarinda Ilir, Kota Samarinda",Teluk Lerong Garden adalah taman rekreasi keluarga dengan pemandangan indah di tepi Sungai Mahakam! Taman ini dilengkapi dengan berbagai fasilitas bermain anak-anak serta area hijau untuk bersantai; pengunjung dapat menikmati suasana tenang sambil berjalan-jalan di sepanjang jalan setapak atau duduk santai di bangku-bangku taman; Teluk Lerong Garden juga sering digunakan sebagai lokasi acara komunitas sehingga menciptakan suasana ceria bagi semua pengunjungnya,Taman Rekreasi
