LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat ,Penjelasan,Kategori
https://www.google.com/maps/place/Kawasan+Konservasi+Mangrove+Dan+Bekantan/data=!4m7!3m6!1s0x32138a9448a0a9ed:0xbaf2f265d3abbe0!8m2!3d3.305523!4d117.5771055!16s%2Fg%2F1pv0251wb!19sChIJ7amgSJSKEzIR4Ls6XSYvrws?authuser=0&hl=id&rclk=1,Kawasan Konservasi Mangrove Dan Bekantan,"4,3",https://lh5.googleusercontent.com/p/AF1QipNXK_Qt2I8Q1JsSNVdUFgaeXIUEvhDM5R8LmyYH=w1220-h920-k-no,Kalimantan Utara,"Kecamatan Tarakan Barat, Kota Tarakan","Kawasan Konservasi Mangrove dan Bekantan (KKMB) merupakan destinasi wisata yang unik di tengah Kota Tarakan. Dengan luas sekitar 21 hektar, kawasan ini tidak hanya berfungsi sebagai tempat konservasi bagi bekantan, tetapi juga sebagai area edukasi tentang ekosistem mangrove. Pengunjung dapat melihat bekantan yang merupakan primata endemik Kalimantan serta menikmati keindahan hutan mangrove yang rimbun. Fasilitas seperti jembatan, gazebo, dan spot foto estetik membuat pengalaman berkunjung semakin menarik. KKMB juga berperan penting dalam menjaga keseimbangan ekosistem dan melindungi pantai dari abrasi.",Hutan/Taman Nasional
https://www.google.com/maps/place/Alun+-+Alun+Kabupaten+Nunukan/data=!4m7!3m6!1s0x3215bc2469629c4d:0x42b33f186861d557!8m2!3d4.1403883!4d117.6511455!16s%2Fg%2F11b6msn5wk!19sChIJTZxiaSS8FTIRV9VhaBg_s0I?authuser=0&hl=id&rclk=1,Alun - Alun Kabupaten Nunukan,"4,3",https://lh5.googleusercontent.com/p/AF1QipO1hkzsLk4ne5JiDQZXG3YOHtDBRvpZNYEcmlnE=w1220-h920-k-no,Kalimantan Utara,Kabupaten Nunukan,"Alun-Alun Kabupaten Nunukan adalah ruang terbuka publik yang sering digunakan untuk berbagai kegiatan masyarakat. Tempat ini menjadi pusat berkumpulnya warga untuk berolahraga, bersantai, atau mengadakan acara-acara lokal. Dikelilingi oleh pepohonan rindang dan fasilitas umum yang memadai, alun-alun ini menawarkan suasana nyaman bagi pengunjung. Keberadaan alun-alun juga memperkuat interaksi sosial antar warga dan menjadi simbol kebanggaan bagi masyarakat Nunukan.",Lainnya
https://www.google.com/maps/place/Taman+Berlabuh/data=!4m7!3m6!1s0x32138afebf223fa9:0x87fb7f6f40e19413!8m2!3d3.2863568!4d117.5920675!16s%2Fg%2F11c6sn069x!19sChIJqT8iv_6KEzIRE5ThQG9_-4c?authuser=0&hl=id&rclk=1,Taman Berlabuh,"4,3",https://lh5.googleusercontent.com/p/AF1QipOyt5CJf47P4fQnmfrZJR_D5OAnF7Yl9D6m7lRw=w1220-h920-k-no,Kalimantan Utara,"Tanjung Selor, Kabupaten Bulungan","Taman Berlabuh adalah taman rekreasi yang terletak di Tanjung Selor. Dikenal dengan pemandangan yang indah dan suasana yang tenang, taman ini menjadi tempat favorit bagi keluarga untuk bersantai dan bermain. Fasilitas seperti area bermain anak dan jalur pejalan kaki membuat taman ini sangat ramah anak. Selain itu, pengunjung dapat menikmati keindahan alam sambil berjalan-jalan atau melakukan piknik di area hijau yang tersedia.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Berkampung/data=!4m7!3m6!1s0x32138bed1cc62cc1:0x726a0029fcc479d4!8m2!3d3.2995442!4d117.6193845!16s%2Fg%2F11gqpxjjc0!19sChIJwSzGHO2LEzIR1HnE_CkAanI?authuser=0&hl=id&rclk=1,Taman Berkampung,"4,4",https://lh5.googleusercontent.com/p/AF1QipOlt-tghGpIFq1hWlpIiqu9K8_LM_uHuEpUs9YR=w1220-h920-k-no,Kalimantan Utara,"Tanjung Selor, Kabupaten Bulungan","Taman Berkampung adalah salah satu taman yang dirancang untuk memberikan ruang terbuka hijau bagi masyarakat Tanjung Selor. Dengan berbagai fasilitas olahraga dan area hijau, taman ini menjadi lokasi ideal untuk aktivitas luar ruangan. Pengunjung dapat menikmati jogging di jalur yang telah disediakan atau sekadar bersantai di bawah pohon-pohon rindang. Taman ini juga sering digunakan untuk acara komunitas dan kegiatan sosial lainnya.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Oval+Ladang/data=!4m7!3m6!1s0x32138a7c656dc74f:0xa340cd2a37b9ba21!8m2!3d3.3124837!4d117.6016142!16s%2Fg%2F11c1mznk48!19sChIJT8dtZXyKEzIRIbq5NyrNQKM?authuser=0&hl=id&rclk=1,Taman Oval Ladang,"4,2",https://lh5.googleusercontent.com/p/AF1QipPBISHuPlPDLa2Ayqy6PzCrFal4FsWjmTx-CZig=w1220-h920-k-no,Kalimantan Utara,"Tanjung Selor, Kabupaten Bulungan","Taman Oval Ladang adalah taman yang memiliki desain oval unik dan dikelilingi oleh tanaman hias yang indah. Tempat ini sering digunakan oleh masyarakat untuk berolahraga atau sekadar bersantai sambil menikmati suasana alam sekitar. Dengan fasilitas yang memadai seperti tempat duduk dan jalur pejalan kaki, taman ini menjadi salah satu tempat favorit bagi warga setempat untuk berkumpul.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Tepian+Tanjung+Selor/data=!4m7!3m6!1s0x3213d1df81946fc3:0xfe297e1c4e9cb07d!8m2!3d2.8430464!4d117.3613523!16s%2Fg%2F11cn69790b!19sChIJw2-Ugd_REzIRfbCcThx-Kf4?authuser=0&hl=id&rclk=1,Taman Tepian Tanjung Selor,"4,3",https://lh5.googleusercontent.com/p/AF1QipPfzZRSF-AkCIpeaNFsKbhdUOt-8tBXkXuHChJt=w1220-h920-k-no,Kalimantan Utara,"Tanjung Selor, Kabupaten Bulungan","Taman Tepian Tanjung Selor menawarkan pemandangan langsung ke sungai dengan suasana yang sejuk dan nyaman. Tempat ini sangat cocok untuk bersantai sambil menikmati angin sepoi-sepoi dari tepi sungai. Fasilitas seperti bangku taman dan jalur pejalan kaki membuat pengunjung betah berlama-lama di sini. Selain itu, taman ini sering dijadikan lokasi untuk berbagai acara komunitas.",Taman Rekreasi
https://www.google.com/maps/place/Museum+Kesultanan+Bulungan/data=!4m7!3m6!1s0x3213d1fccb45bc41:0xe17af808b6b65870!8m2!3d2.8319334!4d117.3571729!16s%2Fg%2F11c1p8mlqs!19sChIJQbxFy_zREzIRcFi2tgj4euE?authuser=0&hl=id&rclk=1,Museum Kesultanan Bulungan,"4,2",https://lh5.googleusercontent.com/p/AF1QipN3AUWWe5CmLHN3yDewvikkQlboBM5q8mQak_Ia=w1220-h920-k-no,Kalimantan Utara,"Tanjung Selor, Kabupaten Bulungan",Museum Kesultanan Bulungan menyimpan berbagai koleksi sejarah dan budaya dari Kesultanan Bulungan yang pernah berjaya di wilayah tersebut. Di dalam museum ini pengunjung dapat menemukan artefak bersejarah serta informasi mengenai sejarah lokal yang kaya akan tradisi dan budaya. Museum ini juga berfungsi sebagai pusat edukasi bagi masyarakat dan pengunjung yang ingin lebih mengenal sejarah Kalimantan Utara.,Museum/Sejarah
https://www.google.com/maps/place/Baloy+Mayo+Adat+Tidung+Kalimantan/data=!4m7!3m6!1s0x3214754c22cc4325:0x15c099196f1abbbe!8m2!3d3.3323961!4d117.5546899!16s%2Fg%2F11clz_1ygw!19sChIJJUPMIkx1FDIRvrsabxmZwBU?authuser=0&hl=id&rclk=1,Baloy Mayo Adat Tidung Kalimantan,"4,4",https://lh5.googleusercontent.com/p/AF1QipO6vFkYvYyF81Gh-YwhoX5bt6TlnsLJ3SLXzYzO=w1220-h920-k-no,Kalimantan Utara,"Kecamatan Sebatik, Kabupaten Nunukan",Baloy Mayo Adat Tidung adalah pusat kebudayaan suku Tidung yang menampilkan berbagai aspek kehidupan adat mereka. Tempat ini sering digunakan untuk acara-acara adat serta kegiatan budaya lainnya. Pengunjung dapat belajar tentang tradisi lokal melalui berbagai pameran seni dan kerajinan tangan khas suku Tidung.,Desa Wisata
https://www.google.com/maps/place/Wisata+Gunung+Putih/data=!4m7!3m6!1s0x3213d1f6b21db5f7:0x670056c0535066d9!8m2!3d2.8276566!4d117.3448168!16s%2Fg%2F11c7s294yg!19sChIJ97UdsvbREzIR2WZQU8BWAGc?authuser=0&hl=id&rclk=1,Wisata Gunung Putih,"3,9",https://lh5.googleusercontent.com/p/AF1QipORGDtv5b7Tw1fkkp-A2ERBH31NRTTV9Wby3hG7=w1220-h920-k-no,Kalimantan Utara,"Kecamatan Kelayang, Kabupaten Berau","Wisata Gunung Putih menawarkan pengalaman mendaki gunung bagi para pecinta alam. Dengan pemandangan spektakuler dari puncaknya, tempat ini menjadi tujuan favorit bagi pendaki lokal maupun luar daerah. Trekking menuju puncak memberikan tantangan tersendiri sekaligus kesempatan untuk menikmati keindahan alam Kalimantan Utara.",Gunung/Bukit
https://www.google.com/maps/place/Taman+Nasional+Kayan+Mentarang/data=!4m7!3m6!1s0x2de5f1f024acf7dd:0x2f283b3e910b04c7!8m2!3d2.8718169!4d115.3785755!16zL20vMDk2djg1!19sChIJ3fesJPDx5S0RxwQLkT47KC8?authuser=0&hl=id&rclk=1,Taman Nasional Kayan Mentarang,"4,4",https://lh5.googleusercontent.com/p/AF1QipNuzHPDj2R3dGe_NhEKs3L_wry3gruwtRcRJ_DB=w1220-h920-k-no,Kalimantan Utara,"Kecamatan Kayan Hulu, Kabupaten Malinau",Taman Nasional Kayan Mentarang merupakan kawasan konservasi yang luas dengan keanekaragaman hayati yang sangat tinggi. Tempat ini menjadi habitat bagi berbagai spesies flora dan fauna langka serta merupakan lokasi penting untuk penelitian ilmiah dan ekowisata. Pengunjung dapat menjelajahi keindahan alamnya melalui trekking dan kegiatan luar ruangan lainnya.,Hutan/Taman Nasional
