LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Danau+Kaolin/data=!4m7!3m6!1s0x2e3d4513bce66569:0xb60b7ec414d881df!8m2!3d-2.5478741!4d106.3528592!16s%2Fg%2F11bwc_w9b6!19sChIJaWXmvBNFPS4R34HYFMR-C7Y?authuser=0&hl=id&rclk=1,Danau Kaolin,"4,6",https://lh5.googleusercontent.com/p/AF1QipMq6ngEY0RSDbhptECHOKKgNwLa-zIdYqj4RO5e=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Kaolin, Kecamatan Belinyu, Kabupaten Bangka","Danau Kaolin adalah sebuah danau yang terbentuk dari bekas galian tambang kaolin. Tempat ini terkenal dengan airnya yang berwarna biru kehijauan yang jernih dan dikelilingi oleh tebing-tebing putih yang menyerupai pantai. Keindahan alamnya menjadikan Danau Kaolin sebagai tempat wisata yang menarik untuk berfoto dan bersantai. Pengunjung dapat menikmati pemandangan yang menakjubkan serta suasana tenang di sekitarnya, ideal untuk relaksasi dan menikmati keindahan alam.",Danau
https://www.google.com/maps/place/Pantai+Batu+Dinding/data=!4m7!3m6!1s0x2e23ada084542649:0x8371d22892e424d8!8m2!3d-1.6352351!4d105.7401094!16s%2Fg%2F11c1q7nvxn!19sChIJSSZUhKCtIy4R2CTkkijScYM?authuser=0&hl=id&rclk=1,Pantai Batu Dinding,"4,4",https://lh5.googleusercontent.com/p/AF1QipPxrFjc190IxDsQohuyKcCXQlrpXdIrmqKORh9_=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Tanjung Binga, Kecamatan Sungailiat, Kabupaten Bangka.","Pantai Batu Dinding menawarkan pemandangan laut yang indah dengan batu-batu besar yang menghiasi tepi pantainya. Pantai ini terkenal dengan air laut yang jernih dan pasir putihnya yang halus. Selain itu, pengunjung dapat menikmati berbagai aktivitas seperti berenang, snorkeling, atau sekadar bersantai di tepi pantai sambil menikmati angin laut. Suasana yang tenang dan pemandangan matahari terbenam yang menakjubkan menjadikan Pantai Batu Dinding sebagai destinasi favorit bagi wisatawan.",Pantai
https://www.google.com/maps/place/Pantai+Tikus/data=!4m7!3m6!1s0x2e228d68bba10fcf:0x472261b174e46cae!8m2!3d-1.9018475!4d106.1859211!16s%2Fg%2F11cjg9c350!19sChIJzw-hu2iNIi4RrmzkdLFhIkc?authuser=0&hl=id&rclk=1,Pantai Tikus,"4,5",https://lh5.googleusercontent.com/p/AF1QipOrfMP-M0raWzwRJzsp04bdjSq1XKj5z8TDQKAJ=w1220-h920-k-no,Kepulauan Bangka Belitung,"Jalan Nirwana, Kecamatan Sungailiat, Kabupaten Bangka.","Pantai Tikus adalah pantai kecil yang terletak di dekat Vihara Puri Tri Agung. Tempat ini dikenal dengan keindahan alamnya yang masih alami dan suasana yang tenang. Pasir putih dan air laut yang jernih menjadi daya tarik utama bagi pengunjung. Pantai ini juga menawarkan pemandangan perbukitan hijau di sekitarnya, menjadikannya tempat ideal untuk bersantai atau berfoto. Banyak pengunjung datang untuk menikmati keindahan alam sambil melakukan aktivitas seperti piknik atau berenang.",Pantai
https://www.google.com/maps/place/Wisata+Alam+Batu+Mentas/data=!4m7!3m6!1s0x2e173b38bc226701:0x13763c66a00bb090!8m2!3d-2.7937514!4d107.8354653!16s%2Fg%2F11s5wl63g4!19sChIJAWcivDg7Fy4RkLALoGY8dhM?authuser=0&hl=id&rclk=1,Wisata Alam Batu Mentas,"4,5",https://lh5.googleusercontent.com/p/AF1QipPBGlQQ2YJKff0J9SIEQkxQ81FKw1vVsGEdOlQc=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Batu Mentas, Kecamatan Sumber Jaya, Kabupaten Lahat.","Wisata Alam Batu Mentas adalah destinasi wisata alam yang menawarkan keindahan batu-batu besar dan panorama alam sekitar yang menakjubkan. Tempat ini cocok bagi pengunjung yang menyukai petualangan dan eksplorasi alam. Di sini, pengunjung dapat melakukan trekking sambil menikmati udara segar dan pemandangan hijau di sekelilingnya. Wisata ini juga sering dijadikan lokasi untuk kegiatan camping atau outing bagi kelompok.",Lainnya
https://www.google.com/maps/place/Pantai+Batu+Ketak/data=!4m7!3m6!1s0x2e228d6306a533c1:0x5f141ed3334be933!8m2!3d-1.8993648!4d106.1858205!16s%2Fg%2F11rhdw3_w2!19sChIJwTOlBmONIi4RM-lLM9MeFF8?authuser=0&hl=id&rclk=1,Pantai Batu Ketak,"4,7",https://lh5.googleusercontent.com/p/AF1QipPeZAY3XY_DlgW5Nzbt-FHCpf1k5AnKIOvyhH3r=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Ketak, Kecamatan Sungailiat, Kabupaten Bangka.",Pantai Batu Ketak memiliki karakteristik unik dengan batu-batu besar di tepinya serta air laut yang jernih. Suasana di pantai ini sangat tenang dan cocok untuk bersantai sambil menikmati suara ombak. Pengunjung dapat melakukan berbagai aktivitas seperti berenang atau hanya sekadar berjalan-jalan di sepanjang pantai. Keindahan alamnya menjadikan Pantai Batu Ketak sebagai tempat ideal untuk melepas penat dari rutinitas sehari-hari.,Pantai
https://www.google.com/maps/place/Pantai+Pasir+Padi/data=!4m7!3m6!1s0x2e22bf6f5ec5ae65:0x9f7c4d0802b9384e!8m2!3d-2.1112291!4d106.1700998!16s%2Fg%2F11f3r1p4d2!19sChIJZa7FXm-_Ii4RTji5AghNfJ8?authuser=0&hl=id&rclk=1,Pantai Pasir Padi,"4,5",https://lh5.googleusercontent.com/p/AF1QipPUb2IGuP8RkXODtGvFW0rkkCy9n7QMJkEQfEHZ=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Pasir Padi, Kecamatan Pangkal Balam, Kota Pangkal Pinang.","Pantai Pasir Padi terkenal dengan pasirnya yang lembut dan air lautnya yang biru jernih. Tempat ini sangat populer di kalangan keluarga karena suasananya yang ramah anak dan fasilitas pendukung seperti warung makanan dan area bermain. Pengunjung dapat menikmati berbagai aktivitas pantai seperti berjemur, bermain voli pantai, atau berenang. Keindahan matahari terbenam di Pantai Pasir Padi juga menjadi daya tarik tersendiri bagi para fotografer.",Pantai
https://www.google.com/maps/place/Pantai+Parai+Tenggiri/data=!4m7!3m6!1s0x2e22f4e5d4c78d53:0xf41a1faffb56928a!8m2!3d-1.8043515!4d106.1284172!16s%2Fg%2F121yhbjv!19sChIJU43H1OX0Ii4RipJW-68fGvQ?authuser=0&hl=id&rclk=1,Pantai Parai Tenggiri,"4,5",https://lh5.googleusercontent.com/p/AF1QipNHl1kuKmm0gvAL0Dq2moMeubNG2HO6rJWdtZZR=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Sinar Baru, Kecamatan Sungailiat, Kabupaten Bangka.","Pantai Parai Tenggiri merupakan salah satu pantai terindah di Bangka dengan pemandangan laut biru dan pasir putih bersih. Dikenal sebagai tempat wisata keluarga, pantai ini dilengkapi dengan berbagai fasilitas seperti restoran dan area bermain anak-anak. Pengunjung bisa menikmati kegiatan snorkeling untuk melihat keindahan bawah laut atau sekadar bersantai di tepi pantai sambil menikmati makanan lokal. Suasana santainya membuat Pantai Parai Tenggiri sangat cocok untuk liburan akhir pekan.",Pantai
"https://www.google.com/maps/place/Pantai+Pulau+Tiga,+Bio/data=!4m7!3m6!1s0x2e225f6051d12aa3:0xf10eb017ba4d1166!8m2!3d-1.7583468!4d106.0899553!16s%2Fg%2F11c539nz_l!19sChIJoyrRUWBfIi4RZhFNuhewDvE?authuser=0&hl=id&rclk=1","Pantai Pulau Tiga, Bio","4,4",https://lh5.googleusercontent.com/p/AF1QipOpVWgWKslXm9s76RHfmP90CBKcTunxT1yU-B9Q=w1220-h920-k-no,Kepulauan Bangka Belitung,"Pulau Tiga, Kecamatan Merawang, Kabupaten Bangka.","Pantai Pulau Tiga menawarkan keindahan alam tropis dengan pasir putih dan air laut yang jernih serta pulau-pulau kecil di sekitarnya. Tempat ini sangat cocok untuk snorkeling karena keanekaragaman hayati bawah lautnya yang kaya. Selain itu, pengunjung dapat melakukan aktivitas seperti memancing atau berkeliling pulau menggunakan perahu kecil. Keindahan alamnya menjadikan Pantai Pulau Tiga sebagai destinasi menarik bagi pecinta alam.",Pantai
https://www.google.com/maps/place/Eco+Wisata+Gusong+Bugis/data=!4m7!3m6!1s0x2e1717030db7abc7:0x5b04f5f1e39f3952!8m2!3d-2.765375!4d107.6120633!16s%2Fg%2F11c54bf0fb!19sChIJx6u3DQMXFy4RUjmf4_H1BFs?authuser=0&hl=id&rclk=1,Eco Wisata Gusong Bugis,"4,4",https://lh5.googleusercontent.com/p/AF1QipM-rvJxI4vWVlLZisOf8VfvFvhw2IqH8LIuSgQT=w1220-h920-k-no,Kepulauan Bangka Belitung,"Desa Gusong Bugis, Kecamatan Talang Kelapa, Kabupaten Banyuasin.","Eco Wisata Gusong Bugis adalah tempat wisata berbasis ekowisata yang menawarkan pengalaman berinteraksi langsung dengan alam dan budaya lokal. Di sini, pengunjung dapat melakukan kegiatan seperti berkebun, belajar tentang flora dan fauna lokal, serta mengikuti program konservasi lingkungan. Tempat ini juga menyediakan akomodasi sederhana untuk pengunjung yang ingin merasakan kehidupan pedesaan secara langsung sambil menikmati keindahan alam sekitar.",Lainnya
https://www.google.com/maps/place/Pantai+Tanjung+Pendam/data=!4m7!3m6!1s0x2e171660f6feb5b7:0xf3113cd8bcd076d5!8m2!3d-2.7411541!4d107.625789!16s%2Fg%2F11byx0pcdc!19sChIJt7X-9mAWFy4R1XbQvNg8EfM?authuser=0&hl=id&rclk=1,Pantai Tanjung Pendam,"4,4",https://lh5.googleusercontent.com/p/AF1QipPHkrtO-GfoTkuSg7XgOsEGKL8TNB1Jc9AZFnUb=w1220-h920-k-no,Kepulauan Bangka Belitung,"Tanjung Pendam, Kecamatan Belitung Timur, Kabupaten Belitung.",Pantai Tanjung Pendam dikenal dengan keindahan pasir putihnya dan air laut biru kehijauan yang jernih. Tempat ini sangat populer di kalangan wisatawan lokal maupun mancanegara karena suasananya yang nyaman dan fasilitas lengkap seperti kafe dan restoran pinggir pantai. Pengunjung dapat menikmati berbagai aktivitas seperti berenang atau sekadar bersantai sambil menikmati makanan khas daerah tersebut.,Pantai
