LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Welcome+To+Batam+Monument/data=!4m7!3m6!1s0x31d9891e3ba73eb3:0xf59a21297a6aba6!8m2!3d1.1222745!4d104.0534482!16s%2Fg%2F11b7tmtsbs!19sChIJsz6nOx6J2TERpqumlxKiWQ8?authuser=0&hl=id&rclk=1,Welcome To Batam Monument,"4,5",https://lh5.googleusercontent.com/p/AF1QipOAaTRMxZrevNetxAA1gFTQiIdPVyFWS4UMFtT1=w1220-h920  ,Kepulauan Riau,"Kecamatan Batam Kota, Kota Batam",Welcome To Batam Monument merupakan landmark ikonik yang terletak di Bukit Clara. Monumen ini menyerupai tulisan Hollywood Sign dan menjadi simbol penyambutan bagi wisatawan yang datang ke Batam. Tempat ini juga populer sebagai spot foto.,Lainnya
https://www.google.com/maps/place/Masjid+Jabal+Arafah/data=!4m7!3m6!1s0x31d9898716556609:0x456678fd449d8a35!8m2!3d1.1449494!4d104.0134685!16s%2Fg%2F1pzy6dyg3!19sChIJCWZVFoeJ2TERNYqdRP14ZkU?authuser=0&hl=id&rclk=1,Masjid Jabal Arafah,"4,8",https://lh5.googleusercontent.com/p/AF1QipNZjBIyd4COzz8NHRuwayoe23DVSo0QfPY3xZSl=w1550-h920  ,Kepulauan Riau,"Kecamatan Lubuk Baja, Kota Batam","Masjid Jabal Arafah adalah masjid modern yang menjadi salah satu tempat ibadah sekaligus destinasi wisata religi di Batam. Dengan desain arsitektur yang megah, masjid ini menawarkan suasana damai dan pemandangan kota dari menaranya.",Lainnya
https://www.google.com/maps/place/Batam+Centre+Park/data=!4m7!3m6!1s0x31d9890456e5474d:0xee8d00d5385ae78e!8m2!3d1.1285986!4d104.054619!16s%2Fg%2F11b7twtzvx!19sChIJTUflVgSJ2TERjudaONUAje4?authuser=0&hl=id&rclk=1,Batam Centre Park,"4,5",https://lh5.googleusercontent.com/p/AF1QipOOiqVV0vsX-kEPrKdfiyOYsiLlG8gn-OtTIXWe=w1220-h920  ,Kepulauan Riau,"Kecamatan Bengkong, Kota Batam","Batam Centre Park adalah taman kota yang menawarkan ruang hijau untuk bersantai dan berolahraga. Tempat ini dilengkapi dengan fasilitas jogging track, taman bermain anak, dan area piknik sehingga cocok untuk keluarga.",Taman Rekreasi
https://www.google.com/maps/place/Mega+Wisata+Ocarina+Batam/data=!4m7!3m6!1s0x31d989b3171d42eb:0xe12de96a78d48c4a!8m2!3d1.1525536!4d104.0568338!16s%2Fg%2F11h1sy5l0!19sChIJ60IdF7OJ2TERSozUeGrpLeE?authuser=0&hl=id&rclk=1,Mega Wisata Ocarina Batam,"4,2",https://lh5.googleusercontent.com/p/AF1QipPim3BOx_-yLex6Y_q1_ogwgcHrzjhcnniPUauP=w800-h1730  ,Kepulauan Riau,"Kecamatan Nongsa, Kota Batam",Mega Wisata Ocarina adalah taman rekreasi keluarga yang menawarkan berbagai wahana permainan seperti bianglala dan waterpark. Tempat ini juga memiliki area kuliner dan sering menjadi lokasi acara hiburan di Batam.,Taman Rekreasi
"https://www.google.com/maps/place/Pantai+Cinta,+Teluk+Jering+Tambang/data=!4m7!3m6!1s0x31d5a6eaad948359:0x7dbd5215415f6571!8m2!3d0.3861839!4d101.4109818!16s%2Fg%2F11f1sylhtp!19sChIJWYOUreqm1TERcWVfQRVSvX0?authuser=0&hl=id&rclk=1","Pantai Cinta, Teluk Jering Tambang","4,1",https://lh5.googleusercontent.com/p/AF1QipP8JrE4XezobVWW0QkEzSzxCNWcxzAXuko0d4s5=w1220-h920  ,Kepulauan Riau,"Kecamatan Sekupang, Kota Batam",Pantai Cinta adalah pantai indah dengan pasir putih dan suasana romantis yang cocok untuk pasangan maupun keluarga. Tempat ini populer sebagai lokasi piknik dan menikmati pemandangan matahari terbenam di tepi laut.,Pantai
https://www.google.com/maps/place/Gurun+Pasir+Bintan/data=!4m7!3m6!1s0x31d97785b76cdf9f:0xb88f489d3414be22!8m2!3d1.0135512!4d104.3221673!16s%2Fg%2F11c1mz8v1f!19sChIJn99st4V32TERIr4UNJ1Ij7g?authuser=0&hl=id&rclk=1,Gurun Pasir Bintan,"4,3",https://lh5.googleusercontent.com/p/AF1QipMTxy-pOrxThX6p2VGtzpwvufZUh_TL_rF0pwGt=w1630-h920  ,Kepulauan Riau,"Kecamatan Galang, Kota Batam",Gurun Pasir Bintan adalah destinasi unik berupa hamparan pasir putih yang menyerupai gurun di tengah pulau tropis. Tempat ini menjadi spot foto favorit karena keindahan alamnya yang eksotis dan berbeda dari tempat lain di Indonesia.,Lainnya
https://www.google.com/maps/place/Miniature+House+Indonesia/data=!4m7!3m6!1s0x31d989c5e249bc21:0x8137ba0ab488b160!8m2!3d1.1620625!4d104.0410735!16s%2Fg%2F11c2npsjxw!19sChIJIbxJ4sWJ2TERYLGItAq6N4E?authuser=0&hl=id&rclk=1,Miniature House Indonesia,"4,3",https://lh5.googleusercontent.com/p/AF1QipNg-D4W-B8IWHx94wjNJ7gB44IjLQpLLoqZ9D3h=w1220-h920  ,Kepulauan Riau,"Kabupaten Bintan, Kepulauan Riau",Miniature House Indonesia adalah destinasi wisata edukatif yang menampilkan miniatur rumah adat dari berbagai daerah di Indonesia. Tempat ini cocok untuk belajar tentang budaya nusantara sambil menikmati keindahan arsitektur miniatur.,Museum/Sejarah
https://www.google.com/maps/place/Pantai+Viovio/data=!4m7!3m6!1s0x31d9a5dfcc45a7e7:0xabd05172eb87106b!8m2!3d0.7494975!4d104.1904246!16s%2Fg%2F11cly5crrt!19sChIJ56dFzN-l2TERaxCH63JR0Ks?authuser=0&hl=id&rclk=1,Pantai Viovio,"4,2",https://lh5.googleusercontent.com/p/AF1QipMxaqWiYt2zIObWBIZsHCfdW8n7zkEvI0qzSfPo=w1970-h920  ,Kepulauan Riau,"Kabupaten Kampar, Riau",Pantai Viovio adalah pantai tersembunyi dengan pasir putih dan suasana tenang yang cocok untuk bersantai atau berenang. Tempat ini juga populer sebagai lokasi foto pre-wedding karena keindahan alamnya yang romantis dan alami.,Pantai
https://www.google.com/maps/place/Kebun+Raya+Batam/data=!4m7!3m6!1s0x31d9881947dfda55:0x9683d4a2ee984556!8m2!3d1.1704688!4d104.0813506!16s%2Fg%2F11cp8z1b85!19sChIJVdrfRxmI2TERVkWY7qLUg5Y?authuser=0&hl=id&rclk=1,Kebun Raya Batam,"3,9",https://lh5.googleusercontent.com/p/AF1QipMR-k1uhv4WU4nZQhw7wXBljA0aUR563o3p4kph=w1630-h920  ,Kepulauan Riau,"Kecamatan Batam Kota, Kota Batam",Kebun Raya Batam adalah kebun botani yang memiliki koleksi tanaman tropis serta area hijau untuk bersantai atau berolahraga ringan. Tempat ini juga menjadi lokasi penelitian flora lokal sekaligus destinasi wisata edukatif bagi pengunjung.,Taman Rekreasi
https://www.google.com/maps/place/Pantai+Tanjung+Pinggir/data=!4m7!3m6!1s0x31d98ad72228c3a9:0xef4abfdcca80a2f0!8m2!3d1.142253!4d103.9234858!16s%2Fg%2F11cn7g5vf1!19sChIJqcMoIteK2TER8KKAyty_Su8?authuser=0&hl=id&rclk=1,Pantai Tanjung Pinggir,"4,0",https://lh5.googleusercontent.com/p/AF1QipMUx-MgaOvP83fpR4IVrJai8nB2zJZdypBqC53Y=w800-h1060  ,Kepulauan Riau,"Kecamatan Lubuk Baja, Kota Batam","Pantai Tanjung Pinggir adalah destinasi wisata yang populer di Batam, dikenal dengan pemandangan laut yang menakjubkan dan pasir putihnya. Tempat ini ideal untuk bersantai, berenang, atau menikmati aktivitas air lainnya. Suasana tenang dan fasilitas yang memadai membuatnya cocok untuk keluarga dan pengunjung yang ingin menikmati keindahan alam.",Pantai
