LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Puncak+Mas/data=!4m7!3m6!1s0x2e40da70fc7cc05b:0x45c75571222bbd0a!8m2!3d-5.4204737!4d105.2284425!16s%2Fg%2F11csrkl1px!19sChIJW8B8_HDaQC4RCr0rInFVx0U?authuser=0&hl=id&rclk=1,Puncak Mas,"4,4",https://lh5.googleusercontent.com/p/AF1QipM2Le6tssc1ORDeh7qdbp_o-XOt8dHmiwUxqMh8=w1220-h920-k-no,Lampung,"Sukadanaham, Kecamatan Tanjung Karang Barat, Kota Bandar Lampung","Puncak Mas adalah destinasi wisata yang menawarkan pemandangan spektakuler dari ketinggian. Terletak di perbukitan, tempat ini memberikan panorama kota Bandar Lampung dan Teluk Lampung yang menawan. Pengunjung dapat menikmati berbagai fasilitas seperti viewing platform dan kantin. Tempat ini sangat cocok untuk bersantai sambil menikmati keindahan alam dan berfoto. Dengan suasana yang sejuk dan udara segar, Puncak Mas menjadi pilihan populer bagi keluarga dan wisatawan.",Puncak
https://www.google.com/maps/place/Lembah+Hijau/data=!4m7!3m6!1s0x2e40db6d4df733a9:0xeaef0ced763a7763!8m2!3d-5.4157651!4d105.2307269!16s%2Fg%2F11bwn44wyr!19sChIJqTP3TW3bQC4RY3c6du0M7-o?authuser=0&hl=id&rclk=1,Lembah Hijau,"4,3",https://lh5.googleusercontent.com/p/AF1QipNWqT_yzW48LRcQWAhJfqi_4f1J7mMM_u_GYbz5=w1220-h920-k-no,Lampung,"JI. Radin Imba Kesuma Ratu, Kecamatan Tanjung Karang Barat, Kota Bandar Lampung","Lembah Hijau adalah taman wisata yang menyajikan konsep pelestarian alam dengan berbagai wahana rekreasi. Di sini, pengunjung dapat belajar tentang lingkungan sambil menikmati berbagai aktivitas seperti bermain air dan berkeliling di area taman yang asri. Fasilitas lengkap seperti kolam renang, area bermain anak, dan tempat makan menjadikan Lembah Hijau sebagai tempat ideal untuk liburan keluarga. Keindahan alamnya yang hijau menambah daya tarik tempat ini.",Taman Rekreasi
https://www.google.com/maps/place/Water+Park+Lembah+Hijau/data=!4m7!3m6!1s0x2e40da64c0c06563:0x12ef060305857943!8m2!3d-5.414489!4d105.2323626!16s%2Fg%2F11cjh_tsly!19sChIJY2XAwGTaQC4RQ3mFBQMG7xI?authuser=0&hl=id&rclk=1,Water Park Lembah Hijau,"4,2",https://lh5.googleusercontent.com/p/AF1QipN11ZluielJGhIuc9CEZsdeRi9mY-E9LrAI1isz=w1220-h920-k-no,Lampung,"JI. Radin Imba Kesuma Ratu, Kecamatan Tanjung Karang Barat, Kota Bandar Lampung","Water Park Lembah Hijau merupakan wahana air yang menawarkan berbagai permainan air yang menyenangkan untuk semua usia. Dengan kolam renang yang luas dan seluncuran air yang menarik, tempat ini menjadi pilihan sempurna untuk menghabiskan waktu bersama keluarga. Selain itu, taman ini juga dikelilingi oleh pemandangan alam yang indah, menciptakan suasana santai bagi para pengunjung. Fasilitas makanan dan minuman juga tersedia untuk menambah kenyamanan saat berlibur di sini.",Taman Rekreasi
https://www.google.com/maps/place/Air+Terjun+Batu+Putu/data=!4m7!3m6!1s0x2e40da0accb33aad:0x7446a5f36e66317f!8m2!3d-5.4272834!4d105.2182887!16s%2Fg%2F11c5_5mh_2!19sChIJrTqzzAraQC4RfzFmbvOlRnQ?authuser=0&hl=id&rclk=1,Air Terjun Batu Putu,"4,1",https://lh5.googleusercontent.com/p/AF1QipOgt7dgCzfB8aZMHkbGtADIZa7CPIHbX3pJFCJo=w1220-h920-k-no,Lampung,"Desa Sukada Ham, Kecamatan Tanjung Karang Barat, Kota Bandar Lampung","Air Terjun Batu Putu adalah salah satu objek wisata alam yang menakjubkan di Lampung. Dengan ketinggian air terjun yang cukup mengesankan, tempat ini dikelilingi oleh hutan hijau yang rimbun dan suara gemericik air yang menenangkan. Untuk mencapai lokasi air terjun, pengunjung harus berjalan kaki sejauh 200 meter dari area parkir. Keindahan alam sekitar membuatnya menjadi tempat ideal bagi pecinta fotografi dan petualangan alam. Suasana sejuk di sekitar air terjun juga memberikan pengalaman relaksasi tersendiri bagi pengunjung.",Air Terjun
https://www.google.com/maps/place/Wisata+Puncak+Vietnam/data=!4m7!3m6!1s0x2e40d1dfa99f44ff:0x98afae67d78104e5!8m2!3d-5.4159927!4d105.1920952!16s%2Fg%2F11pcnbq8b0!19sChIJ_0Sfqd_RQC4R5QSB12eur5g?authuser=0&hl=id&rclk=1,Wisata Puncak Vietnam,"4,5",https://lh5.googleusercontent.com/p/AF1QipPDT8Dt0MsajRAuLdSp1VzCuEY2G2_8GZUbpKKO=w1220-h920-k-no,Lampung,"Kecamatan Tanjung Karang Barat, Kota Bandar Lampung",Wisata Puncak Vietnam menawarkan pengalaman unik dengan pemandangan mirip dengan lanskap Vietnam. Tempat ini dikenal dengan spot foto menarik dan panorama alam yang memukau. Pengunjung dapat menikmati suasana tenang sambil bersantai di ketinggian dengan latar belakang pegunungan hijau dan awan putih yang indah. Fasilitas seperti area parkir dan warung makan juga tersedia untuk kenyamanan para wisatawan. Wisata Puncak Vietnam sangat populer di kalangan anak muda dan keluarga yang ingin menikmati keindahan alam sambil berfoto-foto.,Puncak
https://www.google.com/maps/place/obyek+wisata+pahawang+lampung/data=!4m7!3m6!1s0x2e41254066994339:0x50e764509f602269!8m2!3d-5.6742298!4d105.2417888!16s%2Fg%2F11c614p48m!19sChIJOUOZZkAlQS4RaSJgn1Bk51A?authuser=0&hl=id&rclk=1,obyek wisata pahawang lampung,"4,6",https://lh5.googleusercontent.com/p/AF1QipM1wiknG68npbhBFSxS9kAsQBlIBdwBJPpFkGRb=w1220-h920-k-no,Lampung,"Kecamatan Marga Punduh, Kabupaten Pesawaran","Obyek Wisata Pahawang terkenal dengan keindahan pantai dan bawah lautnya yang memukau. Pulau ini menawarkan pasir putih bersih dan terumbu karang yang kaya akan biota laut, menjadikannya lokasi ideal untuk snorkeling dan diving. Selain itu, suasana tenang di pulau ini membuatnya cocok untuk bersantai atau berlibur bersama keluarga atau teman-teman. Berbagai fasilitas seperti cottage dan restoran juga tersedia untuk memenuhi kebutuhan para pengunjung saat berada di pulau ini. Keindahan alamnya menjadikan Pahawang salah satu destinasi wisata unggulan di Lampung.",Pantai
https://www.google.com/maps/place/Tebing+Vietnam/data=!4m7!3m6!1s0x2e40d192e7fa4f5f:0xfb7515beb07e5bfe!8m2!3d-5.4157712!4d105.1931744!16s%2Fg%2F11lm4580k0!19sChIJX0_655LRQC4R_lt-sL4Vdfs?authuser=0&hl=id&rclk=1,Tebing Vietnam,"4,5",https://lh5.googleusercontent.com/p/AF1QipPUoI_ZnEc5tQLvQMJCVsOJfBlpTNFvy6m4MP_c=w1220-h920-k-no,Lampung,"Kecamatan Tanjung Karang Barat, Kota Bandar Lampung","Tebing Vietnam adalah lokasi wisata alam yang menawarkan pemandangan tebing curam dengan latar belakang laut lepas. Tempat ini menjadi favorit bagi para pengunjung yang ingin menikmati keindahan sunset atau sekadar bersantai sambil menikmati angin laut. Dengan spot foto menarik di tebingnya, banyak pengunjung datang untuk mengabadikan momen indah mereka di sini. Suasana tenang dan pemandangan spektakuler menjadikan Tebing Vietnam sebagai salah satu tujuan wisata menarik di Bandar Lampung.",Lainnya
https://www.google.com/maps/place/Taman+Wisata+Hutan+Kera/data=!4m7!3m6!1s0x2e40da34a5024c39:0x45cc1c7913132f5f!8m2!3d-5.4322903!4d105.269483!16s%2Fg%2F11b6hypptz!19sChIJOUwCpTTaQC4RXy8TE3kczEU?authuser=0&hl=id&rclk=1,Taman Wisata Hutan Kera,"4,4",https://lh5.googleusercontent.com/p/AF1QipNJOS76spOtgmHgh5cMZ7ey28X5CqW_u1iD7V30=w1220-h920-k-no,Lampung,"Kecamatan Tanjung Karang Barat, Kota Bandar Lampung","Taman Wisata Hutan Kera adalah tempat rekreasi alami yang dikhususkan untuk melestarikan kera ekor panjang dalam habitat aslinya. Pengunjung dapat melihat kera-kera bermain bebas di lingkungan hutan yang asri sambil menikmati keindahan alam sekitar. Selain itu, taman ini juga menyediakan jalur trekking bagi pengunjung yang ingin menjelajahi lebih jauh ke dalam hutan. Fasilitas seperti area parkir dan tempat makan juga tersedia untuk kenyamanan para pelancong saat berkunjung ke taman ini. Tempat ini sangat cocok untuk keluarga maupun pecinta alam.",Hutan/Taman Nasional
https://www.google.com/maps/place/Teropong+Kota+Bukit+Sindy/data=!4m7!3m6!1s0x2e40daf773b74a0b:0x2380196c89aff0ae!8m2!3d-5.404551!4d105.2533784!16s%2Fg%2F11fy4prth1!19sChIJC0q3c_faQC4RrvCviWwZgCM?authuser=0&hl=id&rclk=1,Teropong Kota Bukit Sindy,"4,2",https://lh5.googleusercontent.com/p/AF1QipMf3nwsmB6oCwT79TT4mrOHqhRH22_GvjMCBDXg=w1220-h920-k-no,Lampung,"Kecamatan Tanjung Karang Barat, Kota Bandar Lampung",Teropong Kota Bukit Sindy adalah lokasi wisata yang menawarkan pemandangan kota Bandar Lampung dari ketinggian bukit. Tempat ini sangat populer di kalangan pengunjung yang ingin menikmati panorama kota saat matahari terbenam atau malam hari ketika lampu-lampu kota mulai menyala. Fasilitas teropong disediakan agar pengunjung dapat melihat lebih dekat keindahan kota dari atas bukit ini. Suasana sejuk dan pemandangan menawan menjadikan Teropong Kota Bukit Sindy sebagai tempat ideal untuk bersantai bersama teman atau keluarga sambil menikmati keindahan alam sekitar.,Gunung/Bukit
https://www.google.com/maps/place/Lampung+Walk/data=!4m7!3m6!1s0x2e40db19eaf5c531:0x9de19c0d5ff60558!8m2!3d-5.3906779!4d105.2766177!16s%2Fg%2F11cjh__jvn!19sChIJMcX16hnbQC4RWAX2Xw2c4Z0?authuser=0&hl=id&rclk=1,Lampung Walk,"4,5",https://lh5.googleusercontent.com/p/AF1QipM6Ij-wWmDJK_hZCwy3rxZUSB6Pjkd6MouKna0M=w1220-h920-k-no,Lampung,"JI. Diponegoro No.Kelurahan Bumi Waras, Kecamatan Bumi Waras, Kota Bandar Lampung","Lampung Walk adalah area rekreasi modern yang dirancang sebagai ruang terbuka hijau bagi masyarakat kota Bandar Lampung. Tempat ini dilengkapi dengan jalur pejalan kaki, taman bermain anak-anak, serta area olahraga yang nyaman untuk digunakan oleh pengunjung dari segala usia. Selain itu, terdapat berbagai fasilitas pendukung seperti kafe dan restoran di sekitar area tersebut sehingga pengunjung dapat menikmati waktu bersantai sambil mencicipi kuliner lokal atau minuman segar setelah berolahraga atau berjalan-jalan di taman ini. Keberadaan Lampung Walk memberikan alternatif rekreasi sehat bagi warga kota serta wisatawan yang berkunjung ke Bandar Lampung.",Lainnya
