LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Monumen+Gong+Perdamaian+Dunia/data=!4m7!3m6!1s0x2d6ce85058510ac7:0x82e5d75c684bc1d7!8m2!3d-3.6931271!4d128.1812074!16s%2Fg%2F1ptwl3c2q!19sChIJxwpRWFDobC0R18FLaFzX5YI?authuser=0&hl=id&rclk=1,Monumen Gong Perdamaian Dunia,"4,5",https://lh5.googleusercontent.com/p/AF1QipN58pkGjEiV93WraEjjbjPosMKpGl5KryngmvRW=w1220-h920-k-no,Maluku,"Kecamatan Sirimau, Kota Ambon","Monumen ini merupakan simbol perdamaian yang dibangun untuk memperingati peristiwa bersejarah di Maluku. Dengan desain yang unik dan megah, monumen ini menarik banyak pengunjung yang ingin belajar tentang sejarah perdamaian di daerah ini.",Lainnya
https://www.google.com/maps/place/Lubang+Buaya+Morela/data=!4m7!3m6!1s0x2d6cf6ae7693ae9f:0x201c7423df81cfcc!8m2!3d-3.5183437!4d128.2236557!16s%2Fg%2F11c45sxdpv!19sChIJn66Tdq72bC0RzM-B3yN0HCA?authuser=0&hl=id&rclk=1,Lubang Buaya Morela,"4,6",https://lh5.googleusercontent.com/p/AF1QipPJi97suv6OEUM96gLym9rg_BgzfkGuYOjTxB4p=w1220-h920-k-no,Maluku,"Kecamatan Leihitu, Kabupaten Maluku Tengah","Lubang Buaya di Morela adalah sebuah lokasi yang memiliki keindahan alam yang menakjubkan. Tempat ini terkenal dengan panorama laut yang jernih dan tebing-tebing yang curam, menjadikannya tempat ideal untuk berfoto dan bersantai.",Pantai
https://www.google.com/maps/place/Taman+Pattimura/data=!4m7!3m6!1s0x2d6ce8519e8f62bd:0xdd06871045372d08!8m2!3d-3.6930491!4d128.1836667!16s%2Fg%2F1pp2vm95d!19sChIJvWKPnlHobC0RCC03RRCHBt0?authuser=0&hl=id&rclk=1,Taman Pattimura,"4,5",https://lh5.googleusercontent.com/p/AF1QipM9PGUf5mNy4pgRflGW0LhpD2_Q-FMemKCeN9Z0=w1220-h920-k-no,Maluku,"Kecamatan Sirimau, Kota Ambon","Taman Pattimura adalah taman kota yang sangat indah dan asri. Dikenal sebagai tempat berkumpulnya masyarakat, taman ini dilengkapi dengan fasilitas rekreasi seperti jogging track dan area bermain anak, cocok untuk keluarga.",Taman Rekreasi
https://www.google.com/maps/place/Pantai+Ngurbloat+Desa+Ngilngof+-+Kei+Islands/data=!4m7!3m6!1s0x2d30042fc9123f8f:0xd3a4a88054e326f!8m2!3d-5.6624981!4d132.6362396!16s%2Fg%2F11b86hyzjt!19sChIJjz8SyS8EMC0RbzJOBYhKOg0?authuser=0&hl=id&rclk=1,Pantai Ngurbloat Desa Ngilngof - Kei Islands,"4,7",https://lh5.googleusercontent.com/p/AF1QipNesilgShvrhk01R0hR_ym75wi4sKhwxiqoQDCG=w1220-h920-k-no,Maluku,"Kecamatan Manyeuw, Kabupaten Maluku Tenggara","Pantai Ngurbloat adalah salah satu pantai terindah di Maluku dengan pasir putih dan air laut yang jernih. Dikenal dengan keindahan alamnya yang alami, pantai ini menawarkan suasana tenang dan nyaman bagi pengunjung untuk bersantai.",Pantai
https://www.google.com/maps/place/Pantai+Pintu+Kota+Ambon/data=!4m7!3m6!1s0x2d6cc335f61cc1e9:0x456317295a6201a6!8m2!3d-3.7705365!4d128.1524331!16s%2Fg%2F11b7vd74_p!19sChIJ6cEc9jXDbC0RpgFiWikXY0U?authuser=0&hl=id&rclk=1,Pantai Pintu Kota Ambon,"4,4",https://lh5.googleusercontent.com/p/AF1QipOovZHFyeSvxOwe3OZW_1UxzEDYnd56P20hSA-c=w1220-h920-k-no,Maluku,"Kecamatan Nusaniwe, Kota Ambon",Pantai Pintu Kota terkenal karena karang raksasa yang memiliki lubang di tengahnya. Keunikan ini menarik banyak wisatawan untuk berfoto dan menikmati pemandangan laut Banda yang menakjubkan dari atas karang tersebut.,Pantai
https://www.google.com/maps/place/Air+Panas+Tulehu/data=!4m7!3m6!1s0x2d6ced51d3a82f9d:0x5f4e01bca0cc1e18!8m2!3d-3.5930289!4d128.3086536!16s%2Fg%2F11cnbtyj6f!19sChIJnS-o01HtbC0RGB7MoLwBTl8?authuser=0&hl=id&rclk=1,Air Panas Tulehu,"4,3",https://lh5.googleusercontent.com/p/AF1QipNruTjKA7qKGHGXOVs2758TrpsEUKo702GrCDtO=w1220-h920-k-no,Maluku,"Kecamatan Salahutu, Kabupaten Maluku Tengah",Air Panas Tulehu adalah sumber air panas alami yang dikelilingi oleh pemandangan alam yang indah. Tempat ini menjadi favorit bagi wisatawan yang ingin relaksasi sambil menikmati kehangatan air panas dan keindahan alam sekitarnya.,Lainnya
https://www.google.com/maps/place/Cagar+Budaya+van+VOC+Fort+Benteng+Amsterdam/data=!4m7!3m6!1s0x2d6cfad4c6874ac7:0xb2ee545928ea5c55!8m2!3d-3.5828682!4d128.0831395!16s%2Fm%2F0wyjt8d!19sChIJx0qHxtT6bC0RVVzqKFlU7rI?authuser=0&hl=id&rclk=1,Cagar Budaya van VOC Fort Benteng Amsterdam,"4,5",https://lh5.googleusercontent.com/p/AF1QipOvb96RQtFtztGkX9eeITyTI5zfCl07r8aPqJDa=w1220-h920-k-no,Maluku,"Kecamatan Leihitu, Kabupaten Maluku Tengah","Benteng Amsterdam merupakan situs bersejarah peninggalan Belanda yang terletak di Banda Neira. Dengan arsitektur kolonial yang megah, tempat ini menawarkan wawasan mendalam tentang sejarah penjajahan di Indonesia dan sangat menarik untuk dikunjungi.",Museum/Sejarah
https://www.google.com/maps/place/Pantai+Kota+Jawa/data=!4m7!3m6!1s0x2d6ce97313f9e59b:0x18ccd1e2d47dd569!8m2!3d-3.6613789!4d128.1790623!16s%2Fg%2F11jhxwlfxv!19sChIJm-X5E3PpbC0RadV91OLRzBg?authuser=0&hl=id&rclk=1,Pantai Kota Jawa,"4,4",https://lh5.googleusercontent.com/p/AF1QipObp9Fbmk7Z2rFQTbtWrfCr-RZEtg60rAH2lSzI=w1220-h920-k-no,Maluku,"Kecamatan Teluk Ambon, Kota Ambon","Pantai Kota Jawa dikenal dengan pemandangan matahari terbenamnya yang spektakuler. Dengan pasir putih dan ombak yang tenang, tempat ini menjadi pilihan ideal bagi wisatawan untuk bersantai sambil menikmati keindahan alam sekitar.",Pantai
https://www.google.com/maps/place/Benteng+VOC+Belgica/data=!4m7!3m6!1s0x2d15860903e4fb6b:0xfabde573db11c1a7!8m2!3d-4.526129!4d129.8989078!16s%2Fm%2F05mv5_d!19sChIJa_vkAwmGFS0Rp8ER23Plvfo?authuser=0&hl=id&rclk=1,Benteng VOC Belgica,"4,7",https://lh5.googleusercontent.com/p/AF1QipNWfhIg3a1wyyH9uAdEra2xrfhT59aQ2b6DIn8I=w1220-h920-k-no,Maluku,"Kecamatan Banda, Kabupaten Maluku Tengah",Benteng Belgica adalah salah satu benteng bersejarah di Banda Neira yang dibangun oleh Belanda. Keberadaan benteng ini memberikan gambaran tentang sejarah perdagangan rempah-rempah di Indonesia dan menawarkan pemandangan laut yang memukau.,Museum/Sejarah
https://www.google.com/maps/place/Pantai+Ina+Marina/data=!4m7!3m6!1s0x2d6b982edabe8d0b:0x64b55143ad1008c3!8m2!3d-3.299009!4d128.953178!16s%2Fg%2F11cn9s9np6!19sChIJC42-2i6Yay0RwwgQrUNRtWQ?authuser=0&hl=id&rclk=1,Pantai Ina Marina,"4,3",https://lh5.googleusercontent.com/p/AF1QipNq8ZcjWGOyvR6jOWOMFGeSxYcsnF18tJYqE2Qp=w1220-h920-k-no,Maluku,"Kecamatan Kota Masohi, Kabupaten Maluku Tengah",Pantai Ina Marina menawarkan suasana pantai yang tenang dengan fasilitas lengkap untuk pengunjung seperti restoran dan tempat bermain anak. Ini adalah tempat populer bagi keluarga untuk menghabiskan waktu bersama sambil menikmati laut.,Pantai
