LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Pantai+Seger+Kuta+Lombok/data=!4m7!3m6!1s0x2dcd07688be32eb3:0x4a2b5a1298bb615b!8m2!3d-8.907198!4d116.2970394!16s%2Fg%2F11cjh_bn9b!19sChIJsy7ji2gHzS0RW2G7mBJaK0o?authuser=0&hl=id&rclk=1,Pantai Seger Kuta Lombok,"4,5",https://lh5.googleusercontent.com/p/AF1QipMI2OHiqTpXYrQx1KVXEPVIsv79Cre3aMSOC9tq=w1220-h920-k-no,Nusa Tenggara Barat,"Pujut, Lombok Tengah","Pantai Seger merupakan salah satu pantai terkenal di Kuta, Lombok. Dikenal dengan pasir putihnya yang halus dan air laut yang jernih, pantai ini menjadi tempat yang ideal untuk bersantai dan menikmati pemandangan. Selain itu, Pantai Seger sering menjadi lokasi acara budaya dan festival, sehingga pengunjung dapat merasakan keindahan alam sekaligus budaya lokal. Aktivitas seperti surfing dan snorkeling juga tersedia bagi pengunjung yang ingin menjelajahi keindahan bawah lautnya.",Pantai
https://www.google.com/maps/place/Bukit+Merese/data=!4m7!3m6!1s0x2dcdb3a83b5a599f:0xf8cf6a8d2d088cc!8m2!3d-8.9139299!4d116.3190063!16s%2Fg%2F11c1p92mc8!19sChIJn1laO6izzS0RzIjQ0qj2jA8?authuser=0&hl=id&rclk=1,Bukit Merese,"4,7",https://lh5.googleusercontent.com/p/AF1QipMggwJEvFiPvunTNK3gdx1Phk42xcrrkaww7RhF=w1220-h920-k-no,Nusa Tenggara Barat,"Pujut, Lombok Tengah","Bukit Merese menawarkan panorama alam yang menakjubkan dari ketinggian. Dari puncaknya, pengunjung dapat menikmati pemandangan laut biru yang luas dan hamparan bukit hijau di sekitarnya. Tempat ini sangat populer untuk menyaksikan matahari terbenam yang spektakuler. Trekking menuju puncak Bukit Merese cukup mudah dan cocok untuk semua kalangan, menjadikannya destinasi favorit bagi wisatawan yang mencari ketenangan dan keindahan alam.",Puncak
https://www.google.com/maps/place/Wisata+Bunut+ngengkang/data=!4m7!3m6!1s0x2dcdb9a1974ecbc3:0x6ffde1e479f14570!8m2!3d-8.5336071!4d116.2449695!16s%2Fg%2F11qrvw5thp!19sChIJw8tOl6G5zS0RcEXxeeTh_W8?authuser=0&hl=id&rclk=1,Wisata Bunut ngengkang,"4,4",https://lh5.googleusercontent.com/p/AF1QipPq9nNbFR1z7DFIgT34dD_4oM6xrIkgmoYVXHy8=w1220-h920-k-no,Nusa Tenggara Barat,"Praya Barat Daya, Lombok Tengah","Wisata Bunut Ngengkang adalah sebuah tempat wisata yang terkenal dengan pohon Bunut besar yang berusia ratusan tahun. Tempat ini memiliki daya tarik tersendiri dengan suasana alami yang tenang dan sejuk. Pengunjung dapat bersantai di bawah naungan pohon sambil menikmati keindahan alam sekitar. Selain itu, lokasi ini juga sering digunakan untuk kegiatan piknik dan foto pre-wedding karena keindahannya.",Lainnya
https://www.google.com/maps/place/Narmada+Park/data=!4m7!3m6!1s0x2dcdb86c86247e03:0x567bd12fafb3bd15!8m2!3d-8.5952444!4d116.2045501!16s%2Fg%2F11c2pfl5mt!19sChIJA34khmy4zS0RFb2zry_Re1Y?authuser=0&hl=id&rclk=1,Narmada Park,"4,4",https://lh5.googleusercontent.com/p/AF1QipOjtmGhRRQPELMP5Q-iOk3lcqapm04-tU28AAYh=w1220-h920-k-no,Nusa Tenggara Barat,"Narmada, Lombok Barat","Narmada Park adalah taman yang dibangun pada abad ke-18 oleh Raja Anak Agung Gede Ngurah Karangasem sebagai tempat peristirahatan. Taman ini memiliki kolam-kolam cantik dan replika Gunung Rinjani serta berbagai jenis tanaman tropis. Selain sebagai tempat wisata sejarah, Narmada Park juga menjadi lokasi ritual suci bagi masyarakat Hindu setempat. Pengunjung dapat menikmati suasana tenang sambil belajar tentang sejarah dan budaya lokal.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Nasional+Gunung+Rinjani/data=!4m7!3m6!1s0x2dcdbfa557b60e8d:0xfb30eb6803f8493c!8m2!3d-8.3596891!4d116.5243623!16s%2Fm%2F027j63d!19sChIJjQ62V6W_zS0RPEn4A2jrMPs?authuser=0&hl=id&rclk=1,Taman Nasional Gunung Rinjani,"4,7",https://lh5.googleusercontent.com/p/AF1QipPVNAcu6j0fN35uiWvX2N7G2JLxy7nAfcuqzyIi=w1220-h920-k-no,Nusa Tenggara Barat,"Sembalun, Lombok Timur","Taman Nasional Gunung Rinjani adalah kawasan konservasi yang meliputi Gunung Rinjani, gunung tertinggi kedua di Indonesia. Taman ini menawarkan jalur pendakian yang menantang serta pemandangan alam yang luar biasa, termasuk Danau Segara Anak yang indah di kawah gunung. Para pendaki dapat menikmati pengalaman trekking sambil menyaksikan flora dan fauna khas daerah pegunungan. Taman ini juga menjadi tempat penting bagi penelitian ilmiah dan konservasi lingkungan.",Gunung/Bukit
https://www.google.com/maps/place/Desa+Wisata+Sesaot/data=!4m7!3m6!1s0x2dcdc9095a0afa7b:0x64efe122246b27b9!8m2!3d-8.5400401!4d116.2441693!16s%2Fg%2F11pf80256f!19sChIJe_oKWgnJzS0RuSdrJCLh72Q?authuser=0&hl=id&rclk=1,Desa Wisata Sesaot,"4,4",https://lh5.googleusercontent.com/p/AF1QipMDGysILCGBAAlaG21oRiwx7GdB1X2zU0pLMcps=w1220-h920-k-no,Nusa Tenggara Barat,"Narmada, Lombok Barat","Desa Wisata Sesaot menawarkan pengalaman unik bagi pengunjung untuk merasakan kehidupan masyarakat lokal suku Sasak. Di sini, wisatawan dapat belajar tentang kerajinan tangan tradisional seperti tenun ikat serta berpartisipasi dalam kegiatan sehari-hari penduduk desa. Suasana pedesaan yang asri dan keramahan penduduk membuat tempat ini ideal untuk wisata edukatif dan budaya. Pengunjung juga dapat menikmati kuliner khas Lombok saat berkunjung ke desa ini.",Desa Wisata
https://www.google.com/maps/place/WISATA+TANDUNG-ANDUNG/data=!4m7!3m6!1s0x2dcdb54dc13840d9:0xb2b524be631b5796!8m2!3d-8.5913311!4d116.3749243!16s%2Fg%2F11jnpszb83!19sChIJ2UA4wU21zS0RllcbY74ktbI?authuser=0&hl=id&rclk=1,WISATA TANDUNG-ANDUNG,"4,4",https://lh5.googleusercontent.com/p/AF1QipOD7txyhG8vHf5G4n_k2qULZKvlZ_cDWolB5NG0=w1220-h920-k-no,Nusa Tenggara Barat,"Kediri, Lombok Barat","Wisata Tandung-Andung adalah destinasi alam yang menawarkan pemandangan indah dari atas bukit dengan latar belakang sawah hijau nan subur. Tempat ini cocok untuk trekking ringan dan fotografi karena keindahan lanskapnya. Selain itu, pengunjung dapat menikmati udara segar dan suasana damai jauh dari hiruk-pikuk kota. Lokasinya juga sering digunakan sebagai tempat berkumpul komunitas lokal untuk berbagai kegiatan sosial dan budaya.",Lainnya
https://www.google.com/maps/place/Bukit+Pergasingan/data=!4m7!3m6!1s0x2dcc321fd286476d:0x3a9263fd14e1cd13!8m2!3d-8.3454136!4d116.5330492!16s%2Fg%2F11c0vnpcv0!19sChIJbUeG0h8yzC0RE83hFP1jkjo?authuser=0&hl=id&rclk=1,Bukit Pergasingan,"4,8",https://lh5.googleusercontent.com/p/AF1QipOXeVay6l4mw0vi9N4nFcfSm682bDMVuv0BOZpu=w1220-h920-k-no,Nusa Tenggara Barat,"Sembalun Lawang, Sembalun, Lombok Timur",Bukit Pergasingan adalah salah satu destinasi trekking populer di Lombok dengan pemandangan spektakuler dari puncaknya. Pendakian menuju bukit ini memakan waktu sekitar 3 hingga 4 jam dan menawarkan panorama indah dari area sekitarnya termasuk sawah terasering dan pegunungan lainnya. Tempat ini sangat cocok bagi para pecinta alam dan petualangan yang ingin merasakan pengalaman mendaki sambil menikmati keindahan alam Lombok.,Puncak
https://www.google.com/maps/place/Museum+Negeri+Nusa+Tenggara+Barat/data=!4m7!3m6!1s0x2dcdc07e57ab2055:0x559532ffe67ed68f!8m2!3d-8.5850895!4d116.0858706!16s%2Fm%2F0r4ldj7!19sChIJVSCrV37AzS0Rj9Z-5v8ylVU?authuser=0&hl=id&rclk=1,Museum Negeri Nusa Tenggara Barat,"4,6",https://lh5.googleusercontent.com/p/AF1QipNBa3Ajue14aP1hbxiQB-UkIwMzj99dJ-3NhV2-=w1220-h920-k-no,Nusa Tenggara Barat,"Dasan Agung Baru, Mataram",Museum Negeri Nusa Tenggara Barat menyimpan berbagai koleksi artefak budaya dan sejarah daerah NTB. Pengunjung dapat menemukan informasi mengenai sejarah lokal serta keragaman budaya suku-suku di NTB melalui pameran permanen dan temporer. Museum ini menjadi tempat penting untuk pendidikan masyarakat serta pelestarian warisan budaya daerah sehingga cocok untuk semua kalangan pengunjung termasuk pelajar dan wisatawan asing.,Museum/Sejarah
https://www.google.com/maps/place/Bangko+Bangko/data=!4m7!3m6!1s0x2dcd902b5c0c00b3:0x704a12610741d6e4!8m2!3d-8.7263472!4d115.8576509!16s%2Fg%2F11b8z_f9rw!19sChIJswAMXCuQzS0R5NZBB2ESSnA?authuser=0&hl=id&rclk=1,Bangko Bangko,"4,3",https://lh5.googleusercontent.com/p/AF1QipPDTGdnmgwnM1EKzXW_vNpY4MyxvEJAJKiKI8YG=w1220-h920-k-no,Nusa Tenggara Barat,"Sekotong, Lombok Barat",Bangko Bangko dikenal sebagai salah satu spot surfing terbaik di Lombok dengan ombak yang menantang bagi para peselancar profesional maupun pemula. Pantai ini memiliki pasir putih yang bersih serta air laut biru jernih sehingga sangat menarik bagi para penggemar olahraga air lainnya seperti snorkeling dan diving. Suasana sekitarnya yang tenang menjadikan Bangko Bangko pilihan tepat untuk bersantai setelah beraktivitas di laut.,Pantai
https://www.google.com/maps/place/Wisata+Alam+Semongkat/data=!4m7!3m6!1s0x2dcb8e9d06784a11:0x3c98bfe2fff5b9e3!8m2!3d-8.5742263!4d117.3133257!16s%2Fg%2F11c4b9pxtr!19sChIJEUp4Bp2Oyy0R47n1_-K_mDw?authuser=0&hl=id&rclk=1,Wisata Alam Semongkat,"4,3",https://lh5.googleusercontent.com/p/AF1QipMvKweV6zonbZRNCaMso5RLHSmcSGSfst54rXEY=w1220-h920-k-no,Nusa Tenggara Barat,"Batulayar, Lombok Barat",Wisata Alam Semongkat merupakan destinasi menarik dengan pemandangan alam yang asri serta hutan tropis yang lebat. Di sini pengunjung dapat melakukan aktivitas hiking atau trekking sambil menikmati keindahan flora dan fauna lokal serta udara segar pegunungan. Tempat ini juga cocok untuk kegiatan camping bagi mereka yang ingin merasakan pengalaman berkemah di tengah alam bebas dengan teman-teman atau keluarga.,Hutan/Taman Nasional
https://www.google.com/maps/place/Istana+Dalam+Loka/data=!4m7!3m6!1s0x2dcb933eb99e0009:0x93d7c6363616745c!8m2!3d-8.5044344!4d117.4274255!16s%2Fg%2F11b774103l!19sChIJCQCeuT6Tyy0RXHQWNjbG15M?authuser=0&hl=id&rclk=1,Istana Dalam Loka,"4,6",https://lh5.googleusercontent.com/p/AF1QipPT-bAN2dscvJyEyPLRuHPD_m5QRgAeTo78CjmN=w1220-h920-k-no,Nusa Tenggara Barat,"Sumbawa Besar, Sumbawa","Istana Dalam Loka adalah situs bersejarah yang merupakan bekas kediaman raja-raja Sumbawa. Bangunan ini mencerminkan arsitektur tradisional yang kaya akan nilai sejarah dan budaya. Di dalam istana, pengunjung dapat melihat berbagai koleksi artefak dan benda bersejarah yang berkaitan dengan sejarah kerajaan Sumbawa. Tempat ini sering dijadikan lokasi penelitian dan edukasi bagi mereka yang tertarik dengan sejarah lokal. Istana ini juga menjadi simbol kebanggaan masyarakat Sumbawa dan sering dikunjungi oleh wisatawan yang ingin memahami lebih dalam tentang warisan budaya daerah.",Museum/Sejarah
https://www.google.com/maps/place/Taman+Wisata+Liang+Bukal/data=!4m7!3m6!1s0x2dcb999ec2f02433:0x29da3164369dcdc4!8m2!3d-8.6927287!4d117.4908738!16s%2Fg%2F11c76jk3n_!19sChIJMyTwwp6Zyy0RxM2dNmQx2ik?authuser=0&hl=id&rclk=1,Taman Wisata Liang Bukal,"4,3",https://lh5.googleusercontent.com/p/AF1QipPQ5z3IQauITZGUXkRoR_r9-ycxIysQdtndhvSt=w1220-h920-k-no,Nusa Tenggara Barat,"Liang Bukal, Lombok Barat",Taman Wisata Liang Bukal menawarkan keindahan alam yang memukau dengan hutan tropis yang lebat dan berbagai jenis flora dan fauna. Tempat ini merupakan lokasi ideal untuk trekking dan menikmati keindahan alam sambil belajar tentang ekosistem hutan. Taman ini juga dilengkapi dengan fasilitas untuk pengunjung seperti jalur trekking dan area piknik. Suasana tenang dan sejuk di taman ini membuatnya cocok untuk berlibur bersama keluarga atau teman-teman sambil menikmati keindahan alam yang asri.,Hutan/Taman Nasional
https://www.google.com/maps/place/Pantai+Elak+Elak/data=!4m7!3m6!1s0x2dcd974e59ad0b2f:0x267fd952b1a11e!8m2!3d-8.7304684!4d115.9662355!16s%2Fg%2F11cjh_3f63!19sChIJLwutWU6XzS0RHqGxUtl_JgA?authuser=0&hl=id&rclk=1,Pantai Elak Elak,"4,3",https://lh5.googleusercontent.com/p/AF1QipOxicJHSnynA0t0sZYB70q3BcoTwQJhuRIvyefL=w1220-h920-k-no,Nusa Tenggara Barat,"Sekotong, Lombok Barat","Pantai Elak Elak dikenal dengan hamparan pasir putihnya yang luas dan ombak yang tenang, menjadikannya tempat ideal untuk bersantai bersama keluarga. Terletak di ujung barat pulau Lombok, pantai ini menawarkan pemandangan laut yang jernih serta dikelilingi oleh pulau-pulau kecil. Fasilitas seperti toilet umum dan gazebo tersedia untuk kenyamanan pengunjung. Selain itu, Pantai Elak Elak juga dikenal sebagai tempat yang aman untuk anak-anak bermain air karena ombaknya yang tidak terlalu besar",Pantai
https://www.google.com/maps/place/Pantai+Tanjung+Bloam/data=!4m7!3m6!1s0x2dccf8798e3d9395:0xc4b1c85f1903be4a!8m2!3d-8.8792522!4d116.5701922!16s%2Fg%2F11c53gjq3j!19sChIJlZM9jnn4zC0RSr4DGV_IscQ?authuser=0&hl=id&rclk=1,Pantai Tanjung Bloam,"4,4",https://lh5.googleusercontent.com/p/AF1QipOIM4w99-Kx543_ITnvbqEabTc1jkDE01Uk3mkP=w1220-h920-k-no,Nusa Tenggara Barat,"Jerowaru, Lombok Timur",Pantai Tanjung Bloam adalah destinasi wisata yang menawarkan pemandangan indah dengan tebing-tebing karang yang menjorok ke laut. Pantai ini terkenal dengan air lautnya yang jernih dan suasana sekitarnya yang masih alami. Pengunjung dapat menikmati keindahan bawah laut melalui snorkeling atau sekadar bersantai di tepi pantai sambil menikmati angin laut. Lokasi ini juga menjadi tempat favorit bagi fotografer untuk mengabadikan momen indah saat matahari terbenam.,Pantai
https://www.google.com/maps/place/Pantai+Goa/data=!4m7!3m6!1s0x2dcbed8de943dbad:0x52eef35bb3e70087!8m2!3d-8.469612!4d117.3800911!16s%2Fg%2F11k44pm7ft!19sChIJrdtD6Y3tyy0RhwDns1vz7lI?authuser=0&hl=id&rclk=1,Pantai Goa,"4,7",https://lh5.googleusercontent.com/p/AF1QipMwBFnkIyN1iBaIEqHsoJslo2S9P1KhGXaMjHWY=w1220-h920-k-no,Nusa Tenggara Barat,"Kecamatan Praya Barat Daya, Lombok Tengah","Pantai Goa adalah pantai tersembunyi yang menawarkan keindahan alam dengan pasir putih dan air laut biru jernih. Dikenal dengan goa-goa kecil di sekitarnya, tempat ini menjadi daya tarik tersendiri bagi para pengunjung yang suka menjelajah alam. Suasana tenang di pantai ini sangat cocok untuk bersantai atau melakukan aktivitas snorkeling untuk menjelajahi kehidupan bawah lautnya. Pantai Goa juga sering dijadikan lokasi untuk kegiatan camping bagi mereka yang ingin menikmati malam di bawah bintang-bintang.",Pantai
https://www.google.com/maps/place/Gelora+Beach+-+Meno+Sumbawa/data=!4m7!3m6!1s0x2dcbf7bab52d1da9:0xc7de888ec5aea258!8m2!3d-8.4086835!4d117.2136093!16s%2Fg%2F11qnthccm0!19sChIJqR0ttbr3yy0RWKKuxY6I3sc?authuser=0&hl=id&rclk=1,Gelora Beach - Meno Sumbawa,"4,3",https://lh5.googleusercontent.com/p/AF1QipMT5H0hvNRq5Kzi5sTl6RaAnAJUzANhiRZtCW6b=w1220-h920-k-no,Nusa Tenggara Barat,"Meno Sumbawa, Sumbawa Besar","Gelora Beach merupakan pantai indah di Meno Sumbawa dengan pasir putih halus dan air laut yang bening. Tempat ini ideal untuk berenang dan bersantai sambil menikmati pemandangan alam sekitar yang eksotis. Gelora Beach juga dikelilingi oleh pepohonan hijau yang memberikan suasana sejuk bagi pengunjung. Aktivitas seperti berjemur dan piknik sangat populer di pantai ini, menjadikannya pilihan tepat untuk liburan keluarga atau bersama teman-teman.",Pantai
