LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
"https://www.google.com/maps/place/Taman+Nasional+Komodo/@-8.5277159,119.47302,15z/data=!3m1!4b1!4m6!3m5!1s0x2db4f8f329ac91b9:0xb1a1078870e0d162!8m2!3d-8.527716!4d119.4833198!16zL20vMDJ6cGhm?entry=ttu&g_ep=EgoyMDI1MDMxOS4yIKXMDSoASAFQAw%3D%3D",Taman Nasional Komodo,"4,6",https://lh5.googleusercontent.com/p/AF1QipOVwgsl-_bK9XwmSjvp9aTlwDWTTV3lm5m8aKOa=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Komodo, Kabupaten Manggarai Barat","Taman Nasional Komodo adalah salah satu situs warisan dunia yang terkenal dengan populasi kadal raksasa, komodo. Taman ini terdiri dari beberapa pulau, termasuk Pulau Komodo, Pulau Rinca, dan Pulau Padar. Selain melihat komodo, pengunjung dapat menikmati keindahan alam yang menakjubkan, termasuk pantai-pantai berpasir putih dan pemandangan perbukitan yang hijau. Aktivitas seperti trekking dan snorkeling juga populer di kawasan ini.",Lainnya
https://www.google.com/maps/place/Waerebo+Village/data=!4m7!3m6!1s0x2db36459b2e80e9d:0xce74c6b87dcb8a88!8m2!3d-8.7691132!4d120.2841863!16s%2Fg%2F11b6bn90h1!19sChIJnQ7osllksy0RiIrLfbjGdM4?authuser=0&hl=id&rclk=1,Waerebo Village,"4,7",https://lh5.googleusercontent.com/p/AF1QipOTr3AZ-P7yrj45-e5GikFGT2An5BlGgwKvg5qc=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Satarmese, Kabupaten Manggarai","Desa Waerebo adalah desa adat yang terletak di ketinggian 1.200 mdpl dan dikenal sebagai ""desa di atas awan."" Desa ini terkenal dengan rumah adat berbentuk kerucut yang disebut Mbaru Niang. Keindahan alam sekitarnya dan budaya lokal yang kaya menjadikan Waerebo sebagai destinasi wisata yang menarik bagi para pelancong. Pengunjung dapat merasakan kehidupan masyarakat setempat serta menikmati panorama pegunungan yang menakjubkan.",Desa Wisata
https://www.google.com/maps/place/Batu+Termanu/data=!4m7!3m6!1s0x2c56d33b505839d7:0x6f48315944dabb10!8m2!3d-10.6741859!4d123.0952443!16s%2Fg%2F11c1sjglxl!19sChIJ1zlYUDvTViwRELvaRFkxSG8?authuser=0&hl=id&rclk=1,Batu Termanu,"4,7",https://lh5.googleusercontent.com/p/AF1QipNkzNM-jaIeRysTxvfsFu3QsXyZpnUu3rIkZc8Z=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Sikka, Kabupaten Sikka",Batu Termanu adalah sebuah tempat wisata alam yang menawarkan pemandangan batu-batu besar dengan latar belakang laut biru. Tempat ini juga dikenal karena keindahan sunset-nya yang memukau. Batu Termanu sering dikunjungi oleh wisatawan yang ingin bersantai sambil menikmati keindahan alam serta berfoto di spot-spot menarik di sekitarnya. Area ini juga menjadi tempat yang ideal untuk piknik bersama keluarga atau teman-teman.,Lainnya
https://www.google.com/maps/place/Pantai+Nemberala/data=!4m7!3m6!1s0x2c50d958ff439ebb:0xfd64cfbb565d9f6c!8m2!3d-10.889968!4d122.8226098!16s%2Fg%2F11dxkz54pf!19sChIJu55D_1jZUCwRbJ9dVrvPZP0?authuser=0&hl=id&rclk=1,Pantai Nemberala,"4,7",https://lh5.googleusercontent.com/p/AF1QipMzdC6oq7TsaDkrP4bF3-wFp0gTVAO4DA_7_fzF=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Rote Selatan, Kabupaten Rote Ndao","Pantai Nemberala terkenal dengan ombaknya yang cocok untuk berselancar dan pasir putihnya yang lembut. Pantai ini menjadi tujuan favorit bagi para peselancar dari berbagai belahan dunia karena gelombangnya yang konsisten. Selain berselancar, pengunjung juga dapat menikmati keindahan laut sambil bersantai di tepi pantai atau melakukan aktivitas snorkeling untuk menjelajahi keindahan bawah lautnya",Pantai
https://www.google.com/maps/place/TAMAN+WISATA+ALAM+LAUT+17+PULAU+RIUNG/data=!4m7!3m6!1s0x2db250ee0c983711:0xd14b952d02a202b4!8m2!3d-8.4039191!4d121.0336602!16s%2Fg%2F11ddzc99s1!19sChIJETeYDO5Qsi0RtAKiAi2VS9E?authuser=0&hl=id&rclk=1,TAMAN WISATA ALAM LAUT 17 PULAU RIUNG,"4,5",https://lh5.googleusercontent.com/p/AF1QipMOXXVK8FTc0E65mJxl2kSJJaWAcz8wLyMwzFDP=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Riung, Kabupaten Ngada",Taman Wisata Alam Laut 17 Pulau Riung adalah kawasan konservasi yang terdiri dari 17 pulau kecil dengan keanekaragaman hayati laut yang kaya. Tempat ini ideal untuk kegiatan snorkeling dan diving karena terumbu karangnya yang indah serta berbagai spesies ikan tropis. Pengunjung dapat menjelajahi pulau-pulau kecil sambil menikmati pemandangan alam yang menakjubkan dan keindahan pantai berpasir putih.,Lainnya
https://www.google.com/maps/place/Pantai+Batu+Biru+%28Blue+Stone+Beach%29/data=!4m7!3m6!1s0x2db2a259ef5b10bd:0x47c8c9d9858579fb!8m2!3d-8.8007326!4d121.493543!16s%2Fg%2F11cjj7m6jb!19sChIJvRBb71misi0R-3mFhdnJyEc?authuser=0&hl=id&rclk=1,Pantai Batu Biru (Blue Stone Beach),"4,2",https://lh5.googleusercontent.com/p/AF1QipOiHxsHjNb5R4HUDkIBIuPdsZn_8Fu8ruy4vBng=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Sikka, Kabupaten Sikka","Pantai Batu Biru dikenal dengan pasir birunya yang unik dan pemandangan laut yang menakjubkan. Tempat ini merupakan lokasi ideal untuk bersantai dan menikmati suasana tenang jauh dari keramaian. Dengan formasi batuan di sekitarnya, pantai ini juga menjadi spot foto menarik bagi para pengunjung. Suasana alami dan keindahan alam membuat Pantai Batu Biru menjadi salah satu tujuan wisata favorit di daerah tersebut.",Pantai
https://www.google.com/maps/place/Taman+Nasional+Komodo/data=!4m7!3m6!1s0x2db4f8f329ac91b9:0xb1a1078870e0d162!8m2!3d-8.527716!4d119.4833198!16zL20vMDJ6cGhm!19sChIJuZGsKfP4tC0RYtHgcIgHobE?authuser=0&hl=id&rclk=1,Taman Nasional Komodo,"4,6",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHzGMjuNJBalE2JaK44iYrcZQ7KBiQp7_giDx8lAx5m_LtNArVYQ45M1QN2mwHKwq7TmDBPF6Ht_ctxAe4NfVHGat9cu8cNT9_pxdRaW4TlnClyC8zAIp7JOsx_o9k49-koAExJrgStZqNQbaBeXUM79GU_JIEfy4WUrLEzO_EGJINvchwfk3ro=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Kelimutu, Kabupaten Ende","Taman Nasional Kelimutu terkenal dengan Danau Tiga Warna-nya yang memiliki warna air berbeda-beda yaitu merah, biru, dan putih. Setiap danau memiliki makna tersendiri dalam budaya lokal dan bisa berubah warna seiring waktu. Untuk mencapai danau-danau ini, pengunjung harus mendaki Gunung Kelimutu dengan pemandangan spektakuler sepanjang perjalanan. Taman Nasional ini merupakan tempat yang tepat untuk menikmati keindahan alam serta belajar tentang budaya masyarakat sekitar.",Danau
https://www.google.com/maps/place/Taman+Nasional+Kelimutu/data=!4m7!3m6!1s0x2dad5d5b7fd93c21:0xb92c1d43de87b7b3!8m2!3d-8.7415482!4d121.7936207!16s%2Fm%2F027jbcz!19sChIJITzZf1tdrS0Rs7eH3kMdLLk?authuser=0&hl=id&rclk=1,Taman Nasional Kelimutu,"4,7",https://lh5.googleusercontent.com/p/AF1QipP3jS9Fv6p4HQcbIOtdmN4cT1aDtuGWcl4toaLq=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Woloara, Kabupaten Ende",Telaga Nirwana adalah sebuah telaga indah yang dikelilingi oleh hutan tropis rimbun. Tempat ini menawarkan suasana tenang dan damai bagi pengunjung yang ingin bersantai atau melakukan aktivitas seperti piknik atau fotografi. Air telaga yang jernih mencerminkan pemandangan sekitarnya dan menjadikannya spot menarik untuk beristirahat setelah beraktivitas di alam terbuka. Keberadaan flora dan fauna di sekitar telaga menambah daya tarik tempat ini sebagai destinasi wisata alam.,Lainnya
https://www.google.com/maps/place/Pantai+Nunsui/data=!4m7!3m6!1s0x2c568306b2db271d:0xc7e872de6c08a24d!8m2!3d-10.1359933!4d123.6575486!16s%2Fg%2F11c3t9q98y!19sChIJHSfbsgaDViwRTaIIbN5y6Mc?authuser=0&hl=id&rclk=1,Pantai Nunsui,"4,3",https://lh5.googleusercontent.com/p/AF1QipMlR5WbBnQmGSBGswB7UlB9Z1LuqXj10PqRPJZH=w1220-h920-k-no,Nusa Tenggara Timur,"Kupang Tengah, Kota Kupang","Pantai Nunsui adalah pantai landai dengan karakteristik unik berupa batu-batu besar saat air surut. Pantai ini sangat cocok untuk menikmati sunset sambil melihat kerlap-kerlip lampu kota Kupang dari kejauhan. Dikenal sebagai tempat santai bagi penduduk setempat maupun wisatawan, Pantai Nunsui menawarkan suasana damai dengan pemandangan laut yang menawan serta kesempatan untuk berfoto di antara batu-batu alami tersebut.",Pantai
https://www.google.com/maps/place/Air+Terjun+Oehala+TTS/data=!4m7!3m6!1s0x2c55ee6c9862387f:0x3217587b24fddcd7!8m2!3d-9.8030144!4d124.3073775!16s%2Fg%2F11cmykq825!19sChIJfzhimGzuVSwR19z9JHtYFzI?authuser=0&hl=id&rclk=1,Air Terjun Oehala TTS,"4,4",https://lh5.googleusercontent.com/p/AF1QipOdLnE0M2nDRCmkqvuQo4JKK-DWXmOGVzzGy_jy=w1220-h920-k-no,Nusa Tenggara Timur,"Kecamatan Toianas Selatan, Kabupaten Timor Tengah Selatan (TTS)",Air Terjun Oehala adalah salah satu air terjun tersembunyi di Timor Tengah Selatan dengan ketinggian sekitar 50 meter. Air terjun ini dikelilingi oleh hutan lebat sehingga menciptakan suasana alami yang sejuk dan segar. Pengunjung dapat menikmati suara gemericik air sambil beristirahat di area sekitar air terjun atau berenang di kolam alaminya yang jernih. Keberadaan flora endemik di sekitar menambah keindahan tempat ini sebagai destinasi wisata alam yang menarik.,Air Terjun
