LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Nasional+Teluk+Cenderawasih/data=!4m7!3m6!1s0x2d4b62bec61af6ef:0x758ba1aa8c8a474a!8m2!3d-2.548225!4d134.4783821!16s%2Fm%2F0b762x5!19sChIJ7_Yaxr5iSy0RSkeKjKqhi3U?authuser=0&hl=id&rclk=1,Taman Nasional Teluk Cenderawasih,"4,3",https://lh5.googleusercontent.com/p/AF1QipNwnp8UVeJDRtTfmxyH1JJ8Hhm0wHwGgr2sEWFS=w1610-h920  ,Papua Barat,"Kecamatan Duairi, Kabupaten Teluk Wondama.",Taman Nasional Teluk Cenderawasih adalah taman nasional yang terkenal dengan keanekaragaman hayati bawah lautnya dan merupakan habitat bagi ikan paus dan penyu. Tempat ini sangat cocok bagi para penyelam dan pecinta alam yang ingin menjelajahi keindahan bawah laut.,Taman Nasional
https://www.google.com/maps/place/Piaynemo+Raja+Ampat/data=!4m7!3m6!1s0x2d5e37819775a0bf:0xb98db4c6e60649fb!8m2!3d-0.5642076!4d130.2708139!16s%2Fg%2F11b8_qyrb5!19sChIJv6B1l4E3Xi0R-0kG5sa0jbk?authuser=0&hl=id&rclk=1,Piaynemo Raja Ampat,"4,9",https://lh5.googleusercontent.com/p/AF1QipPvPmO2G0hLqrhB4LX3b3AlQtPaEj8SIUltoUs0=w1630-h920  ,Papua Barat,"Distrik Waigeo Barat Kepulauan, Kabupaten Raja Ampat.","Piaynemo adalah salah satu spot paling terkenal di Raja Ampat yang menawarkan pemandangan spektakuler dari ketinggian. Dari sini, pengunjung dapat melihat laguna berwarna biru dan pulau-pulau kecil yang mengelilinginya, menjadikannya tempat yang sempurna untuk berfoto. Akses ke Piaynemo biasanya melalui perjalanan laut dari Waisai, dan sangat direkomendasikan bagi pecinta alam dan fotografi.",Puncak
https://www.google.com/maps/place/Pantai+Tembok+Berlin/data=!4m7!3m6!1s0x2d5eab094caebf89:0x5ea7c8af20034304!8m2!3d-0.8723739!4d131.2456856!16s%2Fg%2F11c2p338cb!19sChIJib-uTAmrXi0RBEMDIK_Ip14?authuser=0&hl=id&rclk=1,Pantai Tembok Berlin,"4,2",https://lh5.googleusercontent.com/p/AF1QipPsDXiA6Pso5TePdVW2cCTK8e730wGaWpm37VYI=w800-h1420  ,Papua Barat,"Distrik Sorong, Kota Sorong.",Pantai Tembok Berlin adalah pantai yang terkenal dengan keindahan alamnya dan suasana tenang. Tempat ini ideal untuk bersantai sambil menikmati pemandangan laut serta melakukan aktivitas seperti berenang atau bermain air di tepi pantai.,Pantai
https://www.google.com/maps/place/Pawbili+Statue/data=!4m7!3m6!1s0x2d5bfeedc636b85b:0x24629a7e55b3cd04!8m2!3d-0.9479306!4d131.3371522!16s%2Fg%2F11b6gh_t7v!19sChIJW7g2xu3-Wy0RBM2zVX6aYiQ?authuser=0&hl=id&rclk=1,Pawbili Statue,"4,2",https://lh5.googleusercontent.com/p/AF1QipOOjsrhokIt--OrN45PJcsAWVzfSa71wS8bw5Up=w1220-h920  ,Papua Barat,"Kecamatan Aimas, Kabupaten Sorong.",Patung Pawbili adalah simbol budaya lokal yang terletak di Sorong. Patung ini menggambarkan karakteristik masyarakat Papua dan menjadi daya tarik bagi wisatawan yang ingin belajar lebih banyak tentang budaya setempat sambil berfoto.,Lainnya
https://www.google.com/maps/place/Water+Park+Tirta+Istianah+Indah/data=!4m7!3m6!1s0x2d5bff323f31c5e7:0xb195cf538f2f2bce!8m2!3d-0.9655931!4d131.3094256!16s%2Fg%2F11bwfhdv47!19sChIJ58UxPzL_Wy0Rzisvj1PPlbE?authuser=0&hl=id&rclk=1,Water Park Tirta Istianah Indah,"4,0",https://lh5.googleusercontent.com/p/AF1QipPu-5ZQmbKr8UIAdboy-CIjwUBZP-5bCYrhpn0A=w1220-h920  ,Papua Barat,"Kecamatan Aimas, Kabupaten Sorong.",Water Park Tirta Istianah Indah adalah taman air yang menawarkan berbagai wahana permainan air untuk keluarga. Tempat ini sangat cocok untuk menghabiskan waktu bersama anak-anak dengan berbagai kolam renang dan seluncuran yang menyenangkan.,Taman Rekreasi
https://www.google.com/maps/place/Taman+Manneken/data=!4m7!3m6!1s0x2d53ff6edff8d787:0x112f116e52ccb665!8m2!3d-0.8832413!4d133.8406547!16s%2Fg%2F11dxl704vl!19sChIJh9f4327_Uy0RZbbMUm4RLxE?authuser=0&hl=id&rclk=1,Taman Manneken,"4,1",https://lh5.googleusercontent.com/p/AF1QipNvMOYWZToW5ywB_u37mZoqcD3wkov_kUc8GUxJ=w1630-h920  ,Papua Barat,"Distrik Prafi, Kabupaten Manokwari.","Taman Manneken adalah taman kota yang menyediakan area hijau untuk bersantai dan berolahraga. Dikenal dengan suasana yang nyaman, taman ini menjadi tempat favorit bagi masyarakat lokal untuk berkumpul dan menikmati waktu luang.",Taman Rekreasi
https://www.google.com/maps/place/Pulau+Matan+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5c03128929337b:0x6bd52f321f33010d!8m2!3d-0.9553029!4d131.1486422!16s%2Fg%2F11gb3r4kfm!19sChIJezMpiRIDXC0RDQEzHzIv1Ws?authuser=0&hl=id&rclk=1,Pulau Matan Sorong Papua Barat,"4,5",https://lh5.googleusercontent.com/p/AF1QipNqimlVQWezgT5Vehj107Umt_cnIWyRGrfAub1F=w1220-h920  ,Papua Barat,Kabupaten Raja Ampat.,Pulau Matan adalah pulau kecil yang menawarkan keindahan alam serta pantai-pantai eksotis. Tempat ini cocok untuk bersantai sambil menikmati keindahan bawah laut melalui snorkeling atau sekadar bersantai di tepi pantai.,Pantai
https://www.google.com/maps/place/Telaga+Bintang+-+Raja+Ampat/data=!4m7!3m6!1s0x2d5e378304e3ffef:0xd8183d736d58a779!8m2!3d-0.5689417!4d130.2710209!16s%2Fg%2F11hd56btv7!19sChIJ7__jBIM3Xi0ReadYbXM9GNg?authuser=0&hl=id&rclk=1,Telaga Bintang - Raja Ampat,"4,8",https://lh5.googleusercontent.com/p/AF1QipNZUjrGE7KyQ1Vw5IqpAOBv64bKvl1n-NoCfAcl=w1630-h920  ,Papua Barat,"Distrik Waigeo Barat Kepulauan, Kabupaten Raja Ampat.",Telaga Bintang adalah lokasi wisata alam yang terkenal dengan keindahan telaga air tawar dikelilingi hutan tropis. Tempat ini menjadi lokasi populer bagi wisatawan untuk bersantai sambil menikmati pemandangan alam serta melakukan kegiatan seperti berkemah.,Danau
https://www.google.com/maps/place/Sauwandarek+Village/data=!4m7!3m6!1s0x2d5e584f2fd8732d:0xf11684dad6130be3!8m2!3d-0.5903592!4d130.6023098!16s%2Fg%2F11cs4y3cdn!19sChIJLXPYL09YXi0R4wsT1tqEFvE?authuser=0&hl=id&rclk=1,Sauwandarek Village,"4,7",https://lh5.googleusercontent.com/p/AF1QipMyYdcqp0ABUc3afQhLNMoaFsADJ4Yu9TOQbBU3=w1220-h920  ,Papua Barat,"Kecamatan Meos Mansar, Kabupaten Raja Ampat.","Desa Sauwandarek adalah desa wisata yang menawarkan pengalaman budaya lokal kepada pengunjung. Di sini, wisatawan dapat belajar tentang kehidupan sehari-hari masyarakat setempat serta menikmati kuliner khas daerah dalam suasana alami.",Desa Wisata
https://www.google.com/maps/place/Pantai+Alinda/data=!4m7!3m6!1s0x2d5eada838a9ab87:0x15c87a8449b3c73b!8m2!3d-0.8188385!4d131.23944!16s%2Fg%2F11clyswg0g!19sChIJh6upOKitXi0RO8ezSYR6yBU?authuser=0&hl=id&rclk=1,Pantai Alinda,"4,1",https://lh5.googleusercontent.com/p/AF1QipOo2JADAyrQ_mi541lD7xTf1srg2AjYmNOh80t1=w1630-h920  ,Papua Barat,"Distrik Sorong Barat, Kota Sorong.",Pantai Alinda adalah pantai indah dengan pasir putih dan air laut jernih. Tempat ini cocok untuk bersantai sambil menikmati keindahan alam serta melakukan aktivitas luar ruangan seperti berenang atau bermain air bersama keluarga.,Pantai
https://www.google.com/maps/place/Taman+Wisata+Alam+Sorong/data=!4m7!3m6!1s0x2d5bfe3b644e9c6f:0x34d77911969e750d!8m2!3d-0.9186169!4d131.3355955!16s%2Fg%2F11by_fb_rg!19sChIJb5xOZDv-Wy0RDXWelhF51zQ?authuser=0&hl=id&rclk=1,Taman Wisata Alam Sorong,"4,3",https://lh5.googleusercontent.com/p/AF1QipM9jnlFhcZ8kICXLQj9dP90DoFQuuAAxfiTkDAy=w1630-h920  ,Papua Barat,"Distrik Sorong Timur, Kota Sorong.","Taman Wisata Alam Sorong adalah kawasan konservasi yang berfungsi sebagai pelestarian flora dan fauna endemik Papua. Dengan luas sekitar 940,5 hektar, taman ini memiliki 57 jenis pohon, 84 jenis anggrek, dan habitat bagi 83 jenis satwa, termasuk yang dilindungi. Taman ini dilengkapi dengan fasilitas seperti jalur wisata, menara pengamatan burung, dan area camping, menjadikannya tempat ideal untuk belajar dan berekreasi di alam.",Taman Nasional
https://www.google.com/maps/place/Gunung+Botak+Manokwari+Selatan/data=!4m7!3m6!1s0x2d520d5cbdb90f51:0xba14efe647c7f8e4!8m2!3d-1.660686!4d134.080963!16s%2Fg%2F11dz_rbyc9!19sChIJUQ-5vVwNUi0R5PjHR-bvFLo?authuser=0&hl=id&rclk=1,Gunung Botak Manokwari Selatan,"4,6",https://lh5.googleusercontent.com/p/AF1QipM7riKVz4tmQoHmALnASoEp7Y4Jnjh0F7IjhXmd=w1220-h920  ,Papua Barat,"Distrik Manokwari, Kabupaten Manokwari Selatan.",Gunung Botak adalah destinasi hiking yang menawarkan pemandangan alam yang menakjubkan dari puncaknya. Tempat ini cocok bagi para pecinta alam dan pendaki yang ingin merasakan tantangan serta menikmati panorama indah dari ketinggian.,Puncak
https://www.google.com/maps/place/Taman+Wisata+Mangrove+Klawalu+Sorong/data=!4m7!3m6!1s0x2d5bff9abb40ca75:0x5342bb3a6bdad1d1!8m2!3d-0.9130053!4d131.3075691!16s%2Fg%2F11gvzkd3d6!19sChIJdcpAu5r_Wy0R0dHaazq7QlM?authuser=0&hl=id&rclk=1,Taman Wisata Mangrove Klawalu Sorong,"4,2",https://lh5.googleusercontent.com/p/AF1QipN0AmbkX57g9QEy504p2_RM9G3fRyCOR2CkBKK0=w1220-h920  ,Papua Barat,"Distrik Sorong Timur, Kota Sorong.",Taman Wisata Mangrove Klawalu adalah area konservasi mangrove yang menyediakan jalur trekking dan pengamatan satwa. Tempat ini ideal untuk belajar tentang ekosistem mangrove sambil menikmati keindahan alam serta berpartisipasi dalam kegiatan konservasi.,Taman Nasional
