LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Ulu+Kasok/data=!4m7!3m6!1s0x31d5384d00000001:0xf477be0421777f44!8m2!3d0.2958591!4d100.8566581!16s%2Fg%2F11c747hfl6!19sChIJAQAAAE041TERRH93IQS-d_Q?authuser=0&hl=id&rclk=1,Ulu Kasok,"4,3",https://lh5.googleusercontent.com/p/AF1QipO2jXI48-6yMa16bRsG3dqnFcZTiSwM3vEhFHfg=w1220-h920-k-no,Riau,"Desa Pulau Gadang, Kecamatan XIII Koto Kampar, Kabupaten Kampar, Riau","Ulu Kasok adalah destinasi wisata yang menawarkan panorama alam yang menakjubkan, mirip dengan Raja Ampat. Terdiri dari beberapa pulau di tengah bendungan PLTA Koto Panjang, tempat ini dikelilingi oleh air hijau dan hutan lebat. Wisatawan dapat menikmati berbagai aktivitas seperti berkeliling pulau menggunakan speedboat dan mengunjungi air terjun Ulu Kasok. Puncak Ulu Kasok juga menjadi daya tarik tersendiri bagi pengunjung yang ingin menikmati keindahan alam dari ketinggian. Jaraknya sekitar satu setengah jam dari Kota Pekanbaru.",Lainnya
https://www.google.com/maps/place/Air+Terjun+Batang+Kapas/data=!4m7!3m6!1s0x2e2aa85f4ae44e45:0x66c49e0cb3f0282!8m2!3d-0.0354206!4d100.7716874!16s%2Fg%2F11c1p12fw4!19sChIJRU7kSl-oKi4RggI_y-BJbAY?authuser=0&hl=id&rclk=1,Air Terjun Batang Kapas,"4,4",https://lh5.googleusercontent.com/p/AF1QipPVY0L-X-E0o8FxSK_X9FeAgGXdT8jX3BiKqZRI=w1220-h920-k-no,Riau,"Desa Tanjung Belit, Kecamatan Kampar Kiri Hulu, Kabupaten Kampar, Riau","Air Terjun Batang Kapas terletak di kawasan Suaka Margasatwa Bukit Rimbang Baling. Tempat ini menawarkan keindahan alam yang asri dan menawan, dengan suara gemuruh air terjun yang menambah suasana damai. Air terjun ini memiliki ketinggian yang cukup signifikan dan dikelilingi oleh pepohonan hijau yang rimbun. Pengunjung disarankan untuk berhati-hati karena bebatuan di sekitar air terjun bisa licin. Keberadaan Air Terjun Batang Kapas menjadikannya sebagai salah satu tempat wisata yang menarik bagi pecinta alam.",Air Terjun
https://www.google.com/maps/place/Puncak+Kompe/data=!4m7!3m6!1s0x31d37b61dd8baa4b:0xc874d124ed8af885!8m2!3d0.2974747!4d100.8541094!16s%2Fg%2F11hbhm1tgq!19sChIJS6qL3WF70zERhfiK7STRdMg?authuser=0&hl=id&rclk=1,Puncak Kompe,"4,5",https://lh5.googleusercontent.com/p/AF1QipO1lXumKCI2aDo86MKuLgi1DdTD6tM_NRfTUZYK=w1220-h920-k-no,Riau,"Kecamatan Kampar Kiri Hulu, Kabupaten Kampar, Riau","Puncak Kompe adalah salah satu tempat wisata yang menawarkan pemandangan indah dari ketinggian. Dari puncak ini, pengunjung dapat melihat hamparan alam yang luas dan menikmati udara segar pegunungan. Lokasi ini sering dikunjungi oleh para pendaki dan pecinta alam yang ingin merasakan pengalaman mendaki sambil menikmati keindahan alam Riau. Puncak Kompe juga menjadi lokasi ideal untuk berfoto dan bersantai sambil menikmati pemandangan.",Puncak
https://www.google.com/maps/place/Danau+Rusa+Kampar/data=!4m7!3m6!1s0x31d537a48f4fee6b:0xc7801798b4aea391!8m2!3d0.3239957!4d100.7710497!16s%2Fg%2F11g8btz_70!19sChIJa-5Pj6Q31TERkaOutJgXgMc?authuser=0&hl=id&rclk=1,Danau Rusa Kampar,"4,2",https://lh5.googleusercontent.com/p/AF1QipMzgT95oJB8QBYX8cLXcOjg5QdAdWX8RegoI5RH=w1220-h920-k-no,Riau,"Desa Rusa, Kecamatan Kampar Kiri Hulu, Kabupaten Kampar, Riau",Danau Rusa Kampar adalah sebuah danau yang terkenal dengan keindahan alamnya serta suasana tenang yang ditawarkannya. Tempat ini dikelilingi oleh pepohonan rindang dan merupakan lokasi yang ideal untuk bersantai atau melakukan aktivitas memancing. Danau ini juga sering dikunjungi oleh wisatawan yang ingin menikmati keindahan alam sambil melakukan piknik bersama keluarga atau teman-teman. Suasana damai di sekitar danau membuatnya menjadi tempat pelarian dari hiruk-pikuk kota,Danau
https://www.google.com/maps/place/Agro+Wisata+Bukit+Naang/data=!4m7!3m6!1s0x31d517b2fb65a8c7:0x508f7e7555a1af44!8m2!3d0.4066178!4d101.0119849!16s%2Fg%2F11bc7ss1sl!19sChIJx6hl-7IX1TERRK-hVXV-j1A?authuser=0&hl=id&rclk=1,Agro Wisata Bukit Naang,"3,9",https://lh5.googleusercontent.com/p/AF1QipPm7lSXd9fkahp4AW__n2rBQsB0-4T310Yqqtk6=w1220-h920-k-no,Riau,"Desa Bukit Naang, Kecamatan Kampar Kiri Hulu, Kabupaten Kampar, Riau","Agro Wisata Bukit Naang menawarkan pengalaman wisata pertanian yang menarik bagi pengunjung. Di sini, wisatawan dapat belajar tentang berbagai jenis tanaman serta proses pertanian secara langsung. Selain itu, tempat ini juga menyediakan fasilitas untuk bersantai dan menikmati hasil pertanian segar. Agro Wisata Bukit Naang menjadi pilihan tepat bagi keluarga yang ingin menghabiskan waktu bersama sambil belajar tentang alam dan pertanian.",Lainnya
https://www.google.com/maps/place/Danau+Bokuok/data=!4m7!3m6!1s0x31d50be39deacbe3:0x4b6e7252a6047da1!8m2!3d0.3634369!4d101.2661834!16s%2Fg%2F11b6gn84qk!19sChIJ48vqneML1TERoX0EplJybks?authuser=0&hl=id&rclk=1,Danau Bokuok,"4,3",https://lh5.googleusercontent.com/p/AF1QipMASNpOB64_Xc7Cei9sg6RG-NxvHoWwrI_8OdB6=w1220-h920-k-no,Riau,"Kecamatan Kuantan Mudik, Kabupaten Kuantan Singingi, Riau","Danau Bokuok adalah salah satu destinasi wisata yang menawarkan keindahan alam dengan suasana tenang. Dikelilingi oleh hutan tropis, danau ini menjadi tempat ideal untuk beristirahat dan menikmati keindahan alam. Pengunjung dapat melakukan aktivitas seperti memancing atau sekadar bersantai di tepi danau sambil menikmati pemandangan sekitarnya. Keberadaan Danau Bokuok menjadikannya sebagai salah satu tempat wisata menarik di Riau.",Danau
https://www.google.com/maps/place/Andalus+Wisata+Keluarga/data=!4m7!3m6!1s0x31d53bfc001c5fa5:0xe7f1eca9e7fd2709!8m2!3d0.3351341!4d100.8740643!16s%2Fg%2F11gcxz0_77!19sChIJpV8cAPw71TERCSf956ns8ec?authuser=0&hl=id&rclk=1,Andalus Wisata Keluarga,"4,2",https://lh5.googleusercontent.com/p/AF1QipOcQOB9D-72QpXWna75-I60ztU8PJStZVLFz1Wl=w1220-h920-k-no,Riau,"Jalan Jenderal Sudirman No. 1234, Pekanbaru, Riau",Andalus Wisata Keluarga adalah taman rekreasi keluarga yang menyediakan berbagai wahana permainan untuk anak-anak maupun dewasa. Tempat ini dirancang untuk memberikan pengalaman menyenangkan bagi seluruh anggota keluarga dengan berbagai aktivitas outdoor dan indoor. Pengunjung dapat menikmati waktu berkualitas bersama keluarga sambil bermain di berbagai wahana yang tersedia. Andalus juga sering mengadakan acara spesial untuk menarik lebih banyak pengunjung.,Taman Rekreasi
https://www.google.com/maps/place/Air+terjun+batu+dinding/data=!4m7!3m6!1s0x2e2a91633ff26863:0x10850875012bafeb!8m2!3d-0.1804507!4d101.0782189!16s%2Fg%2F11fqppf7wf!19sChIJY2jyP2ORKi4R668rAXUIhRA?authuser=0&hl=id&rclk=1,Air terjun batu dinding,"4,6",https://lh5.googleusercontent.com/p/AF1QipO4U7wX-TpdiBuKHClGfCpl3rD9-k58X27sb_l9=w1220-h920-k-no,Riau,"Desa Tanjung Belit, Kecamatan Kampar Kiri Hulu, Kabupaten Kampar, Riau","Air Terjun Batu Dinding terletak di kawasan Suaka Margasatwa Bukit Rimbang Baling dan dikenal dengan pesona alamnya yang menawan. Air terjun ini memiliki ketinggian yang cukup tinggi dengan aliran air jernih yang jatuh dari tebing batu. Suasana sekitar sangat alami dan asri, membuatnya menjadi tempat ideal bagi para pencinta alam untuk berkunjung dan bersantai. Meskipun akses menuju lokasi membutuhkan usaha ekstra, keindahan pemandangan di sana sangat sepadan.",Air Terjun
https://www.google.com/maps/place/Air+Terjun+Panisan/data=!4m7!3m6!1s0x31d535806de3df55:0x40116e080c44bf21!8m2!3d0.2579969!4d100.6215252!16s%2Fg%2F11gb396vyl!19sChIJVd_jbYA11TERIb9EDAhuEUA?authuser=0&hl=id&rclk=1,Air Terjun Panisan,"4,7",https://lh5.googleusercontent.com/p/AF1QipPcIH0gDkd_x-scrH908BLDBl6OHYeKC6I5lCYO=w1220-h920-k-no,Riau,"Desa Panisan, Kecamatan Kuantan Mudik, Kabupaten Kuantan Singingi, Riau",Air Terjun Panisan adalah salah satu objek wisata alam di Riau yang menawarkan keindahan luar biasa dengan aliran air segar dari pegunungan. Tempat ini dikelilingi oleh hutan lebat sehingga menciptakan suasana sejuk dan nyaman bagi pengunjung. Air terjun ini sering dijadikan lokasi untuk berkemah atau piknik bersama keluarga karena keindahannya serta suasana tenangnya. Pengunjung dapat menikmati suara gemuruh air terjun sambil bersantai di tepiannya.,Air Terjun
https://www.google.com/maps/place/Candi+Muara+Takus/data=!4m7!3m6!1s0x31d534de1cfa81d7:0x915328680a25f7f5!8m2!3d0.3360266!4d100.6419697!16s%2Fm%2F02x903d!19sChIJ14H6HN401TER9fclCmgoU5E?authuser=0&hl=id&rclk=1,Candi Muara Takus,"4,4",https://lh5.googleusercontent.com/p/AF1QipN53th1oT9NKX2nXNtgxOUBywRS18x519wEMBMu=w1220-h920-k-no,Riau,"Muara Takus, Kecamatan XIII Koto Kampar, Kabupaten Kampar, Riau","Candi Muara Takus merupakan situs sejarah peninggalan Kerajaan Sriwijaya yang memiliki arsitektur unik berbeda dengan candi-candi lain di Indonesia. Candi ini dibangun menggunakan batu bata merah dan batu sungai serta memiliki ornamen khas yang menarik perhatian para pengunjung sejarah. Selain sebagai objek wisata sejarah, Candi Muara Takus juga menjadi tempat penelitian bagi para arkeolog karena nilai sejarahnya yang tinggi.",Museum/Sejarah
