LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Air+Terjun+Bedegung/data=!4m7!3m6!1s0x2e39c4f108a54b6d:0xe1b35d0cc53ea2da!8m2!3d-4.0592127!4d103.7668845!16s%2Fg%2F11c5s7tg2v!19sChIJbUulCPHEOS4R2qI-xQxds-E?authuser=0&hl=id&rclk=1,Air Terjun Bedegung,"4,5",https://lh5.googleusercontent.com/p/AF1QipNww4pvio7qY2gyiByqrQm3ztNytehNwMIMaO-D=w1220-h920-k-no,Sumatera Selatan,"Desa Bedegung, Kecamatan Tanjung Agung, Kabupaten Muara Enim, Sumatera Selatan","Air Terjun Bedegung, atau yang juga dikenal sebagai Curup Tenang, merupakan salah satu air terjun tertinggi di Indonesia dengan ketinggian mencapai 99 meter. Terletak di tengah hutan yang masih asri, air terjun ini menawarkan pemandangan yang menakjubkan dan suasana yang sejuk. Pengunjung dapat menikmati trekking yang relatif mudah menuju lokasi air terjun, serta berfoto di jembatan yang dibangun di dekatnya. Di area sekitar terdapat juga warung makanan yang menyediakan berbagai kuliner lokal. Tiket masuknya sangat terjangkau, hanya Rp5.000 per orang, dan tempat ini buka setiap hari dari pukul 06.00 hingga 18.00 WIB",Air Terjun
https://www.google.com/maps/place/Danau+Tanah+Mas/data=!4m7!3m6!1s0x2e3b735de95968b9:0x7cf259c3869d4def!8m2!3d-2.9226025!4d104.6705739!16s%2Fg%2F11b73qdrmj!19sChIJuWhZ6V1zOy4R702dhsNZ8nw?authuser=0&hl=id&rclk=1,Danau Tanah Mas,"4,1",https://lh5.googleusercontent.com/p/AF1QipPlTx-4e7pe4_syayVKjJ87hPsNB_aUR154WzMF=w1220-h920-k-no,Sumatera Selatan," Tanah Mas, Kecamatan Prabumulih, Kabupaten Prabumulih",Danau Tanah Mas adalah danau buatan yang dikelilingi oleh pepohonan hijau dan menawarkan suasana tenang bagi pengunjung. Tempat ini cocok untuk kegiatan piknik keluarga atau sekadar bersantai sambil menikmati keindahan alam. Fasilitas seperti gazebo dan area bermain anak menjadikan danau ini sebagai pilihan ideal untuk rekreasi.,Danau
https://www.google.com/maps/place/Danau+Buatan+Air+Batu/data=!4m7!3m6!1s0x2e3b0c8c806f844b:0xb13fe606fcca0d5!8m2!3d-2.9019557!4d104.6172214!16s%2Fg%2F11b7hnl730!19sChIJS4RvgIwMOy4R1aDMb2D-Ews?authuser=0&hl=id&rclk=1,Danau Buatan Air Batu,"4,3",https://lh5.googleusercontent.com/p/AF1QipN5hZPuwDtuJEmA5sRB9OE8NEv4lSdeHZDXokOp=w1220-h920-k-no,Sumatera Selatan,"Air Batu, Kecamatan Air Batu, Kabupaten Asahan",Danau Buatan Air Batu adalah destinasi wisata yang menawarkan pemandangan indah dengan air jernih dan suasana tenang. Tempat ini sangat cocok untuk bersantai sambil menikmati keindahan alam serta melakukan aktivitas seperti memancing atau berperahu.,Danau
https://www.google.com/maps/place/Kampoeng+Wisata+Yasaman+Cindo/data=!4m7!3m6!1s0x2e3b8577c7739a9f:0x1c224510758f6831!8m2!3d-3.114984!4d104.9102873!16s%2Fg%2F11rspwhg70!19sChIJn5pzx3eFOy4RMWiPdRBFIhw?authuser=0&hl=id&rclk=1,Kampoeng Wisata Yasaman Cindo,"4,3",https://lh5.googleusercontent.com/p/AF1QipNKmxi_K34w2miTRFe0k2VH1u1FMoAPaEbhsIh8=w1220-h920-k-no,Sumatera Selatan,"Yasaman Cindo, Kecamatan Cinde, Kota Palembang",Kampoeng Wisata Yasaman Cindo adalah desa wisata yang menawarkan pengalaman budaya lokal dengan berbagai atraksi seperti pertunjukan seni tradisional dan kuliner khas daerah. Pengunjung dapat belajar tentang kehidupan masyarakat setempat sambil menikmati suasana pedesaan yang asri.,Lainnya
https://www.google.com/maps/place/Taman+Wisata+Alam+Punti+Kayu/data=!4m7!3m6!1s0x2e3b74795c704869:0x30e21e94d2770c6!8m2!3d-2.9437262!4d104.7282731!16s%2Fg%2F122d8c2g!19sChIJaUhwXHl0Oy4RxnAnTekhDgM?authuser=0&hl=id&rclk=1,Taman Wisata Alam Punti Kayu,"4,2",https://lh5.googleusercontent.com/p/AF1QipM7pH-E6oRVyqx6rFL2HSakMqbxBP8vf2uk1ZdL=w1220-h920-k-no,Sumatera Selatan,"Jalan Punti Kayu No. 1, Palembang","Taman Wisata Alam Punti Kayu adalah taman rekreasi yang dikelilingi oleh hutan pinus dan menawarkan berbagai fasilitas untuk pengunjung seperti jalur trekking, area bermain anak, dan tempat piknik. Suasana tenang di tengah alam membuatnya ideal untuk bersantai.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Purbakala+Kerajaan+Sriwijaya/data=!4m7!3m6!1s0x2e3b9e6cae9eb351:0x83f75e4e0e8a569e!8m2!3d-3.0150322!4d104.7344182!16s%2Fm%2F0hndjtq!19sChIJUbOermyeOy4RnlaKDk5e94M?authuser=0&hl=id&rclk=1,Taman Purbakala Kerajaan Sriwijaya,"4,4",https://lh5.googleusercontent.com/p/AF1QipMlc2BOw3aUFKMTN8rziENMJPzGCuuaic6lOxHU=w1220-h920-k-no,Sumatera Selatan,Palembang,Taman Purbakala Kerajaan Sriwijaya adalah situs bersejarah yang menyimpan peninggalan dari kerajaan Sriwijaya. Tempat ini menjadi lokasi edukatif bagi pengunjung untuk belajar tentang sejarah dan budaya Indonesia.,Taman Rekreasi
https://www.google.com/maps/place/Sekanak+Sidewalk/data=!4m7!3m6!1s0x2e3b7729921f589f:0xb263a39ab2dc85c1!8m2!3d-2.9915104!4d104.7560777!16s%2Fg%2F11fg5rnrd4!19sChIJn1gfkil3Oy4RwYXcspqjY7I?authuser=0&hl=id&rclk=1,Sekanak Sidewalk,"4,2",https://lh5.googleusercontent.com/p/AF1QipPIzWNJJdhZudBl4woMW2iUz6Qf4QPkVVDE8X0B=w1220-h920-k-no,Sumatera Selatan,"Sekanak Sidewalk, Kota Palembang",Sekanak Sidewalk adalah area rekreasi tepi sungai di Palembang yang menawarkan pemandangan indah serta berbagai fasilitas untuk pengunjung seperti tempat duduk dan jalur pejalan kaki. Tempat ini cocok untuk bersantai sambil menikmati keindahan sungai.,Taman Rekreasi
https://www.google.com/maps/place/Lematang+Indah+Air+Terjun/data=!4m7!3m6!1s0x2e376f05988d2929:0x89ed2438dcac2085!8m2!3d-4.0727511!4d103.3216517!16s%2Fg%2F11cly97kbn!19sChIJKSmNmAVvNy4RhSCs3Dgk7Yk?authuser=0&hl=id&rclk=1,Lematang Indah Air Terjun,"4,3",https://lh5.googleusercontent.com/p/AF1QipOI0hvJHPsgyELT38BFwNheHKTXUPrqFDVvfdhE=w1220-h920-k-no,Sumatera Selatan,"Desa Prahu Dipo, Kecamatan Dempo Selatan, Kabupaten Lahat","Air Terjun Lematang Indah adalah salah satu destinasi wisata alam yang menakjubkan di Sumatera Selatan. Terletak di tengah hutan yang rimbun, air terjun ini menawarkan pemandangan yang spektakuler dengan aliran air yang jernih dan segar. Suasana sekitarnya yang tenang menjadikannya tempat ideal untuk beristirahat dan menikmati keindahan alam. Selain itu, pengunjung dapat melakukan kegiatan seperti trekking dan fotografi, menjadikannya tempat yang populer bagi para pecinta alam.",Air Terjun
https://www.google.com/maps/place/Taman+Wisata+Bukit+Cogong/data=!4m7!3m6!1s0x2e30fb65db84d4fb:0x6d904dd5eedfcb9d!8m2!3d-3.1552915!4d102.9041766!16s%2Fg%2F11c0vwpsyw!19sChIJ-9SE22X7MC4Rncvf7tVNkG0?authuser=0&hl=id&rclk=1,Taman Wisata Bukit Cogong,"4,3",https://lh5.googleusercontent.com/p/AF1QipMDQrxxizG5YwnuyKI5sxJSc2NnvDJXUs0Ze-80=w1220-h920-k-no,Sumatera Selatan,"Kecamatan Pagar Alam, Kota Pagar Alam","Taman Wisata Bukit Cogong merupakan destinasi wisata yang menyuguhkan keindahan alam pegunungan dan udara segar. Tempat ini terkenal dengan pemandangan bukitnya yang hijau serta berbagai fasilitas rekreasi seperti area camping dan trekking. Wisatawan dapat menikmati panorama alam sambil melakukan aktivitas outdoor. Taman ini juga menyediakan spot-spot menarik untuk berfoto, membuatnya menjadi pilihan tepat bagi keluarga dan kelompok.",Gunung/Bukit
https://www.google.com/maps/place/Palembang+Bird+Park/data=!4m7!3m6!1s0x2e3b9c5265a3a351:0xf9f1b104adc81e5e!8m2!3d-3.0366659!4d104.7885918!16s%2Fg%2F11cmsbgzkv!19sChIJUaOjZVKcOy4RXh7IrQSx8fk?authuser=0&hl=id&rclk=1,Palembang Bird Park,"4,3",https://lh5.googleusercontent.com/p/AF1QipNia8xAvH1mSlhlyfOWP_VnSqkzMPqX_2Yqu2Y=w1220-h920-k-no,Sumatera Selatan,"Jl. Srijaya Negara, Kecamatan Alang-Alang Lebar, Kota Palembang","Palembang Bird Park adalah taman burung yang menawarkan pengalaman unik bagi pengunjung untuk melihat berbagai spesies burung dari seluruh dunia. Dengan area yang luas dan dikelilingi oleh pepohonan, taman ini menciptakan habitat alami bagi burung-burung tersebut. Selain menikmati keindahan burung, pengunjung juga dapat belajar tentang konservasi dan perlindungan spesies langka. Taman ini sangat cocok untuk keluarga dan anak-anak sebagai sarana edukasi sekaligus rekreasi.",Taman Rekreasi
