LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/TAMAN+WISATA+DANAU+SIOMBAK+MARELAN/data=!4m7!3m6!1s0x3036d29df75f7ef7:0xf1c659eda3567f62!8m2!3d3.7266473!4d98.6631891!16s%2Fg%2F11cfjn493!19sChIJ935f953SNjARYn9Wo-1ZxvE?authuser=0&hl=id&rclk=1,TAMAN WISATA DANAU SIOMBAK MARELAN,"4,0",https://lh5.googleusercontent.com/p/AF1QipOAChr6XZCDPTDah29nDxma32BNQcqptyidrJcP=w1220-h920-k-no,Sumatera Utara,"Jalan Danau Siombak, Kecamatan Marelan, Kota Medan","destinasi rekreasi yang menawarkan suasana tenang di tepi danau. Tempat ini dikelilingi oleh pepohonan rindang dan menyediakan area untuk bersantai, piknik, serta aktivitas outdoor. Pengunjung dapat menikmati pemandangan indah danau sambil melakukan berbagai kegiatan seperti memancing atau bersepeda. Selain itu, taman ini juga menjadi lokasi yang populer untuk acara keluarga dan komunitas, menjadikannya tempat yang ideal untuk melepas penat dari kesibukan kota.",Taman & Alam
https://www.google.com/maps/place/Taman+Wisata+Alam+Sibolangit/data=!4m7!3m6!1s0x30311930361c4d39:0x1af863a045434c79!8m2!3d3.3300425!4d98.5809194!16s%2Fg%2F11gdkw_fll!19sChIJOU0cNjAZMTAReUxDRaBj-Bo?authuser=0&hl=id&rclk=1,Taman Wisata Alam Sibolangit,"4,5",https://lh5.googleusercontent.com/p/AF1QipN6_q_X32CBnQ5-QSm5fhhvxckuAiKmDJTleQBu=w1220-h920-k-no,Sumatera Utara,"Sibolangit, Kecamatan Sibolangit, Kabupaten Deli Serdang","Sidamanik, Kecamatan Sidamanik, Kabupaten Simalungun",Taman & Alam
https://www.google.com/maps/place/Air+Terjun+Bah+Biak+Sidamanik/data=!4m7!3m6!1s0x30319690e6e055f5:0xc68162a14d0543f4!8m2!3d2.8349748!4d98.8960904!16s%2Fg%2F11cnb028pp!19sChIJ9VXg5pCWMTAR9EMFTaFigcY?authuser=0&hl=id&rclk=1,Air Terjun Bah Biak Sidamanik,"4,2",https://lh5.googleusercontent.com/p/AF1QipPIViM8ptOiMk7k_TUcK1_uM-ZlO9mlHbLYcGGR=w1220-h920-k-no,Sumatera Utara,"Sidamanik, Kecamatan Sidamanik, Kabupaten Simalungun","salah satu keajaiban alam yang terletak di daerah pegunungan Sidamanik. Air terjun ini memiliki ketinggian yang cukup signifikan dan dikelilingi oleh hutan hijau yang rimbun. Suara gemuruh air terjun dan udara segar membuat tempat ini menjadi pilihan sempurna bagi mereka yang mencari ketenangan. Pengunjung dapat menikmati keindahan alam sambil berfoto atau sekadar bersantai di sekitar area air terjun. Akses menuju lokasi sedikit menantang, namun pemandangan yang ditawarkan sebanding dengan usaha yang dikeluarkan.",Gunung
https://www.google.com/maps/place/Air+Terjun+Sigura-Gura/data=!4m7!3m6!1s0x303204f4ef7ff827:0xa9089e4d7ca29038!8m2!3d2.548432!4d99.3026425!16s%2Fg%2F11c4wx4cvm!19sChIJJ_h_7_QEMjAROJCifE2eCKk?authuser=0&hl=id&rclk=1,Air Terjun Sigura-Gura,"4,4",https://lh5.googleusercontent.com/p/AF1QipN11zeYYHucX-1TXVHl-htlYPNCjRt9aPG9xJVy=w1220-h920-k-no,Sumatera Utara,"Desa Sigura-Gura, Kecamatan Dolok Batunanggar, Kabupaten Simalungun","salah satu air terjun tertinggi di Indonesia dengan ketinggian mencapai 250 meter. Terletak di tengah hutan alami, air terjun ini menawarkan pemandangan spektakuler dan suasana yang damai. Keindahan alam di sekitarnya membuatnya menjadi lokasi favorit bagi para fotografer dan pencinta alam. Selain menikmati pemandangan, pengunjung juga dapat melakukan trekking untuk mencapai lokasi air terjun. Suara gemuruh air dan panorama hijau sekitar menciptakan pengalaman tak terlupakan bagi setiap pengunjung.",Taman & Alam
https://www.google.com/maps/place/Tjong+A+Fie+Mansion/data=!4m7!3m6!1s0x303131c989e18467:0xccadef8b0cc3f8be!8m2!3d3.5853631!4d98.6802302!16s%2Fm%2F0ds1zs5!19sChIJZ4ThickxMTARvvjDDIvvrcw?authuser=0&hl=id&rclk=1,Tjong A Fie Mansion,"4,6",https://lh5.googleusercontent.com/p/AF1QipPexKthg54TEVDIgj0nC2mPM5fFbxF2QL_-97I-=w1220-h920-k-no,Sumatera Utara,"Jalan Jenderal Ahmad Yani No. 105, Kecamatan Medan Maimun, Kota Medan","bangunan bersejarah yang mencerminkan kekayaan budaya Tionghoa di Medan. Dikenal sebagai rumah keluarga Tjong A Fie, seorang pengusaha sukses pada masa kolonial, mansion ini memiliki arsitektur yang indah dengan perpaduan gaya Eropa dan Tionghoa. Pengunjung dapat menjelajahi interior rumah yang dipenuhi dengan barang-barang antik dan sejarah keluarga Tjong A Fie. Tempat ini tidak hanya berfungsi sebagai museum tetapi juga sebagai saksi bisu perkembangan kota Medan.",Budaya & Sejarah
https://www.google.com/maps/place/Kawah+Putih+Dolok+Tinggi+Raja/data=!4m7!3m6!1s0x30310c7cebda40b1:0x364f45963686af82!8m2!3d3.1496525!4d98.7866167!16s%2Fg%2F11bwgwdbf6!19sChIJsUDa63wMMTARgq-GNpZFTzY?authuser=0&hl=id&rclk=1,Kawah Putih Dolok Tinggi Raja,"3,7",https://lh5.googleusercontent.com/p/AF1QipOass7bCT67v9iO_xhFI8xPczTTErtvwIs0a9Yp=w1220-h920-k-no,Sumatera Utara,"Dolok Tinggi Raja, Kecamatan Dolok Masihul, Kabupaten Serdang Bedagai","sebuah kawah vulkanik yang menawarkan pemandangan menakjubkan dengan warna airnya yang putih kehijauan. Kawah ini dikelilingi oleh pegunungan dan hutan lebat, menciptakan suasana alami yang tenang. Tempat ini sangat cocok untuk kegiatan fotografi dan piknik keluarga. Selain menikmati keindahan alam, pengunjung juga bisa belajar tentang aktivitas vulkanik di kawasan tersebut.",Gunung
https://www.google.com/maps/place/Taman+Wisata+Kera+Sibaganding/data=!4m7!3m6!1s0x3031ec7654bb880f:0x2928124be5fe45d2!8m2!3d2.6927065!4d98.9270058!16s%2Fg%2F11g6ql0bzg!19sChIJD4i7VHbsMTAR0kX-5UsSKCk?authuser=0&hl=id&rclk=1,Taman Wisata Kera Sibaganding,"4,4",https://lh5.googleusercontent.com/p/AF1QipMPpiJrwq9tD1wy2cuwlNTa6NDo8Uh93DI-943f=w1220-h920-k-no,Sumatera Utara,"Sibaganding, Kecamatan Girsang Sipangan Bolon, Kabupaten Simalungun","tempat perlindungan bagi kera ekor panjang dan merupakan salah satu daya tarik wisata di sekitar Danau Toba. Di taman ini, pengunjung dapat melihat kera-kera tersebut berinteraksi dalam habitat alaminya sambil menikmati pemandangan Danau Toba yang memukau. Tempat ini sangat cocok untuk keluarga dan anak-anak karena memberikan pengalaman edukatif tentang satwa liar serta pentingnya konservasi.",Taman & Alam
https://www.google.com/maps/place/Taman+Alam+Lumbini+Berastagi/data=!4m7!3m6!1s0x30310310c22de275:0x4fd336c9a603f307!8m2!3d3.1966948!4d98.5409105!16s%2Fm%2F0125_c79!19sChIJdeItwhADMTARB_MDpsk2008?authuser=0&hl=id&rclk=1,Taman Alam Lumbini Berastagi,"4,4",https://lh5.googleusercontent.com/p/AF1QipPdde2HroIORtXv6MYNwy6MtHED-5megoFB_DX7=w1220-h920-k-no,Sumatera Utara,"Desa Tongkoh, Kecamatan Berastagi, Kabupaten Karo",taman wisata yang mengusung tema budaya Buddha dengan replika Pagoda Shwedagon dari Myanmar. Taman ini menawarkan suasana damai dengan latar belakang pegunungan Karo dan kebun sayur hijau. Pengunjung dapat menikmati keindahan arsitektur pagoda sambil berjalan-jalan di sekitar taman atau berfoto dengan latar belakang indah. Taman ini juga sering digunakan untuk meditasi dan kegiatan spiritual lainnya.,Gunung
https://www.google.com/maps/place/Wisata+Bukit+Gibeon/data=!4m7!3m6!1s0x3031eff6c71c6fd7:0x56ef2b4447dda14!8m2!3d2.5908281!4d98.9978528!16s%2Fg%2F11d_8bbvln!19sChIJ128cx_bvMTARFNp9RLTybgU?authuser=0&hl=id&rclk=1,Wisata Bukit Gibeon,"4,5",https://lh5.googleusercontent.com/p/AF1QipPDPiKk9TGr809tX5lR6kNDbH8rVrgM-Q6r-zL9=w1220-h920-k-no,Sumatera Utara,"Gibeon, Kecamatan Berastagi, Kabupaten Karo",Wisata Bukit Gibeon menawarkan panorama menakjubkan dari atas bukit dengan pemandangan Danau Toba dan pegunungan sekitarnya. Tempat ini menjadi favorit bagi para pecinta hiking karena trek menuju puncaknya cukup menantang namun memberikan imbalan berupa pemandangan spektakuler saat tiba di atas. Bukit Gibeon juga merupakan lokasi ideal untuk menikmati sunrise atau sunset sambil bersantai dengan teman-teman atau keluarga.,Gunung
https://www.google.com/maps/place/Taman+Wisata+Danau+Kelapa+Gading/data=!4m7!3m6!1s0x3032495e79f8e34f:0xfaae2707c102174!8m2!3d2.9702428!4d99.613882!16s%2Fg%2F11bwf74psd!19sChIJT-P4eV5JMjARdCEQfHDiqg8?authuser=0&hl=id&rclk=1,Taman Wisata Danau Kelapa Gading,"4,2",https://lh5.googleusercontent.com/p/AF1QipPvLHySHIY4BSI7iN5CuBx0u0oIK629UZqpPn3s=w1220-h920-k-no,Sumatera Utara,"Kelapa Gading, Kecamatan Medan Labuhan, Kota Medan", tempat rekreasi keluarga yang menyenangkan dengan fasilitas lengkap seperti area bermain anak-anak dan spot memancing. Danau buatan ini dikelilingi oleh pepohonan rindang sehingga menciptakan suasana sejuk untuk bersantai atau piknik bersama keluarga. Tempat ini juga sering menjadi lokasi acara komunitas atau festival lokal.,Taman & Alam
