LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Tugu+Jogja/data=!4m7!3m6!1s0x2e7a591a4d553bd5:0xc0f964003add568b!8m2!3d-7.7829218!4d110.3670757!16s%2Fg%2F122zk22q!19sChIJ1TtVTRpZei4Ri1bdOgBk-cA?authuser=0&hl=id&rclk=1,Tugu Jogja,"4,8",https://lh5.googleusercontent.com/p/AF1QipMU3cNk1mciAAu0p1i8Ss23TVq-RhPFXEl44cjc=w1220-h920-k-no,Yogyakarta,"Kecamatan Gondomanan, Kota Yogyakarta","Tugu Jogja adalah landmark ikonik yang melambangkan semangat perjuangan masyarakat Yogyakarta. Tugu ini dibangun pada tahun 1755 dan menjadi simbol perlawanan terhadap penjajahan. Lokasinya yang strategis menjadikannya tempat berfoto yang populer di kalangan wisatawan. Banyak orang yang datang untuk mengabadikan momen di depan tugu ini, terutama saat malam hari ketika lampu-lampunya menyala. Tugu ini juga sering dikaitkan dengan tradisi lokal, seperti memeluk atau mencium tugu saat lulus kuliah.",Lainnya
https://www.google.com/maps/place/Kampung+Wisata+Taman+Sari/data=!4m7!3m6!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8099788!4d110.3589907!16s%2Fm%2F0b6gg2m!19sChIJK8_C0JNXei4RE74coPghaic?authuser=0&hl=id&rclk=1,Kampung Wisata Taman Sari,"4,6",https://lh5.googleusercontent.com/p/AF1QipMsBkqMjvNVPgSg9pHyY4PItKNv8_9X2UoabBoJ=w1220-h920-k-no,Yogyakarta,"Kecamatan Kraton, Kota Yogyakarta","Kampung Wisata Taman Sari adalah area yang kaya akan sejarah dan budaya, dulunya merupakan taman pemandian pribadi Sultan dan keluarganya. Kini, tempat ini menjadi destinasi wisata yang menarik dengan arsitektur unik dan lorong-lorong bawah tanah yang menawan. Pengunjung dapat menjelajahi berbagai kolam dan kanal yang ada di dalamnya serta menikmati keindahan arsitektur kuno. Taman Sari juga sering digunakan sebagai lokasi foto pre-wedding karena keindahan latar belakangnya.",Lainnya
https://www.google.com/maps/place/Karaton+Ngayogyakarta+Hadiningrat/data=!4m7!3m6!1s0x2e7a5796db06c7ef:0x395271cf052b276c!8m2!3d-7.8052845!4d110.3642031!16s%2Fm%2F0vb3k_5!19sChIJ78cG25ZXei4RbCcrBc9xUjk?authuser=0&hl=id&rclk=1,Karaton Ngayogyakarta Hadiningrat,"4,6",https://lh5.googleusercontent.com/p/AF1QipND8D1rsAt3wWXg0iSWkYjHUTSBmddSHKHBVEfP=w1220-h920-k-no,Yogyakarta,"Kecamatan Kraton, Kota Yogyakarta",Karaton Ngayogyakarta Hadiningrat adalah istana resmi Sultan Yogyakarta yang memiliki nilai sejarah dan budaya yang tinggi. Di dalam karaton terdapat berbagai koleksi benda pusaka dan artefak bersejarah yang menunjukkan kebudayaan Jawa. Pengunjung dapat menyaksikan pertunjukan seni tradisional dan menjelajahi arsitektur megahnya yang mencerminkan kekayaan budaya lokal. Karaton ini juga menjadi pusat kegiatan budaya dan sosial di Yogyakarta hingga saat ini.,Museum/Sejarah
https://www.google.com/maps/place/Titik+Nol+Yogyakarta/data=!4m7!3m6!1s0x2e7a57599a1f9397:0xebbf28ee280ce10f!8m2!3d-7.8013966!4d110.3647641!16s%2Fg%2F11h3cbh9_y!19sChIJl5MfmllXei4RD-EMKO4ov-s?authuser=0&hl=id&rclk=1,Titik Nol Yogyakarta,"4,8",https://lh5.googleusercontent.com/p/AF1QipNWwIPI02DUmmhT5Wb4HjKDgt4SNdRTT2NsNuFR=w1220-h920-k-no,Yogyakarta,"Kecamatan Gondomanan, Kota Yogyakarta",Titik Nol Yogyakarta adalah pusat dari seluruh titik koordinat di kota ini dan menjadi tempat berkumpulnya banyak wisatawan. Lokasi ini dikelilingi oleh berbagai bangunan bersejarah serta pusat perbelanjaan seperti Malioboro yang terkenal. Titik Nol sering dijadikan sebagai tempat untuk berfoto karena keindahan arsitektur sekitarnya dan suasana yang ramai dengan aktivitas masyarakat lokal serta wisatawan. Ini adalah tempat yang sempurna untuk merasakan denyut nadi kota Yogyakarta.,Lainnya
https://www.google.com/maps/place/Sindu+Kusuma+Edupark+%28SKE%29/data=!4m7!3m6!1s0x2e7a584281200f8b:0xeed0884f4b2272a8!8m2!3d-7.7685035!4d110.3554593!16s%2Fg%2F11b6vc54pq!19sChIJiw8ggUJYei4RqHIiS0-I0O4?authuser=0&hl=id&rclk=1,Sindu Kusuma Edupark (SKE),"4,2",https://lh5.googleusercontent.com/p/AF1QipMIu25RDCldT9m7BhhtwKIO726ZozOOgfTIKdCe=w1220-h920-k-no,Yogyakarta,"Kecamatan Mlati, Kabupaten Sleman","Sindu Kusuma Edupark adalah taman rekreasi keluarga yang menawarkan berbagai wahana permainan edukatif dan hiburan menarik untuk semua usia. Dengan konsep taman bermain yang modern dan luas, pengunjung dapat menikmati berbagai atraksi seperti bianglala raksasa, area bermain anak-anak, serta pertunjukan seni dan budaya secara berkala. Tempat ini sangat cocok untuk keluarga yang ingin menghabiskan waktu berkualitas bersama sambil belajar berbagai hal baru dalam suasana yang menyenangkan.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Pintar+Yogyakarta/data=!4m7!3m6!1s0x2e7a57860f2fb9af:0xa9f6007074b62dd8!8m2!3d-7.8006715!4d110.3676551!16s%2Fm%2F0y6kq2z!19sChIJr7kvD4ZXei4R2C22dHAA9qk?authuser=0&hl=id&rclk=1,Taman Pintar Yogyakarta,"4,5",https://lh5.googleusercontent.com/p/AF1QipOMDrb41Fl_ZpZSv2khQjVAssO0NspU8fxE3Hoz=w1220-h920-k-no,Yogyakarta,"Kecamatan Gondomanan, Kota Yogyakarta",Taman Pintar merupakan wahana edukasi interaktif yang dirancang untuk anak-anak dan remaja agar belajar sambil bermain. Di sini terdapat berbagai pameran sains dan teknologi serta wahana permainan yang mendidik tentang alam semesta dan teknologi modern. Taman Pintar juga sering mengadakan workshop kreatif bagi anak-anak untuk meningkatkan minat mereka terhadap ilmu pengetahuan secara menyenangkan. Ini adalah tempat ideal bagi orang tua untuk mengenalkan konsep pendidikan kepada anak-anak mereka dalam suasana yang menarik dan interaktif.,Lainnya
https://www.google.com/maps/place/Tebing+Breksi/data=!4m7!3m6!1s0x2e7a5aa458b4665b:0xa4b0fc6ad0ae38c7!8m2!3d-7.7815714!4d110.5045827!16s%2Fg%2F11fzry0lfb!19sChIJW2a0WKRaei4Rxziu0Gr8sKQ?authuser=0&hl=id&rclk=1,Tebing Breksi,"4,5",https://lh5.googleusercontent.com/p/AF1QipMuG-BxjiThXGM4Zs2ZuHZVUiqvMXSuV-4gw_NQ=w1220-h920-k-no,Yogyakarta,"Kecamatan Prambanan, Kabupaten Sleman",Tebing Breksi adalah objek wisata alam yang menawarkan pemandangan spektakuler dari tebing-tebing kapur dengan latar belakang pemandangan hijau pegunungan sekitar. Tempat ini juga dikenal sebagai lokasi pertunjukan seni dan budaya seperti pertunjukan musik serta festival seni lainnya di area terbuka tebingnya. Pengunjung dapat melakukan aktivitas hiking menuju puncak tebing untuk menikmati panorama indah sekaligus berfoto dengan latar belakang tebing unik tersebut. Ini menjadi salah satu destinasi favorit bagi para pecinta alam dan fotografi di Yogyakarta.,Lainnya
https://www.google.com/maps/place/Situs+Warungboto/data=!4m7!3m6!1s0x2e7a576dd45f6243:0x47c4825dd428cf01!8m2!3d-7.8101941!4d110.3932803!16s%2Fg%2F11h5rqc5md!19sChIJQ2Jf1G1Xei4RAc8o1F2CxEc?authuser=0&hl=id&rclk=1,Situs Warungboto,"4,4",https://lh5.googleusercontent.com/p/AF1QipOS-CYGlpyTe5jzuQGdLhjrS1HYRw2GRIGYLPMV=w1220-h920-k-no,Yogyakarta,"Kecamatan Umbulharjo, Kota Yogyakarta",Situs Warungboto merupakan peninggalan sejarah berupa bekas taman pemandian kerajaan yang kini telah direvitalisasi menjadi objek wisata sejarah menarik di Yogyakarta. Di sini pengunjung dapat melihat sisa-sisa bangunan kuno serta kolam-kolam air yang dulunya digunakan oleh Sultan dan keluarganya untuk bersantai dan berendam. Situs ini juga sering digunakan untuk kegiatan budaya seperti pertunjukan seni tradisional serta acara komunitas lokal lainnya sehingga memberikan nuansa kultural yang kental bagi pengunjungnya,Museum/Sejarah
https://www.google.com/maps/place/Kawasan+Wisata+Malioboro/data=!4m7!3m6!1s0x2e7a578819c338f1:0x72aa3ad97ecccfb6!8m2!3d-7.7982487!4d110.3652793!16s%2Fg%2F11dd_kfc0g!19sChIJ8TjDGYhXei4Rts_Mftk6qnI?authuser=0&hl=id&rclk=1,Kawasan Wisata Malioboro,"4,7",https://lh5.googleusercontent.com/p/AF1QipNuEB66b0_9lZUq0EEMi9k0My4ym83rkI3zousH=w1220-h920-k-no,Yogyakarta,"Kecamatan Gondomanan, Kota Yogyakarta",Kawasan Wisata Malioboro adalah pusat perbelanjaan terkenal di Yogyakarta yang dikenal dengan keramaian pasar tradisionalnya serta berbagai toko oleh-oleh khas daerah tersebut seperti batik dan kerajinan tangan lainnya. Di sepanjang jalan Malioboro terdapat banyak pedagang kaki lima yang menjajakan makanan khas seperti gudeg dan bakpia sehingga pengunjung dapat merasakan kuliner lokal sambil berbelanja oleh-oleh unik dari kota ini. Malioboro juga menjadi lokasi penting untuk berbagai acara budaya dan festival sepanjang tahun sehingga selalu ramai dikunjungi wisatawan baik lokal maupun mancanegara.,Lainnya
https://www.google.com/maps/place/Taman+Pelangi+Jogja/data=!4m7!3m6!1s0x2e7a58f975c66097:0x99331d342ee5862d!8m2!3d-7.7503027!4d110.3694988!16s%2Fg%2F11x7vl1rr!19sChIJl2DGdflYei4RLYblLjQdM5k?authuser=0&hl=id&rclk=1,Taman Pelangi Jogja,"4,2",https://lh5.googleusercontent.com/p/AF1QipPeLTRhFXquySliuXCDKd4EllPxG19u4dIKxrit=w1220-h920-k-no,Yogyakarta,"Kecamatan Ngaglik, Kabupaten Sleman",Taman Pelangi Jogja adalah taman rekreasi keluarga dengan tema lampion warna-warni yang indah saat malam hari ketika lampu-lampu dinyalakan menciptakan suasana magis bagi pengunjungnya. Di sini terdapat berbagai wahana permainan serta spot foto menarik bagi keluarga maupun pasangan muda-mudi yang ingin mengabadikan momen spesial mereka di tengah keindahan lampion-lampion tersebut. Taman Pelangi juga sering mengadakan acara hiburan seperti konser musik atau pertunjukan tari sehingga menambah daya tarik bagi pengunjung dari segala usia.,Taman Rekreasi
