LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Menara+Keagungan+Limboto/data=!4m7!3m6!1s0x32792b4799e5e75d:0xc05565aafae3154e!8m2!3d0.6269984!4d122.9798882!16s%2Fg%2F1pztkm4h9!19sChIJXeflmUcreTIRThXj-qplVcA?authuser=0&hl=id&rclk=1,Menara Keagungan Limboto,"4,6",https://lh5.googleusercontent.com/p/AF1QipN3-mkRT0sB_Zkrhz271rCCbyCy6FZFRSvE0yNq=w1220-h920-k-no,Gorontalo,"Kecamatan Limboto, Kabupaten Gorontalo","Menara Keagungan adalah menara pengamatan setinggi 65 meter yang terletak di Kota Limboto. Dibangun pada tahun 2002 dan diresmikan pada tahun 2003, menara ini memiliki 5 lantai dan menyerupai Menara Eiffel. Menara ini menjadi simbol kota Limboto dan tujuan wisata populer, menawarkan pemandangan indah dari puncaknya.",Lainnya
https://www.google.com/maps/place/Benteng+Otanaha/data=!4m7!3m6!1s0x32792bc16bd20cf7:0x23cc0495aa68abd0!8m2!3d0.5482328!4d123.0084128!16s%2Fm%2F0nhj9dm!19sChIJ9wzSa8EreTIR0KtoqpUEzCM?authuser=0&hl=id&rclk=1,Benteng Otanaha,"4,4",https://lh5.googleusercontent.com/p/AF1QipORt8Uf-5T4_4P16PDR-lUmQNyvhLYYwEMiFvA=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Barat, Kota Gorontalo","Benteng Otanaha adalah benteng bersejarah yang terletak di tepi laut. Dikenal sebagai salah satu peninggalan sejarah penting di Gorontalo, tempat ini menawarkan pemandangan laut yang menakjubkan serta suasana tenang. Pengunjung dapat belajar tentang sejarah sambil menikmati keindahan alam sekitar.",Museum/Sejarah
https://www.google.com/maps/place/Kurenai+Beach+Resort/data=!4m7!3m6!1s0x327f2ad07e638801:0x401779c988b96e41!8m2!3d0.478259!4d123.08986!16s%2Fg%2F11g8vp5txj!19sChIJAYhjftAqfzIRQW65iMl5F0A?authuser=0&hl=id&rclk=1,Kurenai Beach Resort,"4,4",https://lh5.googleusercontent.com/p/AF1QipOTKQRGjppQmyDpBulr7Zt2t7nMIi-FNGxRt6gd=w1220-h920-k-no,Gorontalo,"Kecamatan Kabila Bone, Kabupaten Bone Bolango, Gorontalo",Kurenai Beach Resort adalah resort yang terletak di tepi pantai dengan fasilitas lengkap. Tempat ini ideal untuk bersantai sambil menikmati keindahan pantai dan melakukan aktivitas air seperti snorkeling dan diving. Suasana nyaman menjadikan resort ini pilihan tepat untuk liburan.,Pantai
https://www.google.com/maps/place/Danau+Perintis/data=!4m7!3m6!1s0x327ed4473e8a00f9:0x9403e5c29ca60367!8m2!3d0.5463875!4d123.1447031!16s%2Fg%2F11dfhtzlj7!19sChIJ-QCKPkfUfjIRZwOmnMLlA5Q?authuser=0&hl=id&rclk=1,Danau Perintis,"4,5",https://lh5.googleusercontent.com/p/AF1QipO5jlAxpNFhxRolvRXdVV4Whxch_ywOXqu-Ugl9=w1220-h920-k-no,Gorontalo,"Kecamatan Suwawa, Kabupaten Bone Bolango, Gorontalo",Danau Perintis adalah danau alami yang menawarkan pemandangan indah serta suasana tenang. Tempat ini populer untuk kegiatan memancing dan berperahu sambil menikmati keindahan alam sekitarnya.,Danau
https://www.google.com/maps/place/Benteng+Ulanta/data=!4m7!3m6!1s0x327ed46c511f34f9:0xf183fd88bec40554!8m2!3d0.5568333!4d123.1431421!16s%2Fg%2F11f3vxgpdv!19sChIJ-TQfUWzUfjIRVAXEvoj9g_E?authuser=0&hl=id&rclk=1,Benteng Ulanta,"4,3",https://lh5.googleusercontent.com/p/AF1QipPm38JfjxhZLnzNQ_Y0TtfjowEw_td5mTrEx8EA=w1220-h920-k-no,Gorontalo,"Kecamatan Suwawa, Kabupaten Bone Bolango, Gorontalo",Benteng Ulanta adalah situs sejarah yang menawarkan pemandangan laut yang indah serta nilai sejarah bagi masyarakat setempat. Tempat ini sering dikunjungi oleh wisatawan yang ingin belajar tentang sejarah dan budaya Gorontalo.,Museum/Sejarah
https://www.google.com/maps/place/Taman+Wisata+Tangga+2000/data=!4m7!3m6!1s0x32792aa1c0f04d47:0x2624b9b0540aaede!8m2!3d0.5069393!4d123.0576773!16s%2Fg%2F11c2lb7kc2!19sChIJR03wwKEqeTIR3q4KVLC5JCY?authuser=0&hl=id&rclk=1,Taman Wisata Tangga 2000,"4,2",https://lh5.googleusercontent.com/p/AF1QipOzJKwk6Ypd2Ob_bOXq6Md4VtCNDUQYKxjyZAea=w1220-h920-k-no,Gorontalo,"Kecamatan Hulonthalangi, Kabupaten Gorontalo, Gorontalo","Taman Wisata Tangga 2000 adalah taman rekreasi yang menawarkan berbagai fasilitas untuk keluarga. Dengan pemandangan alam yang indah dan area bermain anak-anak, tempat ini cocok untuk piknik dan bersantai bersama keluarga.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Laut+Olele/data=!4m7!3m6!1s0x327edbffffffffff:0x25123d4bff1ef367!8m2!3d0.4100429!4d123.1525524!16s%2Fg%2F11clys_yzm!19sChIJ_______bfjIRZ_Me_0s9EiU?authuser=0&hl=id&rclk=1,Taman Laut Olele,"4,7",https://lh5.googleusercontent.com/p/AF1QipPdvIuL3-j0MowY7cQTbjSd_F6mSarjePSzM83U=w1220-h920-k-no,Gorontalo,"Kecamatan Kabila Bone, Kabupaten Bone Bolango, Gorontalo",Taman Laut Olele adalah kawasan konservasi laut yang terkenal dengan keindahan terumbu karangnya. Tempat ini ideal untuk snorkeling dan diving serta menjelajahi keanekaragaman hayati bawah laut.,Hutan/Taman Nasional
https://www.google.com/maps/place/WISATA+TAMENDAO+BEACH/data=!4m7!3m6!1s0x3278d59d67032543:0xeab266e8f8a9699b!8m2!3d0.5002305!4d123.0674662!16s%2Fg%2F11pk9z37rg!19sChIJQyUDZ53VeDIRm2mp-Ohmsuo?authuser=0&hl=id&rclk=1,WISATA TAMENDAO BEACH,"4,5",https://lh5.googleusercontent.com/p/AF1QipNmhycAp2q9Jnu5q37pnYEjLQOBkkZyP_U39bkh=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Timur, Kota Gorontalo",Tamendao Beach adalah pantai dengan pasir putih dan air laut jernih. Tempat ini cocok untuk bersantai sambil menikmati pemandangan laut serta melakukan aktivitas seperti berenang atau bermain pasir di tepi pantai.,Pantai
https://www.google.com/maps/place/Pantai+Botutonuo/data=!4m7!3m6!1s0x327f2b41027fd665:0xdabb907a65aa3174!8m2!3d0.4469501!4d123.1259472!16s%2Fg%2F11bwf6yjx5!19sChIJZdZ_AkErfzIRdDGqZXqQu9o?authuser=0&hl=id&rclk=1,Pantai Botutonuo,"4,4",https://lh5.googleusercontent.com/p/AF1QipNLIZw6Dcq3KxyY5hSpUj2mre4fFZAmUVGkcZBn=w1220-h920-k-no,Gorontalo,"Kecamatan Kabila Bone, Kabupaten Bone Bolango, Gorontalo",Pantai Botutonuo dikenal dengan keindahan pantainya yang alami serta suasana tenang. Cocok untuk bersantai sambil menikmati pemandangan laut dan melakukan aktivitas seperti berenang atau bermain pasir di tepi pantai.,Pantai
https://www.google.com/maps/place/Planet+Waterboom/data=!4m7!3m6!1s0x32792b6ad6f35ff3:0xc23f68bada7e137b!8m2!3d0.5521572!4d123.0536688!16s%2Fg%2F11cjhycns0!19sChIJ81_z1moreTIRexN-2rpoP8I?authuser=0&hl=id&rclk=1,Planet Waterboom,"4,3",https://lh5.googleusercontent.com/p/AF1QipO7k_pFREwAIdz5V3MIjpK_ziBoN4GXfbl_7CcY=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Selatan, Kota Gorontalo",Planet Waterboom adalah taman rekreasi air dengan berbagai wahana permainan air untuk anak-anak dan keluarga. Tempat ini sangat populer di kalangan pengunjung yang mencari kesenangan di bawah sinar matahari sambil menikmati fasilitas lengkap.,Taman Rekreasi
https://www.google.com/maps/place/Dulanga+Beach/data=!4m7!3m6!1s0x3278d5ac19bb21f7:0xdc33f9ea51d13165!8m2!3d0.4945251!4d123.0287939!16s%2Fg%2F11f5v0l9jc!19sChIJ9yG7GazVeDIRZTHRUer5M9w?authuser=0&hl=id&rclk=1,Dulanga Beach,"4,4",https://lh5.googleusercontent.com/p/AF1QipM6wlRo8PPSFtOLTuxSeEjzxanZzGg2MspUlTRg=w1220-h920-k-no,Gorontalo,"Kecamatan Batudaa Pantai, Kabupaten Gorontalo.",Dulanga Beach adalah pantai eksotis dengan pasir putih dan air laut biru jernih. Tempat ini ideal untuk bersantai sambil menikmati keindahan alam serta melakukan aktivitas air seperti snorkeling.,Pantai
https://www.google.com/maps/place/Whale+Shark+Gorontalo/data=!4m7!3m6!1s0x327f2ade3278e40f:0x96bf2e81f3f8083c!8m2!3d0.4743134!4d123.1006784!16s%2Fg%2F11cmsscbhs!19sChIJD-R4Mt4qfzIRPAj484Euv5Y?authuser=0&hl=id&rclk=1,Whale Shark Gorontalo,"4,4",https://lh5.googleusercontent.com/p/AF1QipMuroKpFMTOJGkRDwI-LSGmscVTrFu7t28qHro6=w1220-h920-k-no,Gorontalo,"Kecamatan Kabila Bone, Kabupaten Bone Bolango.",Whale Shark Gorontalo adalah lokasi wisata unik di mana pengunjung dapat melihat hiu paus secara langsung di habitat aslinya. Aktivitas snorkeling atau diving memungkinkan pengunjung berinteraksi dengan makhluk laut raksasa ini.,Lainnya
https://www.google.com/maps/place/Taman+Lahilote/data=!4m7!3m6!1s0x32792b6ab29587d7:0x9e1d515944e9c08!8m2!3d0.5519297!4d123.0555861!16s%2Fg%2F11by__8r2y!19sChIJ14eVsmoreTIRCJxOlBXV4Qk?authuser=0&hl=id&rclk=1,Taman Lahilote,"4,3",https://lh5.googleusercontent.com/p/AF1QipNf1yQMEWYnRtCzohP18OuQyww9ztDCZIWZiQYL=w1220-h920-k-no,Gorontalo,"Kecamatan Limba U Dua, Kota Gorontalo.","Taman Lahilote adalah taman kota yang menawarkan ruang terbuka hijau untuk bersantai dan berolahraga. Dengan berbagai fasilitas seperti jogging track dan area bermain anak-anak, taman ini menjadi tempat favorit warga setempat.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Wisata+Religius+Bubohu/data=!4m7!3m6!1s0x3278d555142bce69:0xdc926acfc722b1fc!8m2!3d0.4989781!4d123.0331749!16s%2Fg%2F11h4s25f_l!19sChIJac4rFFXVeDIR_LEix89qktw?authuser=0&hl=id&rclk=1,Taman Wisata Religius Bubohu,"4,6",https://lh5.googleusercontent.com/p/AF1QipOFGJcxZqsmVdUv7X1hDLdDLcS84_8VcHH_VbRT=w1220-h920-k-no,Gorontalo,"Kecamatan Batudaa Pantai, Kabupaten Gorontalo.",Taman Wisata Religius Bubohu adalah lokasi wisata religi yang menawarkan suasana tenang dan damai. Tempat ini sering dikunjungi oleh pengunjung yang ingin berdoa atau merenung sambil menikmati keindahan alam sekitarnya.,Lainnya
https://www.google.com/maps/place/Taman+Kota+Gorontalo/data=!4m7!3m6!1s0x32792b1ce246d875:0x7437f6b16b67f7e3!8m2!3d0.5514195!4d123.0574798!16s%2Fg%2F11pkv7dqpd!19sChIJddhG4hwreTIR4_dna7H2N3Q?authuser=0&hl=id&rclk=1,Taman Kota Gorontalo,"4,2",https://lh5.googleusercontent.com/p/AF1QipN0PqsIIh2XVcst65MsyoivYZwENt5PcQmC0_l9=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Selatan, Kota Gorontalo","Taman Kota Gorontalo adalah ruang terbuka hijau yang baru saja direvitalisasi dengan anggaran Rp 200 juta. Taman ini dilengkapi dengan berbagai fasilitas seperti bangku taman, ayunan, dan area bermain anak. Menjadi tempat favorit bagi masyarakat untuk bersantai dan berinteraksi, taman ini menawarkan suasana nyaman dan asri.",Taman Rekreasi
https://www.google.com/maps/place/Wisata+Pertanian+Huntu+Selatan/data=!4m7!3m6!1s0x327ed3b864f412b1:0x153f34b9277ebfba!8m2!3d0.586423!4d123.083993!16s%2Fg%2F11jwtbg0zc!19sChIJsRL0ZLjTfjIRur9-J7k0PxU?authuser=0&hl=id&rclk=1,Wisata Pertanian Huntu Selatan,"4,4",https://lh5.googleusercontent.com/p/AF1QipP3zWb0gHD59FDVt7gEUzmBSWfn5p-sTmxTdxen=w1220-h920-k-no,Gorontalo,"Kecamatan Bulango Selatan, Kabupaten Bone Bolango.",Wisata Pertanian Huntu Selatan menawarkan pengalaman belajar tentang pertanian dan kehidupan pedesaan. Pengunjung dapat melihat langsung proses pertanian sambil menikmati keindahan alam sekitar. Tempat ini cocok untuk keluarga yang ingin mengenalkan anak-anak pada dunia pertanian.,Lainnya
https://www.google.com/maps/place/Masjid+Walima+Emas/data=!4m7!3m6!1s0x3278d58399832345:0x91d7387000c280e!8m2!3d0.498703!4d123.0293233!16s%2Fg%2F11byxggk6b!19sChIJRSODmYPVeDIRDigMAIdzHQk?authuser=0&hl=id&rclk=1,Masjid Walima Emas,"4,5",https://lh5.googleusercontent.com/p/AF1QipMZ5lmomldcLWy4r1gtkGaRXUvdaqXJobOKEtJ_=w1220-h920-k-no,Gorontalo,"Kecamatan Batudaa Pantai, Kabupaten Gorontalo.","Masjid Walima Emas adalah masjid megah yang menjadi pusat kegiatan keagamaan di Gorontalo. Dengan arsitektur yang indah dan suasana yang tenang, masjid ini sering dikunjungi oleh masyarakat untuk beribadah dan berdoa.",Lainnya
https://www.google.com/maps/place/Wisata+Sungai+Longalo+Botu+Motoli%27oluwo/data=!4m7!3m6!1s0x327933b08b7144b3:0xff1583efdd8f39f4!8m2!3d0.6722463!4d123.0753918!16s%2Fg%2F11rwpy_zl5!19sChIJs0Rxi7AzeTIR9DmP3e-DFf8?authuser=0&hl=id&rclk=1,Wisata Sungai Longalo Botu Motoli'oluwo,"4,5",https://lh5.googleusercontent.com/p/AF1QipOvcmFedYadE8HitTf0NBIhXgYay2J4UqHShZUv=w1220-h920-k-no,Gorontalo,"Kecamatan Bulango Utara, Kabupaten Bone Bolango.",Wisata Sungai Longalo menawarkan keindahan alam dengan aliran sungai yang jernih dan pemandangan sekitar yang menawan. Tempat ini cocok untuk kegiatan memancing atau piknik sambil menikmati suasana tenang di tepi sungai.,Lainnya
https://www.google.com/maps/place/Monumen+Nani+Wartabone/data=!4m7!3m6!1s0x32792adc528a0c7b:0x8324cfb3f6146a7a!8m2!3d0.5303939!4d123.059356!16s%2Fg%2F1q5bqmc7k!19sChIJewyKUtwqeTIRemoU9rPPJIM?authuser=0&hl=id&rclk=1,Monumen Nani Wartabone,"4,6",https://lh5.googleusercontent.com/p/AF1QipNVJs6YevzKg7yVJJsvkQnDbMpa3NCAe9T8vQoU=w1220-h920-k-no,Gorontalo,"Kecamatan Hulonthalangi, Kabupaten Gorontalo.",Monumen Nani Wartabone adalah monumen bersejarah yang didedikasikan untuk pahlawan nasional dari Gorontalo. Tempat ini menjadi simbol perjuangan masyarakat dalam mempertahankan kemerdekaan dan sering dikunjungi oleh wisatawan serta pelajar untuk belajar tentang sejarah.,Museum/Sejarah
https://www.google.com/maps/place/Pantai+Biluhu+Timur/data=!4m7!3m6!1s0x3278d6130b5972fb:0x2ca8b29bca6c75dc!8m2!3d0.4904571!4d122.9734002!16s%2Fg%2F11c326gs98!19sChIJ-3JZCxPWeDIR3HVsypuyqCw?authuser=0&hl=id&rclk=1,Pantai Biluhu Timur,"4,5",https://lh5.googleusercontent.com/p/AF1QipMKjZuDk6LRHfG3SD4XlNQdPnrSki0iBDVMUc4-=w1220-h920-k-no,Gorontalo,"Kecamatan Batudaa Pantai, Kabupaten Gorontalo.",Pantai Biluhu Timur dikenal dengan keindahan pantainya yang alami serta suasana tenang. Cocok untuk bersantai sambil menikmati pemandangan laut dan melakukan aktivitas seperti berenang atau bermain pasir di tepi pantai.,Pantai
"https://www.google.com/maps/place/Embung+Hutadaa,+Talaga+Jaya/data=!4m7!3m6!1s0x32792d01bcecafe1:0xca837eaf130d3e95!8m2!3d0.5752417!4d123.0122309!16s%2Fg%2F11jj41pn2_!19sChIJ4a_svAEteTIRlT4NE69-g8o?authuser=0&hl=id&rclk=1","Embung Hutadaa, Talaga Jaya","4,4",https://lh5.googleusercontent.com/p/AF1QipPpHf7_gIwlL6vAkiBI4N0L9CIlZE5QtkbVOC2q=w1220-h920-k-no,Gorontalo,"Kecamatan Telaga Jaya, Kabupaten Gorontalo.","Embung Hutadaa adalah waduk buatan yang berfungsi sebagai sumber air dan lokasi rekreasi. Dikelilingi oleh pemandangan alam yang indah, tempat ini cocok untuk bersantai sambil menikmati suasana tenang.",Lainnya
https://www.google.com/maps/place/Taman+Molosipat+W/data=!4m7!3m6!1s0x32792b62863a4493:0xad82c2bf5927a7!8m2!3d0.5427897!4d123.0438611!16s%2Fg%2F11qgjpt7z8!19sChIJk0Q6hmIreTIRpydZv8KCrQA?authuser=0&hl=id&rclk=1,Taman Molosipat W,"4,2",https://lh5.googleusercontent.com/p/AF1QipMAkfBs7J2lXoXbhyRoY-GcPGOlZdahC_eRwlPh=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Barat, Kota Gorontalo",Taman Molosipat W adalah taman kota dengan berbagai fasilitas untuk pengunjung. Tempat ini ideal untuk bersantai dan berolahraga sambil menikmati udara segar di tengah kota.,Taman Rekreasi
https://www.google.com/maps/place/Puncak+Botubarani/data=!4m7!3m6!1s0x327f2b76522d1e25:0x8bde120c6a782316!8m2!3d0.4764931!4d123.0960258!16s%2Fg%2F11qzp494xd!19sChIJJR4tUnYrfzIRFiN4agwS3os?authuser=0&hl=id&rclk=1,Puncak Botubarani,"4,0",https://lh5.googleusercontent.com/p/AF1QipMRLTn7c3fEDHEuL1HHeGhMEwpQPi0R_ZIoT_LG=w1220-h920-k-no,Gorontalo,"Kecamatan Kabila Bone, Kabupaten Bone Bolango",Puncak Botubarani menawarkan pemandangan spektakuler dari ketinggian dengan suasana sejuk. Tempat ini cocok untuk pengunjung yang ingin menikmati panorama alam sambil beraktivitas outdoor seperti hiking.,Puncak
https://www.google.com/maps/place/Rumah+Alam+Dunggala/data=!4m7!3m6!1s0x327ed384ba0a86d1:0x369713c9c8619bb8!8m2!3d0.6162474!4d123.0913454!16s%2Fg%2F11l77sbc_0!19sChIJ0YYKuoTTfjIRuJthyMkTlzY?authuser=0&hl=id&rclk=1,Rumah Alam Dunggala,"4,7",https://lh5.googleusercontent.com/p/AF1QipNin-1WVjUqVe9e9RUSmHChBpgRbu2pvh1m_4sI=w1220-h920-k-no,Gorontalo,"Kecamatan Tapa, Kabupaten Bone Bolango",Rumah Alam Dunggala adalah tempat wisata edukasi yang menawarkan pengalaman belajar tentang ekosistem lokal serta konservasi lingkungan. Pengunjung dapat melihat berbagai jenis tanaman serta berinteraksi dengan flora dan fauna setempat.,Lainnya
https://www.google.com/maps/place/Wisata+Pemandian+Potanga/data=!4m7!3m6!1s0x32792ba5f30c882f:0x5a9ec2012a5930b1!8m2!3d0.5443438!4d123.0272694!16s%2Fg%2F11g9ndtvry!19sChIJL4gM86UreTIRsTBZKgHCnlo?authuser=0&hl=id&rclk=1,Wisata Pemandian Potanga,"4,2",https://lh5.googleusercontent.com/p/AF1QipNozKRMCtjzb10yceH7bYRucnPTXCKkLNTICAZM=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Barat, Kota Gorontalo",Wisata Pemandian Potanga adalah lokasi pemandian alami dengan air segar dan suasana alam yang sejuk. Tempat ini ideal untuk relaksasi sambil menikmati keindahan alam sekitar.,Lainnya
https://www.google.com/maps/place/Wisata+pantai+kaisomaru/data=!4m7!3m6!1s0x327f2bae14179f8f:0xe3a9d29a151f0e38!8m2!3d0.4870464!4d123.0833762!16s%2Fg%2F11s86x8rl8!19sChIJj58XFK4rfzIROA4fFZrSqeM?authuser=0&hl=id&rclk=1,Wisata pantai kaisomaru,"4,4",https://lh5.googleusercontent.com/p/AF1QipPIVNbNr3pre8G5RqdBRKndozdekY7gX5RkDOSX=w1220-h920-k-no,Gorontalo,"Kecamatan Kota Timur, Kota Gorontalo",Wisata Pantai Kaisomaru menawarkan keindahan pantai dengan pasir putih dan air laut jernih. Tempat ini sangat cocok untuk berenang dan bersantai sambil menikmati suasana tenang di tepi pantai.,Pantai
