LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Nukila+ternate/data=!4m7!3m6!1s0x329cb1509a9130a5:0x9c4145e50723efa8!8m2!3d0.7874627!4d127.3899611!16s%2Fg%2F11bc70_lhn!19sChIJpTCRmlCxnDIRqO8jB-VFQZw?authuser=0&hl=id&rclk=1,Taman Nukila ternate,"4,4",https://lh5.googleusercontent.com/p/AF1QipNLy4v3yyTv0i22rFAhSJIoee86zJ4l0_rPfEvU=w1220-h920  ,Maluku Utara,"Kecamatan Ternate Tengah, Kota Ternate","Taman Nukila adalah taman yang terletak di dekat pantai, menjadi tempat favorit warga Ternate untuk bersantai dan berolahraga. Dikelilingi oleh pepohonan rindang, taman ini menawarkan suasana sejuk dan pemandangan indah. Fasilitas seperti gazebo dan area bermain anak menjadikannya ideal untuk keluarga. (sudah)",Taman Rekreasi
https://www.google.com/maps/place/Ternate+Landmark/data=!4m7!3m6!1s0x329cb15125214d1d:0xa0ea4c9f6edffae0!8m2!3d0.7855803!4d127.3890727!16s%2Fg%2F11csrdyklr!19sChIJHU0hJVGxnDIR4Prfbp9M6qA?authuser=0&hl=id&rclk=1,Ternate Landmark,"4,6",https://lh5.googleusercontent.com/p/AF1QipNuxdNNHGU6VeicvL-HtgK3jU9JxIUs43UnvfK8=w1220-h920  ,Maluku Utara,"Kecamatan Ternate Tengah, Kota Ternate","Landmark Ternate merupakan ruang terbuka hijau yang dibangun untuk memenuhi kebutuhan warga akan tempat bersantai. Terletak di tepi pantai, lokasi ini menawarkan pemandangan laut yang indah dan menjadi ikon kota dengan air mancur yang menarik.",Lainnya
"https://www.google.com/maps/place/Pantai+Jikomalamo+-+Kota+Ternate,+Maluku+Utara/data=!4m7!3m6!1s0x329cad17688b1b01:0x3ab3165d5be4f865!8m2!3d0.8630399!4d127.319987!16s%2Fg%2F11bzy77bw3!19sChIJARuLaBetnDIRZfjkW10Wszo?authuser=0&hl=id&rclk=1","Pantai Jikomalamo - Kota Ternate, Maluku Utara","4,6",https://lh5.googleusercontent.com/p/AF1QipNAsM3t28dyWbxkJAUNNco_p-hM6q2xVOg74Ghu=w1220-h920  ,Maluku Utara,"Kecamatan Pulau Ternate, Kota Ternate","Pantai Jikomalamo adalah destinasi wisata yang populer di kalangan wisatawan. Dikenal dengan keindahan bawah lautnya, pantai ini menawarkan aktivitas snorkeling dan diving. Dengan jarak sekitar 10 km dari pusat kota, pengunjung dapat menikmati kuliner lokal dan atraksi air lainnya.",Pantai
https://www.google.com/maps/place/Benteng+Portugis+Tolukko/data=!4m7!3m6!1s0x329cb183e224aec5:0x6f64a496870d0188!8m2!3d0.813836!4d127.3881708!16s%2Fm%2F0g9ymwh!19sChIJxa4k4oOxnDIRiAENh5akZG8?authuser=0&hl=id&rclk=1,Benteng Portugis Tolukko,"4,5",https://lh5.googleusercontent.com/p/AF1QipODYWzgjDPpXx9DlK6spFEmeoWTNdBOs0wjrxw4=w1220-h920  ,Maluku Utara,"Kecamatan Kota Ternate Utara, Kota Ternate","Benteng Tolukko adalah peninggalan sejarah yang dibangun oleh Portugis pada tahun 1522. Terletak di lokasi strategis, benteng ini memiliki nilai sejarah yang tinggi dan menawarkan pemandangan laut serta struktur arsitektur kolonial yang menarik bagi pengunjung.",Museum/Sejarah
https://www.google.com/maps/place/Batu+Angus/data=!4m7!3m6!1s0x329cad99b9ba04cb:0xc07086c0152a202f!8m2!3d0.8464784!4d127.3654112!16s%2Fg%2F11b_0297r8!19sChIJywS6uZmtnDIRLyAqFcCGcMA?authuser=0&hl=id&rclk=1,Batu Angus,"4,5",https://lh5.googleusercontent.com/p/AF1QipMTIQ8v8dKfKlZ5aY4VjiuXkXE9qHPRnSfr20Pa=w1220-h920  ,Maluku Utara,"Kecamatan Pulau Ternate, Kota Ternate",Batu Angus adalah hamparan batu vulkanik yang terlihat hangus dan membentang dari kaki Gunung Gamalama hingga pantai. Tempat ini menawarkan pemandangan unik dan menarik bagi wisatawan yang ingin menikmati keindahan alam serta melakukan eksplorasi di area tersebut.,Lainnya
https://www.google.com/maps/place/Danau+Tolire+Besar/data=!4m7!3m6!1s0x329cb2aed966c761:0x8302c4c7225ce74e!8m2!3d0.8361802!4d127.3075619!16s%2Fg%2F11cnrc33cd!19sChIJYcdm2a6ynDIRTudcIsfEAoM?authuser=0&hl=id&rclk=1,Danau Tolire Besar,"4,5",https://lh5.googleusercontent.com/p/AF1QipPz3XFWk8tfEssqrCWqh4_PQlcaQyi1zahTcZQ=w1220-h920  ,Maluku Utara,"Kecamatan Pulau Ternate, Kota Ternate","Danau Tolire adalah danau indah yang terletak di bawah kaki Gunung Gamalama. Dikenal dengan dua danau yang memiliki legenda menarik, tempat ini menjadi tujuan wisata bagi mereka yang ingin menikmati keindahan alam serta ketenangan suasana sekitar danau.",Danau
"https://www.google.com/maps/place/Sunyie+Lamo+,+Alun-alun+Kesultanan+T%C3%AArnat%C3%A9/data=!4m7!3m6!1s0x329cb163b51a1a6f:0xc3fd549e01c421a3!8m2!3d0.8003857!4d127.385501!16s%2Fg%2F11b6b9x299!19sChIJbxoatWOxnDIRoyHEAZ5U_cM?authuser=0&hl=id&rclk=1","Sunyie Lamo , Alun-alun Kesultanan Têrnaté","4,4",https://lh5.googleusercontent.com/p/AF1QipNvNlpa6sZANcqd4uWP7LM0rLnN1GdZCf-OSKA=w1220-h920  ,Maluku Utara,"Kecamatan Kota Ternate Utara, Kota Ternate",Sunyie Lamo adalah alun-alun yang terletak di dekat Kesultanan Ternate. Tempat ini sering dijadikan lokasi berkumpul masyarakat untuk berbagai acara budaya dan hiburan. Suasana tenang dan pemandangan sekitar membuatnya menjadi pilihan menarik untuk bersantai.,Lainnya
https://www.google.com/maps/place/Benteng+Kalamata/data=!4m7!3m6!1s0x329cb423414e100f:0x4541debcea1259b!8m2!3d0.7622315!4d127.3730646!16s%2Fm%2F0g9zm9p!19sChIJDxBOQSO0nDIRmyWhzusdVAQ?authuser=0&hl=id&rclk=1,Benteng Kalamata,"4,5",https://lh5.googleusercontent.com/p/AF1QipPym3JDrZ7R0LJkS-dTmzIfsbgGB6fjH4OWb_DR=w1220-h920  ,Maluku Utara,"Kecamatan Ternate Selatan, Kota Ternate","Benteng Kalamata merupakan salah satu benteng bersejarah di Ternate yang memiliki nilai arsitektur kolonial yang khas. Meskipun tidak sepopuler Tolukko, benteng ini juga menyimpan cerita sejarah penting bagi perkembangan kota dan menjadi daya tarik bagi pengunjung sejarah.",Museum/Sejarah
https://www.google.com/maps/place/Taman+Moya+Mabuku/data=!4m7!3m6!1s0x329cb3c47b62398b:0xf254b27e0024b0ac!8m2!3d0.7998125!4d127.3689844!16s%2Fg%2F11c2pvzj2w!19sChIJizlie8SznDIRrLAkAH6yVPI?authuser=0&hl=id&rclk=1,Taman Moya Mabuku,"4,4",https://lh5.googleusercontent.com/p/AF1QipOhc8z8185ZJguHf8VMkqU7tvntr4I_AJoZkk2c=w1220-h920  ,Maluku Utara,"Kecamatan Ternate Tengah, Kota Ternate","Taman Moya Mabuku adalah taman rekreasi yang menawarkan suasana nyaman untuk bersantai dengan keluarga atau teman-teman. Dikenal dengan berbagai fasilitas permainan anak dan area hijau yang luas, taman ini cocok untuk kegiatan luar ruangan seperti piknik atau olahraga ringan.",Taman Rekreasi
https://www.google.com/maps/place/Pantai+Falajawa/data=!4m7!3m6!1s0x329cb1f848fdaff1:0x3827a866405f08bb!8m2!3d0.7839296!4d127.3886636!16s%2Fg%2F11jdwq_mhj!19sChIJ8a_9SPixnDIRuwhfQGaoJzg?authuser=0&hl=id&rclk=1,Pantai Falajawa,"4,6",https://lh5.googleusercontent.com/p/AF1QipMXLj7WfIUOV_cnvgRE4OhLYGWdjmN6Fdva0mHr=w1220-h920  ,Maluku Utara,"Kecamatan Ternate Tengah, Kota Ternate",Pantai Falajawa adalah salah satu pantai indah di Kota Ternate yang terkenal dengan pasir putihnya dan air laut yang jernih. Tempat ini sangat cocok untuk berenang atau bersantai sambil menikmati keindahan alam sekitar serta sunset yang menawan di sore hari.,Pantai
