LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Bukit+Tungku+Wiri+%28Bukit+Teletubbies%29/data=!4m7!3m6!1s0x686cee9e92a0327d:0x1367a9910c865b39!8m2!3d-2.5724761!4d140.4557526!16s%2Fg%2F11c30x6vww!19sChIJfTKgkp7ubGgROVuGDJGpZxM?authuser=0&hl=id&rclk=1,Bukit Tungku Wiri (Bukit Teletubbies),"4,5",https://lh5.googleusercontent.com/p/AF1QipOFgf9g9eOaiCKvX_OxJkDq3X8YFzNWGAZz8KFd=w1380-h920  ,Papua,"Distrik Waibu, Kabupaten Jayapura","Bukit Tungku Wiri, yang juga dikenal sebagai Bukit Teletubbies, adalah destinasi wisata terkenal di Jayapura. Dengan pemandangan menakjubkan dari puncak bukit, pengunjung dapat menikmati panorama Danau Sentani dan perbukitan hijau yang indah. Bukit ini memiliki 135 anak tangga berwarna-warni yang mengarah ke puncak, menjadikannya tempat yang sempurna untuk berfoto. Waktu terbaik untuk mengunjungi adalah saat sore hari untuk menikmati sunset yang memukau. Tiket masuk gratis, namun ada biaya parkir untuk kendaraan.",Puncak
https://www.google.com/maps/place/Bukit+Jokowi/data=!4m7!3m6!1s0x686c5f521fe15d1f:0xe01ceb7efca2b87f!8m2!3d-2.5884097!4d140.6885197!16s%2Fg%2F11fylkf9rw!19sChIJH13hH1JfbGgRf7ii_H7rHOA?authuser=0&hl=id&rclk=1,Bukit Jokowi,"4,4",https://lh5.googleusercontent.com/p/AF1QipP_hhUG1tKATurLTwiqoif6oHZ8q91zcjKlTrRi=w1380-h920  ,Papua,"Distrik Jayapura Selatan, Kota Jayapura",Bukit Jokowi adalah lokasi wisata yang menawarkan pemandangan indah kota Jayapura dari ketinggian. Tempat ini sering dikunjungi oleh wisatawan dan masyarakat lokal untuk berolahraga dan bersantai sambil menikmati udara segar serta panorama alam yang menakjubkan.,Puncak
https://www.google.com/maps/place/Monumen+Kapsul+Waktu/data=!4m7!3m6!1s0x69b515f49a991fa7:0x63ca51db6d66ee84!8m2!3d-8.5080639!4d140.4118485!16s%2Fg%2F11cn9fv_97!19sChIJpx-ZmvQVtWkRhO5mbdtRymM?authuser=0&hl=id&rclk=1,Monumen Kapsul Waktu,"4,4",https://lh5.googleusercontent.com/p/AF1QipMA12NdBsJ1RDIG-MonImPPNQOOdtOODMbxrZ03=w1370-h920  ,Papua,"Kecamatan Merauke, Kabupaten Merauke",Monumen Kapsul Waktu adalah simbol sejarah yang dibangun untuk mengenang perjalanan bangsa Indonesia. Monumen ini menjadi tempat menarik bagi wisatawan yang ingin belajar tentang sejarah dan budaya Papua sambil menikmati keindahan arsitektur bangunannya.,Museum/Sejarah
https://www.google.com/maps/place/Monumen+Mac+Arthur/data=!4m7!3m6!1s0x686cee53fb7fa981:0xe07e254d49be784f!8m2!3d-2.5633567!4d140.5436127!16s%2Fg%2F11bc7q1q6p!19sChIJgal_-1PubGgRT3i-SU0lfuA?authuser=0&hl=id&rclk=1,Monumen Mac Arthur,"4,5",https://lh5.googleusercontent.com/p/AF1QipMNhiFdu_WzrVP-91caiMDBFFBj2wKKy5TZXjA=w1220-h920  ,Papua,"Sentani, Kabupaten Jayapura",Monumen Mac Arthur adalah monumen bersejarah yang didedikasikan untuk Jenderal Douglas MacArthur. Tempat ini menjadi daya tarik bagi pengunjung yang ingin mengenal lebih dalam tentang sejarah Perang Dunia II di Papua serta menikmati pemandangan sekitar.,Museum/Sejarah
https://www.google.com/maps/place/Taman+Nasional+Lorentz/data=!4m7!3m6!1s0x683ada72cad8bf5b:0xe5acb2b81cad387f!8m2!3d-4.6297633!4d137.9726829!16zL20vMDJ4MW14!19sChIJW7_YynLaOmgRfzitHLiyrOU?authuser=0&hl=id&rclk=1,Taman Nasional Lorentz,"4,4",https://lh5.googleusercontent.com/p/AF1QipM1wjoTOr8Ed6C3nE39MP03J2oxtXNYHLnXnMQk=w1220-h920  ,Papua,Kabupaten Yakapis,"Taman Nasional Lorentz adalah sebuah taman nasional yang terletak diantara 3 provinsi di Pulau Papua, Indonesia yakni Papua Pegunungan, Papua Tengah dan Papua Selatan. Lahan yang ditempatinya seluas wilayah sebesar 2.505.600 hektare",Taman Nasional
https://www.google.com/maps/place/Telaga+Biru/data=!4m7!3m6!1s0x6803f5d294ad0671:0x7d025de65aac56a!8m2!3d-1.047572!4d136.172365!16s%2Fg%2F11g6xsbjtl!19sChIJcQatlNL1A2gRasWqZd4l0Ac?authuser=0&hl=id&rclk=1,Telaga Biru,"4,7",https://lh5.googleusercontent.com/p/AF1QipPW1_QEwJm4MDgk3-G-n9DNBOpSttJJjhKS9eli=w1220-h920  ,Papua,"Kecamatan Biak Timur, Kabupaten Biak Numfor",Telaga Biru adalah danau alami dengan air berwarna biru jernih dikelilingi hutan tropis. Tempat ini menjadi lokasi populer bagi wisatawan untuk bersantai sambil menikmati keindahan alam serta melakukan aktivitas seperti memancing.,Danau
https://www.google.com/maps/place/Pantai+Holtekamp+Jayapura/data=!4m7!3m6!1s0x686c5db44bb92ed7:0xa4bf90085fbbf8a4!8m2!3d-2.6223032!4d140.7856506!16s%2Fg%2F11b74j17pt!19sChIJ1y65S7RdbGgRpPi7XwiQv6Q?authuser=0&hl=id&rclk=1,Pantai Holtekamp Jayapura,"4,0",https://lh5.googleusercontent.com/p/AF1QipOSNyM3_25okOHLGPr4Gw7HW6GxlLLn9MZdSL7-=w1220-h920  ,Papua,"Kecamatan Muara Tami, Kota Jayapura",Pantai Holtekamp adalah pantai yang terkenal dengan keindahan alamnya dan suasana tenang. Tempat ini ideal untuk bersantai sambil menikmati pemandangan laut serta melakukan aktivitas luar ruangan seperti piknik bersama keluarga.,Pantai
https://www.google.com/maps/place/Pantai+Adoki/data=!4m7!3m6!1s0x6803939000000001:0x53e9991338f6134f!8m2!3d-1.1434772!4d135.9840307!16s%2Fg%2F11hbtfbp8y!19sChIJAQAAAJCTA2gRTxP2OBOZ6VM?authuser=0&hl=id&rclk=1,Pantai Adoki,"4,6",https://lh5.googleusercontent.com/p/AF1QipNetRVfHczaMP3r5s5BVZW6cA09dNYVMBJB8n1F=w1220-h920  ,Papua,"Kecamatan Yendidori, Kabupaten Biak Numfor",Pantai Adoki adalah pantai eksotis dengan pasir putih halus dan air laut jernih. Tempat ini cocok untuk bersantai atau melakukan aktivitas rekreasi air seperti berenang dan snorkeling sambil menikmati keindahan alam sekitar.,Pantai
https://www.google.com/maps/place/Danau+Emfote/data=!4m7!3m6!1s0x686c8d16ab4bbdb5:0x82f9bba1f39708a6!8m2!3d-2.6608739!4d140.5396897!16s%2Fg%2F11bw7v5sgz!19sChIJtb1LqxaNbGgRpgiX86G7-YI?authuser=0&hl=id&rclk=1,Danau Emfote,"4,3",https://lh5.googleusercontent.com/p/AF1QipMd6BMOnASSD1XxBWmVwUri6HdqDSCJSB-9sPA=w1630-h920  ,Papua,"Distrik Ebungfa, Kabupaten Jayapura",Danau Emfote adalah danau alami yang dikelilingi oleh hutan tropis dengan pemandangan menakjubkan. Tempat ini menjadi lokasi ideal untuk bersantai sambil menikmati suasana tenang serta melakukan kegiatan seperti memancing atau berkemah.,Danau
https://www.google.com/maps/place/Wafsarak+Waterfall/data=!4m7!3m6!1s0x68015d9f553fd03b:0xc15d641efe3666a8!8m2!3d-0.7914851!4d135.9229049!16s%2Fg%2F11f0_dhg60!19sChIJO9A_VZ9dAWgRqGY2_h5kXcE?authuser=0&hl=id&rclk=1,Wafsarak Waterfall,"4,5",https://lh5.googleusercontent.com/p/AF1QipPyyYilwj7oTplOjcG0lgY_SrcoNSPCwJLyTItK=w1220-h920  ,Papua,"Distrik Warsa, Kabupaten Biak Numfor",Air Terjun Wafsarak adalah salah satu air terjun tersembunyi di Raja Ampat dengan pemandangan spektakuler dari aliran airnya yang jatuh dikelilingi hutan rimbun. Tempat ini sangat cocok untuk petualangan sambil menikmati keindahan alam sekitar.,Air Terjun
