LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Anjungan+Pantai+Manakarra/data=!4m7!3m6!1s0x2d92d9b0da6a308d:0xbfe8b1a7d47cac19!8m2!3d-2.6703963!4d118.889166!16s%2Fg%2F11b8_pxwys!19sChIJjTBq2rDZki0RGax81Kex6L8?authuser=0&hl=id&rclk=1,Anjungan Pantai Manakarra,"4,4",https://lh5.googleusercontent.com/p/AF1QipOPRM8K-jHKjN2r27ixBF8wV9KXZfpgDigmmHMl=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Mamuju, Kabupaten Mamuju, Sulawesi Barat","Anjungan Pantai Manakarra adalah salah satu destinasi wisata yang terkenal di Mamuju. Pantai ini menawarkan pemandangan laut yang indah dan fasilitas yang memadai untuk pengunjung. Dengan suasana yang tenang, tempat ini sangat cocok untuk bersantai dan menikmati keindahan alam.",Pantai
https://www.google.com/maps/place/Taman+dan+Pantai+Bahari+Polewali/data=!4m7!3m6!1s0x2d9488e0920fc239:0x9566d4da58d013b2!8m2!3d-3.4392793!4d119.3495065!16s%2Fg%2F11b7hjzs8_!19sChIJOcIPkuCIlC0RshPQWNrUZpU?authuser=0&hl=id&rclk=1,Taman dan Pantai Bahari Polewali,"4,3",https://lh5.googleusercontent.com/p/AF1QipODE6EVh9GODAR5MmS8ottER2md6UtEg_QwHqGs=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Binuang, Kabupaten Polewali Mandar","Taman dan Pantai Bahari Polewali merupakan tempat wisata yang menyajikan keindahan pantai serta taman yang asri. Di sini pengunjung dapat menikmati berbagai aktivitas seperti berenang, bermain pasir, atau sekadar bersantai sambil menikmati pemandangan laut yang menawan.",Pantai
https://www.google.com/maps/place/Wisata+Alam+Salu+Pajaan/data=!4m7!3m6!1s0x2d948810e519283f:0x9c07366c620f802f!8m2!3d-3.4160753!4d119.4039903!16s%2Fg%2F11c2lr51nw!19sChIJPygZ5RCIlC0RL4APYmw2B5w?authuser=0&hl=id&rclk=1,Wisata Alam Salu Pajaan,"4,3",https://lh5.googleusercontent.com/p/AF1QipOUVYgY5iUu_B2fi3BACaAhE_M73Ax9vUfaztmE=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Binuang, Kabupaten Polewali Mandar",Wisata Alam Salu Pajaan menawarkan pengalaman berlibur di tengah alam yang sejuk dan asri. Tempat ini cocok untuk kegiatan keluarga dengan fasilitas yang mendukung seperti area bermain anak dan tempat bersantai. Keindahan alamnya menjadi daya tarik utama bagi pengunjung.,Hutan/Taman Nasional
https://www.google.com/maps/place/Puncak+Mamuju%28Kelapa+Tujuh%29/data=!4m7!3m6!1s0x2d92d85fcb1f8611:0xad82d321eec558f!8m2!3d-2.6954326!4d118.9020477!16s%2Fg%2F11cjhyf5b5!19sChIJEYYfy1_Yki0Rj1XsHjIt2Ao?authuser=0&hl=id&rclk=1,Puncak Mamuju(Kelapa Tujuh),"4,5",https://lh5.googleusercontent.com/p/AF1QipMkK0DW5gfxvvpfcdfgYt1sLOw4Lopi2JLLNQuu=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Mamuju, Kabupaten Mamuju",Puncak Mamuju atau Kelapa Tujuh adalah lokasi yang menawarkan pemandangan spektakuler dari ketinggian. Pengunjung dapat menikmati panorama kota Mamuju dan sekitarnya serta melihat landmark unik. Tempat ini sangat populer untuk menikmati sunset dan berfoto.,Puncak
https://www.google.com/maps/place/Pantai+Lombang+Lombang/data=!4m7!3m6!1s0x2d92dd4d92ad9e21:0x3570568dfcbf5092!8m2!3d-2.5722242!4d119.0335866!16s%2Fg%2F11bw46t781!19sChIJIZ6tkk3dki0RklC__I1WcDU?authuser=0&hl=id&rclk=1,Pantai Lombang Lombang,"4,1",https://lh5.googleusercontent.com/p/AF1QipMN37ty7vCMZhlCVtvvdUFbm6H1AJNF7MbQgLfH=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Kalukku, Kabupaten Mamuju",Pantai Lombang Lombang dikenal dengan keindahan alamnya yang masih alami. Pasir hitam halus dan ombak yang tenang membuat pantai ini ideal untuk berbagai aktivitas air seperti berenang dan bermain pasir. Suasana santai di pantai ini sangat cocok untuk liburan keluarga.,Pantai
https://www.google.com/maps/place/Mampie/data=!4m7!3m6!1s0x2d948e5815e81263:0x70c06be68e68d09a!8m2!3d-3.4541754!4d119.2801668!16s%2Fg%2F11b7h9gmbv!19sChIJYxLoFViOlC0RmtBojuZrwHA?authuser=0&hl=id&rclk=1,Mampie,"4,1",https://lh5.googleusercontent.com/p/AF1QipM83roYksfKSvb95hdFKeaw-cXOaCQeFZZpddlW=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Wonomulyo, Kabupaten Polewali Mandar","Pantai Mampie adalah destinasi wisata favorit di kalangan warga lokal. Dikenal dengan wahana permainan air tradisionalnya seperti banana boat dan flying fox, pantai ini juga menawarkan berbagai kuliner khas daerah yang menggugah selera pengunjung.",Pantai
https://www.google.com/maps/place/Pantai+Munu/data=!4m7!3m6!1s0x2d94bf6280599a7b:0x101e0fe2e6fc517!8m2!3d-3.5574326!4d118.9824975!16s%2Fg%2F11j1bzsd4r!19sChIJe5pZgGK_lC0RF8VvLv7gAQE?authuser=0&hl=id&rclk=1,Pantai Munu,"4,3",https://lh5.googleusercontent.com/p/AF1QipNDYpyliB9zvu8_mX-MflnLgwuHdfJu015qrPX4=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Banggae Timur, Kabupaten Majene",Pantai Munu merupakan salah satu pantai yang menawarkan keindahan alam dengan suasana yang damai. Cocok untuk bersantai atau melakukan aktivitas ringan seperti berjalan-jalan di tepi pantai sambil menikmati angin laut yang segar.,Pantai
https://www.google.com/maps/place/Wisata+Alam+Kalibiru+Kanang/data=!4m7!3m6!1s0x2d9489a725601a49:0x298e3da85ef689d8!8m2!3d-3.4147318!4d119.4038471!16s%2Fg%2F11fj7tnxfk!19sChIJSRpgJaeJlC0R2In2Xqg9jik?authuser=0&hl=id&rclk=1,Wisata Alam Kalibiru Kanang,"4,6",https://lh5.googleusercontent.com/p/AF1QipNxhC3jwwb1xB3sMGJO8L8CvXqE8FrVBqm1Zc09=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Binuang, Kabupaten Polewali Mandar","Wisata Alam Kalibiru Kanang menyajikan keindahan alam pegunungan dengan udara segar dan pemandangan menakjubkan. Tempat ini cocok untuk trekking serta menikmati panorama alam dari ketinggian, menjadikannya destinasi menarik bagi pecinta alam dan petualangan.",Hutan/Taman Nasional
https://www.google.com/maps/place/Wisata+Pantai+Tapandullu/data=!4m7!3m6!1s0x2d92d7b623d063dd:0xbe6fc03c5ca57c13!8m2!3d-2.670964!4d118.791852!16s%2Fg%2F11rv5jtpxm!19sChIJ3WPQI7bXki0RE3ylXDzAb74?authuser=0&hl=id&rclk=1,Wisata Pantai Tapandullu,"4,6",https://lh5.googleusercontent.com/p/AF1QipPItaajI9k82EPN1gbw3qHTHjlryZmmCSJvMUrH=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Simboro dan Kepulauan, Kabupaten Mamuju",Wisata Pantai Tapandullu menawarkan hamparan pasir putih yang dikelilingi pepohonan hijau. Fasilitas lengkap seperti gazebo dan restoran menjadikan tempat ini ideal untuk bersantai sambil menikmati makanan lezat sambil melihat pemandangan laut yang indah.,Pantai
https://www.google.com/maps/place/Rewata%27a+Pamboang/data=!4m7!3m6!1s0x2d94ba1514005573:0xe09128fe275a2168!8m2!3d-3.4766642!4d118.8811724!16s%2Fg%2F11f_z_fyjr!19sChIJc1UAFBW6lC0RaCFaJ_4okeA?authuser=0&hl=id&rclk=1,Rewata'a Pamboang,"4,6",https://lh5.googleusercontent.com/p/AF1QipOkwcqyy5vyb-qlDkqOfDZovg7e0fyfOhCHB6Pc=w1220-h920-k-no,Sulawesi Barat,"Kecamatan Pamboang, Kabupaten Majene","Rewata'a Pamboang adalah tempat wisata yang menawarkan keindahan alam dan suasana tenang. Meskipun informasi lebih lanjut terbatas, tempat ini menjadi pilihan bagi mereka yang ingin menikmati keindahan alam tanpa keramaian.",Lainnya
