LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Benteng+Rotterdam/data=!4m7!3m6!1s0x2dbf02b011ce37ef:0x28ed3928c1b6cf23!8m2!3d-5.1340004!4d119.4056311!16s%2Fm%2F0fpjfz5!19sChIJ7zfOEbACvy0RI8-2wSg57Sg?authuser=0&hl=id&rclk=1,Benteng Rotterdam,"4,5",https://lh5.googleusercontent.com/p/AF1QipNQW3_5DEXLqvPfiC6rvTtC6261MKxwjXjQXXOc=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Ujung Pandang, Kota Makassar","Benteng Rotterdam adalah salah satu peninggalan sejarah yang terletak di Makassar. Dibangun oleh Belanda pada abad ke-17, benteng ini memiliki arsitektur yang khas dan menyimpan banyak cerita tentang sejarah kolonial di Indonesia. Saat ini, tempat ini menjadi objek wisata yang menarik bagi pengunjung yang ingin belajar tentang sejarah dan budaya lokal.",Museum/Sejarah
https://www.google.com/maps/place/Taman+Nasional+Bantimurung+Bulusaraung/data=!4m7!3m6!1s0x2dbe8b53c5c9f55b:0x9d78ef1e3968b717!8m2!3d-4.8011838!4d119.8234977!16s%2Fm%2F0b76lm6!19sChIJW_XJxVOLvi0RF7doOR7veJ0?authuser=0&hl=id&rclk=1,Taman Nasional Bantimurung Bulusaraung,"4,4",https://lh5.googleusercontent.com/p/AF1QipMUi5T-bH2Y_5uoaDxgvoiRhI1kO3YTgKL4jZ0y=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Bantimurung, Kabupaten Maros","Taman Nasional Bantimurung Bulusaraung terkenal dengan keindahan alamnya yang memukau. Dikenal sebagai ""Taman Kupu-Kupu,"" taman ini memiliki beragam spesies kupu-kupu dan flora yang indah. Selain itu, terdapat air terjun yang menambah pesona taman ini. Pengunjung dapat menikmati trekking di hutan dan melihat keanekaragaman hayati yang ada.",Hutan/Taman Nasional
https://www.google.com/maps/place/Bugis+Waterpark+Adventure/data=!4m7!3m6!1s0x2dbee343cb43a579:0xe7e4d3cf2e81ab9a!8m2!3d-5.153922!4d119.494498!16s%2Fg%2F12m9d8w3z!19sChIJeaVDy0Pjvi0RmquBLs_T5Oc?authuser=0&hl=id&rclk=1,Bugis Waterpark Adventure,"4,4",https://lh5.googleusercontent.com/p/AF1QipPskF4-eIwZXJSZIgY5lhipQvMjCmaxNNRM7ioj=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Manggala, Kota Makassar","Bugis Waterpark adalah taman rekreasi air yang menawarkan berbagai wahana menarik untuk keluarga. Dengan berbagai kolam renang dan seluncuran air, tempat ini menjadi pilihan ideal untuk bersenang-senang bersama anak-anak. Selain itu, suasana yang ceria dan fasilitas yang lengkap membuat pengalaman berlibur semakin menyenangkan.",Taman Rekreasi
https://www.google.com/maps/place/Air+Terjun+Bantimurung/data=!4m7!3m6!1s0x2dbef7cb3b29e095:0xcba51b04fc3915f3!8m2!3d-5.0161059!4d119.684778!16s%2Fg%2F1pztnrrrp!19sChIJleApO8v3vi0R8xU5_AQbpcs?authuser=0&hl=id&rclk=1,Air Terjun Bantimurung,"4,5",https://lh5.googleusercontent.com/p/AF1QipNjEunBEh2K4wQGpFzB31kzODrKd7IQw2QP7tTp=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Tinggimoncong, Kabupaten Gowa","Air Terjun Bantimurung adalah salah satu air terjun paling indah di Sulawesi Selatan. Dikelilingi oleh hutan tropis yang lebat, air terjun ini memiliki ketinggian sekitar 15 meter dengan aliran air yang jernih. Tempat ini sangat cocok untuk pengunjung yang ingin menikmati keindahan alam sambil berfoto dan bersantai di tepi air terjun.",Air Terjun
"https://www.google.com/maps/place/Lolai+-+To%27+Tombi,+Negeri+di+atas+awan/data=!4m7!3m6!1s0x2d93c1e217229ad9:0xfa590428d5f13d7b!8m2!3d-2.965639!4d119.8652808!16s%2Fg%2F11c5xfdzsg!19sChIJ2ZoiF-LBky0Rez3x1SgEWfo?authuser=0&hl=id&rclk=1","Lolai - To' Tombi, Negeri di atas awan","4,6",https://lh5.googleusercontent.com/p/AF1QipM0SyN2Us7LP0lACmCxjc3MOYQrIAiN-9o5rNgk=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Kapala Pitu, Kabupaten Toraja Utara","Lolai dikenal sebagai ""Negeri di Atas Awan"" karena pemandangan alamnya yang spektakuler. Terletak di ketinggian, pengunjung dapat menikmati panorama pegunungan dan awan yang menyelimuti lembah. Tempat ini sangat populer untuk berkemah dan menikmati sunrise atau sunset yang menakjubkan. Suasana tenang dan sejuk membuatnya ideal untuk relaksasi.",Puncak
https://www.google.com/maps/place/Lolai+Tongkonan+Lempe/data=!4m7!3m6!1s0x2d93c195f3c0b627:0xbece40eac1b794ed!8m2!3d-2.9463286!4d119.8583168!16s%2Fg%2F11c5_zjv26!19sChIJJ7bA85XBky0R7ZS3wepAzr4?authuser=0&hl=id&rclk=1,Lolai Tongkonan Lempe,"4,6",https://lh5.googleusercontent.com/p/AF1QipOGX7Ul8bsXH99eskpfhyk1E410Ift49VCWkvmF=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Kapala Pitu, Kabupaten Toraja Utara",Tongkonan Lempe adalah rumah tradisional suku Toraja yang memiliki arsitektur unik dengan atap melengkung. Tempat ini menjadi simbol budaya Toraja dan sering dikunjungi wisatawan untuk mempelajari tradisi serta upacara adat masyarakat setempat. Pengunjung dapat merasakan pengalaman budaya yang kaya dan melihat langsung kehidupan masyarakat Toraja.,Desa Wisata
https://www.google.com/maps/place/Hutan+Pinus+Malino/data=!4m7!3m6!1s0x2dbe9567d289511f:0xe4a8298724638517!8m2!3d-5.2442805!4d119.8705166!16s%2Fg%2F11h9k2vk4k!19sChIJH1GJ0meVvi0RF4VjJIcpqOQ?authuser=0&hl=id&rclk=1,Hutan Pinus Malino,"4,7",https://lh5.googleusercontent.com/p/AF1QipMqbG1Dm-EaSHgcl2H8GLYdJ8kSejYzSzhMzRNu=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Tinggimoncong, Kabupaten Gowa","Hutan Pinus Malino merupakan destinasi wisata alam yang menawarkan suasana sejuk dan pemandangan hutan pinus yang rimbun. Tempat ini ideal untuk piknik keluarga atau sekadar bersantai sambil menikmati udara segar. Selain itu, terdapat jalur trekking yang memungkinkan pengunjung menjelajahi keindahan alam hutan pinus dengan lebih dekat.",Hutan/Taman Nasional
https://www.google.com/maps/place/Taman+Macan/data=!4m7!3m6!1s0x2dbf02ae4b40ad31:0x2886133f482cfbbb!8m2!3d-5.1356647!4d119.4079565!16s%2Fg%2F1hm22jwtw!19sChIJMa1AS64Cvy0Ru_ssSD8Thig?authuser=0&hl=id&rclk=1,Taman Macan,"4,5",https://lh5.googleusercontent.com/p/AF1QipPyKfEeo2Z1FrMh9a_FRCyat4Oa_fMAJ600Wjv5=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Mamajang, Kota Makassar","Taman Macan adalah taman rekreasi yang menyajikan berbagai wahana permainan untuk anak-anak dan keluarga. Dengan suasana hijau dan fasilitas lengkap, tempat ini menjadi pilihan tepat untuk menghabiskan waktu berkualitas bersama keluarga. Pengunjung dapat menikmati berbagai aktivitas seru sambil bersantai di tengah alam terbuka.",Taman Rekreasi
https://www.google.com/maps/place/Lasinrang+Park/data=!4m7!3m6!1s0x2d944cfe16d87bd1:0x2e999a38d17e271d!8m2!3d-3.7914168!4d119.6505235!16s%2Fg%2F11b6bq1lpg!19sChIJ0XvYFv5MlC0RHSd-0TiamS4?authuser=0&hl=id&rclk=1,Lasinrang Park,"4,3",https://lh5.googleusercontent.com/p/AF1QipPN4DWlWYuPQTjB0Bb2aHziBQ9bV81NmK-JwLsf=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Rappocini, Kota Makassar","Lasinrang Park adalah taman rekreasi keluarga dengan berbagai fasilitas olahraga dan area bermain anak-anak. Dikelilingi oleh pepohonan hijau, tempat ini menawarkan suasana nyaman untuk bersantai dan beraktivitas fisik. Pengunjung dapat melakukan jogging atau hanya sekadar menikmati waktu bersama keluarga di luar ruangan.",Taman Rekreasi
https://www.google.com/maps/place/Tebing+Apparalang/data=!4m7!3m6!1s0x2dbbf43d2190fdbf:0xb5ff6d08f29728ae!8m2!3d-5.5375672!4d120.4495834!16s%2Fg%2F11b6z2_kb_!19sChIJv_2QIT30uy0RriiX8ght_7U?authuser=0&hl=id&rclk=1,Tebing Apparalang,"4,7",https://lh5.googleusercontent.com/p/AF1QipNc_R99OmArMGWTONj6QWkZYavwJMIq6eM8Udfa=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Ara, Kabupaten Bulukumba",Tebing Apparalang terkenal dengan pemandangan lautnya yang menakjubkan dari ketinggian. Tempat ini menjadi lokasi favorit bagi para fotografer dan penggemar petualangan untuk menikmati keindahan alam sekaligus melakukan aktivitas seperti hiking atau cliff jumping. Suasana tenang dan angin sepoi-sepoi menambah kenyamanan saat berkunjung ke sini.,Lainnya
https://www.google.com/maps/place/Kampoeng+Karst+Rammang+Rammang/data=!4m7!3m6!1s0x2dbe59e388afe0ad:0x3590926b8cb4858a!8m2!3d-4.9153434!4d119.6123724!16s%2Fg%2F11b6rckm9k!19sChIJreCviONZvi0RioW0jGuSkDU?authuser=0&hl=id&rclk=1,Kampoeng Karst Rammang Rammang,"4,7",https://lh5.googleusercontent.com/p/AF1QipOQejnmms6jWVkDPFixgLiFpzhx1sHd9Y5jE9ex=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Bontoa, Kabupaten Maros",Kampoeng Karst Rammang Rammang adalah kawasan karst dengan pemandangan alam spektakuler berupa tebing-tebing tinggi dan gua-gua alami. Tempat ini menawarkan pengalaman menjelajahi keindahan alam serta aktivitas seperti perahu tradisional menyusuri sungai. Keberagaman flora dan fauna menjadikan tempat ini sangat menarik bagi pecinta alam dan petualangan.,Lainnya
https://www.google.com/maps/place/Museum+Balla+Lompoa/data=!4m7!3m6!1s0x2dbee225941b2653:0x5b47e356d6ab10de!8m2!3d-5.206832!4d119.4527937!16s%2Fg%2F1pzqzcg_m!19sChIJUyYblCXivi0R3hCr1lbjR1s?authuser=0&hl=id&rclk=1,Museum Balla Lompoa,"4,5",https://lh5.googleusercontent.com/p/AF1QipPIb47l4lgtUOd_8dBvunwUoiaM5Y6zwaFfIyLx=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Somba Opu, Kabupaten Gowa","Museum Balla Lompoa adalah bekas istana raja-raja Gowa yang kini berfungsi sebagai museum. Didirikan pada tahun 1973, museum ini menyimpan berbagai koleksi benda bersejarah dari Kerajaan Gowa, termasuk senjata tradisional, pakaian adat, dan artefak berharga lainnya. Pengunjung dapat merasakan sejarah dan budaya Sulawesi Selatan melalui koleksi yang ada di sini.",Museum/Sejarah
https://www.google.com/maps/place/Taman+Wisata+Alam+Lejja/data=!4m7!3m6!1s0x2d95eb32d2a600e7:0xa6770ccb69aa6885!8m2!3d-4.1524437!4d119.7885345!16s%2Fg%2F1ptwyz_h3!19sChIJ5wCm0jLrlS0RhWiqacsMd6Y?authuser=0&hl=id&rclk=1,Taman Wisata Alam Lejja,"4,4",https://lh5.googleusercontent.com/p/AF1QipNMpDgnN3uZOAddJbf8KXcCNn3uRWUQCemBwxj8=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Bila, Kabupaten Sidenreng Rappang","Taman Wisata Alam Lejja adalah destinasi wisata alam yang menawarkan pemandangan indah serta berbagai aktivitas luar ruangan. Dengan udara sejuk dan pepohonan rindang, tempat ini ideal untuk berkemah dan piknik. Selain itu, pengunjung dapat menikmati trekking di sekitar area taman yang dikelilingi oleh keindahan alam yang menakjubkan.",Lainnya
https://www.google.com/maps/place/Air+Terjun+Takapala/data=!4m7!3m6!1s0x2dbebe228c7050fb:0xc476ecf802442a41!8m2!3d-5.2746592!4d119.8569436!16s%2Fg%2F11b_2kdbtr!19sChIJ-1BwjCK-vi0RQSpEAvjsdsQ?authuser=0&hl=id&rclk=1,Air Terjun Takapala,"4,5",https://lh5.googleusercontent.com/p/AF1QipMNKc19gkDW991TEZESnWx8bkAUyCmXHXDCAZ7N=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Bantimurung, Kabupaten Maros","Air Terjun Takapala adalah salah satu air terjun yang menakjubkan di Sulawesi Selatan. Dengan ketinggian sekitar 30 meter, air terjun ini dikelilingi oleh hutan lebat yang memberikan suasana alami yang sejuk. Tempat ini sangat cocok untuk pengunjung yang ingin menikmati keindahan alam sambil bersantai atau berfoto di dekat aliran airnya.",Air Terjun
https://www.google.com/maps/place/Taman+Wisata+Puncak+Bila+Sidrap/data=!4m7!3m6!1s0x2d95d3471705487d:0x3c2263cf09a5de2a!8m2!3d-3.8213197!4d120.0465144!16s%2Fg%2F11bv30jgz6!19sChIJfUgFF0fTlS0RKt6lCc9jIjw?authuser=0&hl=id&rclk=1,Taman Wisata Puncak Bila Sidrap,"4,3",https://lh5.googleusercontent.com/p/AF1QipNLKUZNk7IpopGIBhSz0du5ALTx7WtIVYV6rmV0=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Malili, Kabupaten Luwu Timur",Taman Wisata Puncak Bila adalah lokasi wisata yang menawarkan pemandangan pegunungan dan udara segar. Tempat ini menjadi pilihan populer untuk menikmati keindahan alam sambil melakukan aktivitas seperti hiking atau sekadar bersantai dengan keluarga. Suasana tenang dan pemandangan yang menawan menjadikan tempat ini sangat menarik untuk dikunjungi.,Puncak
https://www.google.com/maps/place/Hutan+Mangrove+Tongke-tongke/data=!4m7!3m6!1s0x2dbc243f3c4b47fd:0x58c353ed8b08f8db!8m2!3d-5.1492653!4d120.2728034!16s%2Fg%2F11cjphcksr!19sChIJ_UdLPD8kvC0R2_gIi-1Tw1g?authuser=0&hl=id&rclk=1,Hutan Mangrove Tongke-tongke,"4,5",https://lh5.googleusercontent.com/p/AF1QipPGpx2vYjCYTZJ60S2chUXK3zmOWZkHwORMF4-u=w1220-h920-k-no,Sulawesi Selatan,"Kecamatan Tamalanrea, Kota Makassar",Hutan Mangrove Tongke-tongke adalah ekosistem mangrove yang kaya akan keanekaragaman hayati. Tempat ini menawarkan pengalaman menjelajahi alam sambil belajar tentang pentingnya hutan mangrove bagi lingkungan. Pengunjung dapat melakukan kegiatan seperti birdwatching dan menyusuri jalur setapak di antara pepohonan mangrove yang rimbun.,Hutan/Taman Nasional
