LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Gor/data=!4m7!3m6!1s0x2d8beddb0ee55637:0xa8e46c5e98672cfc!8m2!3d-0.8958371!4d119.8723469!16s%2Fg%2F11cjh_qld3!19sChIJN1blDtvtiy0R_CxnmF5s5Kg?authuser=0&hl=id&rclk=1,Taman Gor,"4,5",https://lh5.googleusercontent.com/p/AF1QipMKR81NVcRVUgmpUeVIeku_Ds4rMkcooxbx-VnP=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Palu Timur, Kota Palu","Taman Gor adalah ruang terbuka hijau yang berfungsi sebagai pusat kegiatan olahraga dan rekreasi di Kota Palu. Dikenal dengan fasilitas lengkap seperti lintasan lari, lapangan basket, dan area bermain, taman ini menjadi tempat favorit bagi warga untuk berolahraga dan bersantai. Taman ini juga memiliki patung Soekarno yang menjadi simbol sejarah dan inspirasi bagi masyarakat.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Hutan+Kota+Palu/data=!4m7!3m6!1s0x2d8bee9eaaaaaaab:0xe3da770496987992!8m2!3d-0.8692753!4d119.8845838!16s%2Fg%2F11cs1kbnrv!19sChIJq6qqqp7uiy0RknmYlgR32uM?authuser=0&hl=id&rclk=1,Taman Hutan Kota Palu,"4,3",https://lh5.googleusercontent.com/p/AF1QipNvy7SdupJyEQiStC2eypPkl9YAgAMkI4fTlje9=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Palu Timur, Kota Palu","Taman Hutan Kota Palu adalah area hijau yang dirancang untuk memberikan ruang terbuka bagi masyarakat. Dikelilingi oleh pepohonan rindang, taman ini menawarkan jalur pejalan kaki dan area bermain anak, menjadikannya tempat ideal untuk rekreasi keluarga dan olahraga.",Taman Rekreasi
https://www.google.com/maps/place/Gong+Perdamaian/data=!4m7!3m6!1s0x2d8beecebd63231b:0x48d0bb0072bf37d4!8m2!3d-0.8556908!4d119.9122483!16s%2Fg%2F11cn6j1x3r!19sChIJGyNjvc7uiy0R1De_cgC70Eg?authuser=0&hl=id&rclk=1,Gong Perdamaian,"4,5",https://lh5.googleusercontent.com/p/AF1QipPeWSibf-99lbwen6s3OpALQ6di5PkE00Uhn3_V=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Mantikulore, Kota Palu","Gong Perdamaian adalah monumen yang melambangkan perdamaian dan persatuan di Kota Palu. Dengan desain unik dan artistik, tempat ini sering digunakan sebagai lokasi untuk acara-acara budaya dan perayaan yang melibatkan masyarakat setempat.",Lainnya
https://www.google.com/maps/place/Bukit+Keles/data=!4m7!3m6!1s0x2d86a3f2b8a149bb:0x3c21ac02b344692d!8m2!3d-0.9389277!4d122.7985586!16s%2Fg%2F11c2nnhf03!19sChIJu0mhuPKjhi0RLWlEswKsITw?authuser=0&hl=id&rclk=1,Bukit Keles,"4,4",https://lh5.googleusercontent.com/p/AF1QipPaBZoudngvj6t_mVupAp1nIku8gG8XXC6m_20Z=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Luwuk, Kabupaten Banggai",Bukit Keles adalah destinasi wisata alam yang menawarkan pemandangan menakjubkan dari ketinggian. Tempat ini ideal untuk trekking dan menikmati keindahan alam sekitar serta berinteraksi dengan flora dan fauna lokal di kawasan pegunungan.,Puncak
https://www.google.com/maps/place/Air+Terjun+Saluopa/data=!4m7!3m6!1s0x2d8e42636e2cc011:0x76dd4b9ee4e8a9ce!8m2!3d-1.7520084!4d120.5409991!16s%2Fg%2F11c1xd27rb!19sChIJEcAsbmNCji0Rzqno5J5L3XY?authuser=0&hl=id&rclk=1,Air Terjun Saluopa,"4,7",https://lh5.googleusercontent.com/p/AF1QipPEGkTJbVi1aug75Wet4ZC6qOCfwahHzxJYF73k=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Pamona Pusalemba, Kabupaten Poso","Air Terjun Saluopa adalah salah satu air terjun indah di Sulawesi Tengah dengan kolam alami di bawahnya. Dikelilingi hutan tropis, tempat ini cocok untuk berenang dan bersantai sambil menikmati keindahan alam sekitarnya yang asri.",Air Terjun
https://www.google.com/maps/place/Danau+Paisu+Pok+Luk+Panenteng/data=!4m7!3m6!1s0x2d840c1a30eec2e9:0xd7693729412d7934!8m2!3d-1.2175481!4d122.9728759!16s%2Fg%2F11g9jjmrhh!19sChIJ6cLuMBoMhC0RNHktQSk3adc?authuser=0&hl=id&rclk=1,Danau Paisu Pok Luk Panenteng,"4,8",https://lh5.googleusercontent.com/p/AF1QipO_Y7eAPnCao8c0I7rCeAX3A7vo9oSGJ3bRM7q6=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Bulagi Utara, Kabupaten Banggai Kepulauan",Danau Paisu Pok Luk Panenteng adalah danau kecil yang dikelilingi oleh hutan lebat dan pemandangan alam yang indah. Tempat ini menjadi lokasi ideal untuk piknik keluarga atau sekadar bersantai sambil menikmati suasana tenang jauh dari keramaian kota.,Danau
https://www.google.com/maps/place/Air+Terjun+Salodik/data=!4m7!3m6!1s0x2d86ba24aa0a4903:0x5f5e70b2e254b1b8!8m2!3d-0.8306993!4d122.8698003!16s%2Fg%2F11f1yx2czv!19sChIJA0kKqiS6hi0RuLFU4rJwXl8?authuser=0&hl=id&rclk=1,Air Terjun Salodik,"4,5",https://lh5.googleusercontent.com/p/AF1QipOoNx3AoEADYtVB9_lrqA5l8tE2cJ3nOBTtAKlv=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Luwuk, Kabupaten Banggai",Air Terjun Salodik adalah air terjun menawan dengan aliran air yang deras dan kolam alami di bawahnya. Tempat ini terkenal dengan keindahan alamnya serta suasana sejuk yang membuatnya cocok untuk berlibur dan menikmati keindahan alam sekitar.,Air Terjun
https://www.google.com/maps/place/Pantai+Bonebula/data=!4m7!3m6!1s0x2d8bbba3d79c215d:0xab8dbb609983f546!8m2!3d-0.7049471!4d119.670027!16s%2Fg%2F11n7wvfptb!19sChIJXSGc16O7iy0RRvWDmWC7jas?authuser=0&hl=id&rclk=1,Pantai Bonebula,"4,5",https://lh5.googleusercontent.com/p/AF1QipMTsJCJ4rRtindZMIvGgXNQvk8R-hAQsXxaiMFi=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Banawa Tengah, Kabupaten Donggala",Pantai Bonebula adalah pantai eksotis dengan pasir putih halus dan air laut biru jernih. Tempat ini ideal untuk bersantai sambil menikmati pemandangan laut serta melakukan aktivitas snorkeling atau berenang di tepi pantai.,Pantai
https://www.google.com/maps/place/Taman+Nasional+Kepulauan+Togean/data=!4m7!3m6!1s0x2d87c934ccbae65d:0x89d4c8c1a5fe86ca!8m2!3d-0.4352753!4d121.8999561!16s%2Fm%2F0bbx9t6!19sChIJXea6zDTJhy0Ryob-pcHI1Ik?authuser=0&hl=id&rclk=1,Taman Nasional Kepulauan Togean,"4,6",https://lh5.googleusercontent.com/p/AF1QipNllfAItEObxDF5-6hTF73XenvUmnrEyaOl62J2=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Una-Una, Kabupaten Tojo Una-Una",Taman Nasional Kepulauan Togean adalah taman nasional yang menawarkan keindahan alam luar biasa dengan dua ekosistem darat dan laut. Pulau-pulau utama seperti Togean menjadi tempat ideal untuk snorkeling dan menikmati keindahan alam yang masih alami.,Hutan/Taman Nasional
https://www.google.com/maps/place/Sou+Raja+Cagar+Budaya+Banua+Oge/data=!4m7!3m6!1s0x2d8bedb5d65c5c15:0x91d24fd243131495!8m2!3d-0.8889713!4d119.855952!16s%2Fg%2F11fk420c26!19sChIJFVxc1rXtiy0RlRQTQ9JP0pE?authuser=0&hl=id&rclk=1,Sou Raja Cagar Budaya Banua Oge,"4,3",https://lh5.googleusercontent.com/p/AF1QipPO-2FS0bWcqZ_Ma2XDt_4aa_zQ17J3MQHz7pco=w1220-h920-k-no,Sulawesi Tengah,"Kecamatan Palu Barat, Kota Palu",Sou Raja Cagar Budaya Banua Oge adalah situs budaya yang melestarikan warisan sejarah masyarakat setempat. Di sini pengunjung dapat belajar tentang tradisi lokal serta melihat artefak budaya yang memiliki nilai historis tinggi bagi masyarakat sekitar.,Museum/Sejarah
