LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Taman+Kota+Kendari/data=!4m7!3m6!1s0x2d98f2c05d25859f:0x3cda356889b9500c!8m2!3d-3.9735717!4d122.5130832!16s%2Fg%2F11bw5xp1mx!19sChIJn4UlXcDymC0RDFC5iWg12jw?authuser=0&hl=id&rclk=1,Taman Kota Kendari,"4,3",https://lh5.googleusercontent.com/p/AF1QipOtHt6gsTe-tvWzMP15InWBNOCUuM7x-9LxaoLM=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Mandonga, Kota Kendari","Taman Kota Kendari adalah ruang terbuka hijau yang terletak di pusat kota Kendari. Taman ini memiliki jogging track, monumen Kalosara, dan area bermain anak-anak, menjadikannya tempat favorit warga untuk bersantai dan berolahraga. Suasana asri dan fasilitas yang lengkap membuat taman ini cocok untuk keluarga dan komunitas lokal.",Taman Rekreasi
https://www.google.com/maps/place/Taman+Nasional+Wakatobi/data=!4m7!3m6!1s0x2da70432508addb7:0x5d26a2de09c86794!8m2!3d-5.5634736!4d123.9304254!16s%2Fm%2F0b7419q!19sChIJt92KUDIEpy0RlGfICd6iJl0?authuser=0&hl=id&rclk=1,Taman Nasional Wakatobi,"4,5",https://lh5.googleusercontent.com/p/AF1QipN7cRiGBOq_tfRCJbXQywdmoUXJ66HlB190dBAH=w1220-h920-k-no,Sulawesi Tenggara,Kabupaten Wakatobi,"Taman Nasional Wakatobi adalah destinasi wisata bahari terkenal dengan keanekaragaman biota lautnya. Dengan lebih dari 25 gugusan terumbu karang, taman ini menjadi lokasi ideal untuk snorkeling dan diving. Keindahan bawah lautnya menarik pengunjung dari berbagai penjuru dunia yang ingin menikmati pesona alam bawah laut yang luar biasa.",Hutan/Taman Nasional
https://www.google.com/maps/place/Kendari+Beach/data=!4m7!3m6!1s0x2d98ed9c2ab93977:0x6d5f147fad28603!8m2!3d-3.9672712!4d122.5589815!16s%2Fg%2F11fkn0btp5!19sChIJdzm5KpztmC0RA4bS-kfx1QY?authuser=0&hl=id&rclk=1,Kendari Beach,"4,5",https://lh5.googleusercontent.com/p/AF1QipOWgu84Ucwwd-xQGWqzdSBN-A2lNbjdc0Xrrwno=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Kendari Barat, Kota Kendari",Kendari Beach adalah pantai yang menawarkan pemandangan laut yang indah dan suasana tenang. Tempat ini cocok untuk bersantai sambil menikmati makanan laut segar dari warung di sekitar pantai. Pantai ini juga menjadi lokasi favorit untuk menikmati matahari terbenam yang memukau.,Pantai
https://www.google.com/maps/place/Pulau+Wisata+Bokori/data=!4m7!3m6!1s0x2d98eba53b97ff15:0xf6266bebe5d037b9!8m2!3d-3.9400062!4d122.6597541!16s%2Fg%2F11g6j97fnv!19sChIJFf-XO6XrmC0RuTfQ5etrJvY?authuser=0&hl=id&rclk=1,Pulau Wisata Bokori,"4,4",https://lh5.googleusercontent.com/p/AF1QipPdfMyutQ8X2FbDQTRFwiOyUbt04kewkY4B2AY0=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Soropia, Kabupaten Konawe",Pulau Bokori adalah pulau kecil dengan pantai-pantai cantik dan fasilitas lengkap seperti resort serta restoran seafood. Tempat ini sangat cocok untuk liburan romantis atau keluarga dengan berbagai aktivitas air seperti snorkeling dan berenang. Suasana tenang menjadikan pulau ini ideal untuk relaksasi.,Pantai
https://www.google.com/maps/place/Danau+Biru+Kolaka+Utara/data=!4m7!3m6!1s0x2d97088ee9ecad9b:0x578dc6ef503c9c9a!8m2!3d-3.7271598!4d121.0945324!16s%2Fg%2F11c0r3248q!19sChIJm63s6Y4Ily0Rmpw8UO_GjVc?authuser=0&hl=id&rclk=1,Danau Biru Kolaka Utara,"4,5",https://lh5.googleusercontent.com/p/AF1QipPeah7hPG4QiiRNjEhQtYfYinoKf20Ue29y1ql8=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Wawo, Kabupaten Kolaka Utara",Danau Biru Kolaka Utara terkenal dengan airnya yang jernih berwarna biru kehijauan serta pemandangan alam sekitarnya yang menawan. Destinasi ini sering dijadikan lokasi foto oleh wisatawan karena keindahan alamnya yang memukau. Tempat ini juga cocok untuk bersantai bersama keluarga atau teman-teman sambil menikmati suasana damai.,Danau
https://www.google.com/maps/place/Pantai+Mandra+Kolaka/data=!4m7!3m6!1s0x2d978b0000000001:0xa9b2f7e67c6161fc!8m2!3d-4.0609654!4d121.5912308!16s%2Fg%2F11b7ztt7dd!19sChIJAQAAAACLly0R_GFhfOb3sqk?authuser=0&hl=id&rclk=1,Pantai Mandra Kolaka,"4,3",https://lh5.googleusercontent.com/p/AF1QipM5Zn0Alsur0sK01GfCoaJufOvMWlKB1hXqK8gc=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Kolaka, Kabupaten Kolaka",Pantai Mandra Kolaka memiliki pasir putih lembut dan air laut biru jernih yang menjadikannya tempat ideal untuk berenang dan bersantai. Suasana pantai yang tenang menarik banyak pengunjung setiap akhir pekan untuk menikmati keindahan alam sambil berjemur atau bermain pasir di tepi pantai.,Pantai
https://www.google.com/maps/place/Air+Terjun+Moramo/data=!4m7!3m6!1s0x2d989f0cda33990b:0xab7ce4a2c20de727!8m2!3d-4.2208421!4d122.7450313!16s%2Fg%2F11bz0y82jk!19sChIJC5kz2gyfmC0RJ-cNwqLkfKs?authuser=0&hl=id&rclk=1,Air Terjun Moramo,"4,5",https://lh5.googleusercontent.com/p/AF1QipMxv_UyHx7mXr3GMzUXWdD_ayCRHeZbjusjT6LV=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Moramo, Kabupaten Konawe Selatan",Air Terjun Moramo adalah salah satu air terjun tertinggi di Sulawesi Tenggara dengan tujuh tingkat aliran air yang membentuk kolam-kolam alami di setiap tingkatnya. Keindahan alam sekitar serta suara gemericik air membuat tempat ini menjadi destinasi favorit bagi pecinta alam dan fotografer yang ingin menangkap momen indah di sini.,Air Terjun
https://www.google.com/maps/place/Wisata+Anjungan+Teluk+Kendari/data=!4m7!3m6!1s0x2d98edc372792f17:0xd819013469072cc7!8m2!3d-3.9677211!4d122.552394!16s%2Fg%2F11rpwvbt67!19sChIJFy95csPtmC0RxywHaTQBGdg?authuser=0&hl=id&rclk=1,Wisata Anjungan Teluk Kendari,"4,3",https://lh5.googleusercontent.com/p/AF1QipN3121UrV0LdCKFSMzoQsOQYHerEd4sPHBW46LP=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Kendari Barat, Kota Kendari",Wisata Anjungan Teluk Kendari adalah destinasi wisata tepi laut dengan pemandangan teluk yang indah serta fasilitas seperti restoran seafood dan tempat duduk santai. Tempat ini sering dikunjungi oleh wisatawan lokal maupun luar daerah untuk menikmati suasana romantis sambil menyaksikan matahari terbenam di tepi teluk.,Taman Rekreasi
https://www.google.com/maps/place/Taman+Nasional+Rawa+Aopa+Watumohai/data=!4m7!3m6!1s0x2da290ff283ae6bf:0x4a645ee17a3c085d!8m2!3d-4.4383319!4d121.8732554!16s%2Fm%2F02vs8t1!19sChIJv-Y6KP-Qoi0RXQg8euFeZEo?authuser=0&hl=id&rclk=1,Taman Nasional Rawa Aopa Watumohai,"4,4",https://lh5.googleusercontent.com/p/AF1QipN_8NAGyvEEaExrDLgJpLZvxvhfBgI6FG5iX2yT=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Tinanggea, Kabupaten Konawe Selatan",Taman Nasional Rawa Aopa Watumohai merupakan kawasan konservasi dengan ekosistem rawa-rawa unik serta keanekaragaman hayati tinggi. Pengunjung dapat menikmati trekking di hutan mangrove atau melihat burung-burung langka di habitat aslinya sambil belajar tentang pentingnya konservasi lingkungan di taman nasional ini.,Hutan/Taman Nasional
https://www.google.com/maps/place/Mantara+Waterpark+Kendari/data=!4m7!3m6!1s0x2d98f373f04f9ced:0xd2554349ad8e4f11!8m2!3d-3.9800517!4d122.4559186!16s%2Fg%2F11slvt7wjc!19sChIJ7ZxP8HPzmC0REU-OrUlDVdI?authuser=0&hl=id&rclk=1,Mantara Waterpark Kendari,"4,4",https://lh5.googleusercontent.com/p/AF1QipPzT-N6ZnI73DZiV5-NQNdQiwjn6G6fn64sAJhL=w1220-h920-k-no,Sulawesi Tenggara,"Kecamatan Puuwatu, Kota Kendari",Mantara Waterpark adalah taman rekreasi air dengan berbagai wahana permainan seperti seluncuran air dan kolam renang anak-anak. Tempat ini sangat cocok untuk liburan keluarga karena suasana ceria serta fasilitas lengkap yang tersedia bagi pengunjung dari segala usia.,Taman Rekreasi
