LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori
https://www.google.com/maps/place/Puncak+Tetetana+Suluan/data=!4m7!3m6!1s0x32871297491e3ea9:0xbd5ddc1bbb20b0cc!8m2!3d1.3708998!4d124.8894221!16s%2Fg%2F11g9vthhxb!19sChIJqT4eSZcShzIRzLAguxvcXb0?authuser=0&hl=id&rclk=1,Puncak Tetetana Suluan,"4,6",https://lh5.googleusercontent.com/p/AF1QipPFm_WsV4gFF6got7sipFRk6xJ6DTiunw4oTF1I=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Tombulu, Kabupaten Minahasa","Puncak Tetetana Suluan adalah destinasi wisata yang menawarkan pemandangan alam yang menakjubkan dari ketinggian sekitar 1.000 mdpl. Terletak sekitar 31 km dari Pantai Malalayang, puncak ini menjadi favorit bagi para penggemar sepeda dan trekking. Dari sini, pengunjung dapat menikmati panorama wilayah Minahasa, Manado, dan Bitung. Puncak ini juga dikenal sebagai tempat yang ideal untuk fotografi, dengan hamparan bunga warna-warni dan pemandangan yang memukau saat cuaca cerah. Tersedia fasilitas sederhana seperti toilet dan warung, serta tiket masuk yang terjangkau.",Puncak
https://www.google.com/maps/place/Pantai+Paal/data=!4m7!3m6!1s0x3287b1bfffffffff:0xc6fde198deb15181!8m2!3d1.6515069!4d125.1618811!16s%2Fg%2F11b7f14gp9!19sChIJ_____7-xhzIRgVGx3pjh_cY?authuser=0&hl=id&rclk=1,Pantai Paal,"4,6",https://lh5.googleusercontent.com/p/AF1QipMcmGfwppqDLerD6yt_rln6FTfvArPqwC8BRinr=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Malalayang, Kota Manado","Pantai Paal merupakan salah satu pantai yang terkenal di Manado dengan pasir putih dan air laut yang jernih. Pantai ini menjadi tempat ideal untuk bersantai dan menikmati keindahan alam sambil menikmati berbagai aktivitas air seperti snorkeling dan berenang. Selain itu, pengunjung dapat menikmati kuliner lokal di warung-warung yang tersedia di sekitar pantai. Suasana tenang dan pemandangan matahari terbenam yang indah menjadikan Pantai Paal sebagai destinasi yang populer bagi wisatawan lokal maupun mancanegara.",Pantai
https://www.google.com/maps/place/Bukit+Kasih+Kanonang/data=!4m7!3m6!1s0x32874424f3dffd89:0x2ae951b91473ce1f!8m2!3d1.1653281!4d124.7659944!16s%2Fg%2F121lyk3k!19sChIJif3f8yREhzIRH85zFLlR6So?authuser=0&hl=id&rclk=1,Bukit Kasih Kanonang,"4,3",https://lh5.googleusercontent.com/p/AF1QipNrn9gQ7a4ng1lfiv9FnhphJMCIYU4Siu_8eNe1=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Tomohon Utara, Kota Tomohon","Bukit Kasih Kanonang adalah tempat wisata yang menawarkan keindahan alam serta suasana damai di tengah pegunungan. Terkenal dengan patung Yesus Kristus yang besar, bukit ini menjadi lokasi spiritual dan rekreasi bagi banyak orang. Pengunjung dapat melakukan trekking menuju puncak bukit untuk menikmati pemandangan kota Tomohon dan sekitarnya. Selain itu, lokasi ini juga sering digunakan untuk kegiatan keagamaan dan perayaan tertentu, menjadikannya sebagai tempat yang kaya akan nilai budaya dan spiritual.",Lainnya
https://www.google.com/maps/place/Desa+Wisata+Budo/data=!4m7!3m6!1s0x3287a3085bb08453:0x53e92e7ef4010c2e!8m2!3d1.626926!4d124.8799402!16s%2Fg%2F11p56hwk9t!19sChIJU4SwWwijhzIRLgwB9H4u6VM?authuser=0&hl=id&rclk=1,Desa Wisata Budo,"4,7",https://lh5.googleusercontent.com/p/AF1QipPDtbYQJRkde0EgDYaRDR5YzcInlx1ochPt5J1y=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Likupang Timur, Kabupaten Minahasa Utara","Desa Wisata Budo menawarkan pengalaman unik bagi pengunjung yang ingin merasakan kehidupan masyarakat lokal di Sulawesi Utara. Di desa ini, wisatawan dapat belajar tentang budaya setempat, termasuk kerajinan tangan dan kuliner khas daerah. Selain itu, desa ini dikelilingi oleh pemandangan alam yang indah, termasuk pantai dan pegunungan. Aktivitas seperti berinteraksi dengan penduduk lokal dan mengikuti kegiatan tradisional memberikan pengalaman mendalam tentang kehidupan masyarakat Minahasa.",Desa Wisata
https://www.google.com/maps/place/Pantai+Abadi/data=!4m7!3m6!1s0x3280833a8f25ed2b:0x803d3e446c054ad0!8m2!3d0.6119628!4d124.5662934!16s%2Fg%2F11f316wk17!19sChIJK-0ljzqDgDIR0EoFbEQ-PYA?authuser=0&hl=id&rclk=1,Pantai Abadi,"4,6",https://lh5.googleusercontent.com/p/AF1QipNMtIsbHpiSn7ERvc4eAilHzoec_mFpL9oHR2n4=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Likupang Barat, Kabupaten Minahasa Utara","Pantai Abadi dikenal dengan keindahan alamnya yang memukau serta suasana tenang yang cocok untuk bersantai. Pasir putihnya yang lembut dan air lautnya yang biru jernih menarik banyak pengunjung untuk berlibur di sini. Selain menikmati keindahan pantai, pengunjung juga dapat melakukan berbagai aktivitas seperti snorkeling untuk menjelajahi kehidupan bawah laut atau sekadar bersantai sambil menikmati makanan laut segar di warung sekitar pantai. Tempat ini sangat ideal untuk keluarga maupun pasangan yang ingin menikmati waktu berkualitas bersama.",Pantai
https://www.google.com/maps/place/Air+Terjun+Kima+Atas/data=!4m7!3m6!1s0x3287a1a3ffffffff:0xb30948ca3650e18e!8m2!3d1.5567479!4d124.897046!16s%2Fg%2F11c60b5bng!19sChIJ_____6OhhzIRjuFQNspICbM?authuser=0&hl=id&rclk=1,Air Terjun Kima Atas,"4,0",https://lh5.googleusercontent.com/p/AF1QipNgjfl_SLwJCLdgl7kqdrSZbNwUswIFF6igFJ8=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Kima Atas, Kabupaten Minahasa","Air Terjun Kima Atas adalah salah satu air terjun menawan di Sulawesi Utara dengan ketinggian yang cukup signifikan. Dikelilingi oleh hutan lebat dan suasana alami yang sejuk, air terjun ini menjadi tempat favorit bagi para pecinta alam dan fotografer. Untuk mencapai lokasi ini dibutuhkan sedikit usaha dengan trekking melalui jalur alami yang indah. Kolam di bawah air terjun menawarkan kesempatan bagi pengunjung untuk berenang atau sekadar menikmati suasana tenang sambil mendengarkan suara gemericik air terjun.",Air Terjun
https://www.google.com/maps/place/Aer+Konde+Ratahan/data=!4m7!3m6!1s0x32874bb8e61d3aa7:0xad1e6957537b4dc1!8m2!3d1.0412594!4d124.8033742!16s%2Fg%2F11by_g9v2l!19sChIJpzod5rhLhzIRwU17U1dpHq0?authuser=0&hl=id&rclk=1,Aer Konde Ratahan,"4,5",https://lh5.googleusercontent.com/p/AF1QipPmFSBG1qdkbKGgu5npG8SbAkGka0TIbTWsNyJQ=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Ratahan, Kabupaten Minahasa Tenggara",Aer Konde Ratahan adalah tempat wisata alam yang menawarkan keindahan pemandangan sungai dan hutan sekitar. Lokasi ini cocok untuk kegiatan outdoor seperti berkemah atau piknik bersama keluarga dan teman-teman. Suasana tenang dan segar membuat tempat ini ideal untuk melepas penat dari rutinitas sehari-hari. Pengunjung juga dapat melakukan aktivitas seperti berenang di sungai atau menjelajahi jalur hiking di sekitarnya untuk menikmati keindahan alam lebih dekat.,Lainnya
https://www.google.com/maps/place/Rumah+Alam+Manado+Adventure+Park/data=!4m7!3m6!1s0x32870ae6032ce7fd:0x58f62a46a66c2af5!8m2!3d1.4779664!4d124.8910598!16s%2Fg%2F11c5486b6r!19sChIJ_ecsA-YKhzIR9SpspkYq9lg?authuser=0&hl=id&rclk=1,Rumah Alam Manado Adventure Park,"4,3",https://lh5.googleusercontent.com/p/AF1QipOdRkI7paJuX4iB30qIgv1-jtl6FWDmhcTS9zPK=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Bunaken, Kota Manado","Rumah Alam Manado Adventure Park adalah destinasi wisata petualangan yang menawarkan berbagai kegiatan luar ruangan seperti flying fox, panjat tebing, dan hiking. Tempat ini dirancang untuk memberikan pengalaman seru bagi pengunjung dari segala usia dengan fasilitas lengkap dan aman. Dikelilingi oleh pemandangan alam tropis yang indah, pengunjung dapat menikmati aktivitas adrenalin sambil merasakan keindahan alam Sulawesi Utara. Ini adalah tempat ideal bagi keluarga atau kelompok teman yang mencari pengalaman baru dalam berwisata alam.",Lainnya
https://www.google.com/maps/place/Air+Terjun+Tumimperas/data=!4m7!3m6!1s0x32876bddc993ae2f:0xad80de2f2763c5ff!8m2!3d1.2952994!4d124.7808842!16s%2Fg%2F11bz_yl_ym!19sChIJL66Tyd1rhzIR_8VjJy_egK0?authuser=0&hl=id&rclk=1,Air Terjun Tumimperas,"4,6",https://lh5.googleusercontent.com/p/AF1QipNjnNfeo9YqyHkH1DgIMkgF1CwLkmgDkYJzeJgO=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Tomohon Selatan, Kota Tomohon","Air Terjun Tumimperas adalah salah satu air terjun cantik di Tomohon dengan akses relatif mudah bagi pengunjung. Dikenal karena keindahan alaminya serta kolam alami di bawahnya, air terjun ini menjadi tempat populer untuk berfoto serta bersantai sambil menikmati suasana sejuk hutan sekitar. Trekking menuju air terjun memberikan pengalaman petualangan tersendiri dengan pemandangan hutan tropis yang asri sepanjang jalan menuju lokasi air terjun tersebut. Tempat ini sangat cocok bagi mereka yang ingin menikmati keindahan alam sekaligus berolahraga ringan saat trekking.",Air Terjun
https://www.google.com/maps/place/Bukit+Doa+Mahawu/data=!4m7!3m6!1s0x32876cac00000001:0x8963635832a2474b!8m2!3d1.348938!4d124.850092!16s%2Fg%2F11b7tpcs1x!19sChIJAQAAAKxshzIRS0eiMlhjY4k?authuser=0&hl=id&rclk=1,Bukit Doa Mahawu,"4,7",https://lh5.googleusercontent.com/p/AF1QipNVSFMKxSOkDDXEELR7-xJ-wVvGGI7p2wDwhxlu=w1220-h920-k-no,Sulawesi Utara,"Kecamatan Tomohon Selatan, Kota Tomohon","Bukit Doa Mahawu adalah tempat ziarah sekaligus objek wisata religi yang terkenal di Tomohon. Dengan pemandangan spektakuler dari ketinggian bukit ini, pengunjung dapat melihat panorama kota Tomohon serta pegunungan sekitarnya. Tempat ini sering dikunjungi oleh umat Kristiani untuk berdoa serta merenungkan spiritualitas mereka dalam suasana tenang dan damai. Selain itu, bukit ini juga menjadi lokasi favorit untuk trekking ringan sambil menikmati keindahan alam sekitar serta udara segar pegunungan Minahasa.",Lainnya
