LinkGmaps,NameLocation,Rating,Foto,Provinsi,Alamat,Penjelasan,Kategori,Alamat ,ï»¿LinkGmaps
https://www.google.com/maps/place/Taman+Nasional+Gunung+Leuser/data=!4m7!3m6!1s0x3039861c87a73591:0x3f1b67119f4d54b2!8m2!3d3.5192923!4d97.4634372!16zL20vMDg5enMy!19sChIJkTWnhxyGOTARslRNnxFnGz8?authuser=0&hl=id&rclk=1,Taman Nasional Gunung Leuser,"4,5",https://lh5.googleusercontent.com/p/AF1QipNor-3ocr5t-1vhR6l0m-2DX4F-HuoprTMpeRGn=w1630-h920-k-no,Aceh,"Taman Nasional Gunung Leuser, Aceh dan Sumatera Utara","kawasan pelestarian alam yang terletak di Aceh dan Sumatera Utara, dengan luas sekitar 1.094.692 hektar. TNGL dikenal sebagai rumah bagi keanekaragaman hayati yang luar biasa, termasuk spesies langka seperti harimau Sumatra, gajah Sumatra, dan orangutan. Kawasan ini juga merupakan bagian dari Situs Warisan Dunia UNESCO dan memiliki hutan hujan tropis yang megah, menjadikannya lokasi ideal bagi pecinta alam dan peneliti",Gunung,,
https://www.google.com/maps/place/Pucok+Krueng/data=!4m7!3m6!1s0x30403b30262e1d2b:0xec0c5bd841324aa1!8m2!3d5.4605987!4d95.2615318!16s%2Fg%2F11fl0sr0ng!19sChIJKx0uJjA7QDARoUoyQdhbDOw?authuser=0&hl=id&rclk=1,Pucok Krueng,"4,5",https://lh5.googleusercontent.com/p/AF1QipPVqAjWZYhvu7paYN99Dm8VDhtn529VRiVA1Vfp=w1220-h920-k-no,Aceh,"Pucok Krueng, Aceh Besar.",Pucok Krueng adalah destinasi wisata alam yang menawarkan pemandangan menakjubkan dari ketinggian. Tempat ini sering dikunjungi oleh wisatawan yang ingin menikmati keindahan alam Aceh serta berfoto dengan latar belakang pegunungan dan lembah yang hijau.,Gunung,,
https://www.google.com/maps/place/Pantai+Ujong+Kareung/data=!4m7!3m6!1s0x303ec1610e3b2cfb:0x42d911917522f947!8m2!3d4.124597!4d96.1279608!16s%2Fg%2F11bw2fx6l_!19sChIJ-yw7DmHBPjARR_kidZER2UI?authuser=0&hl=id&rclk=1,Pantai Ujong Kareung,"4,3",https://lh5.googleusercontent.com/p/AF1QipNY4ox5r8zrOSyv4KXBOpVWwsgAIfT2el_E4vM=w1220-h920-k-no,Aceh,"Gampong Ujong Kareung, Kecamatan Sukajaya, Kota Sabang.",Pantai Ujong Kareung terkenal dengan pasir putihnya dan air laut berwarna biru toska. Pantai ini dikelilingi oleh batu karang yang indah dan menjadi tempat favorit bagi pengunjung untuk bersantai atau memancing,Pantai,,
https://www.google.com/maps/place/Pantai+Lancok/data=!4m7!3m6!1s0x30478478bfffffff:0x46929b76ddaad213!8m2!3d5.1413021!4d97.185476!16s%2Fg%2F11b6_cv435!19sChIJ____v3iERzARE9Kq3XabkkY?authuser=0&hl=id&rclk=1,Pantai Lancok,"4,0",https://lh5.googleusercontent.com/p/AF1QipNf-NFnCsg6z-ITYBlKVtzpFIZROHB6DuX3IVlJ=w1220-h920-k-no,Aceh,"Pantai Lancok, Aceh Utara.",Pantai Lancok menawarkan suasana tenang dengan pemandangan laut yang memukau. Tempat ini cocok untuk bersantai sambil menikmati angin laut.,Pantai,,
https://www.google.com/maps/place/Air+Terjun+Peukan+Biluy/data=!4m7!3m6!1s0x304039494f006101:0xeb06b42e4a7f1fef!8m2!3d5.4603125!4d95.3264219!16s%2Fg%2F11cjkpxyl2!19sChIJAWEAT0k5QDAR7x9_Si60Bus?authuser=0&hl=id&rclk=1,Air Terjun Peukan Biluy,"4,0",https://lh5.googleusercontent.com/p/AF1QipOVjan-uNw18ErHWfFtdQsAPY1bhw0aS3BW3PzZ=w1220-h920-k-no,Aceh,"Peukan Biluy, Aceh Besar.",Air Terjun Peukan Biluy adalah tempat yang ideal untuk menikmati keindahan alam dan kesegaran air terjun di tengah hutan.,Taman & Alam,,
https://www.google.com/maps/place/Tapak+Tuan+Tapa/data=!4m7!3m6!1s0x303a4de1d5fa4da3:0xd14c7a82f9b99873!8m2!3d3.2500586!4d97.1789975!16s%2Fg%2F11cm3wjpx_!19sChIJo0361eFNOjARc5i5-YJ6TNE?authuser=0&hl=id&rclk=1,Tapak Tuan Tapa,"4,5",https://lh5.googleusercontent.com/p/AF1QipPzS3lZ8mPtRYNVSMPxhzBwzwsfLVhFKNdxSVpE=w1220-h920-k-no,Aceh,"Tapak Tuan, Aceh Selatan.","Wisata Tapak Tuan Tapa menawarkan keindahan alam serta nilai sejarah yang tinggi, sering dikunjungi oleh wisatawan yang ingin menjelajahi budaya lokal.",Budaya & Sejarah,,
https://www.google.com/maps/place/Mon+Ceunong/data=!4m7!3m6!1s0x30403ffc00000001:0xd2f6efee5f867c7d!8m2!3d5.3823745!4d95.4002!16s%2Fg%2F11f3dfdnlb!19sChIJAQAAAPw_QDARfXyGX-7v9tI?authuser=0&hl=id&rclk=1,Mon Ceunong,"4,6",https://lh5.googleusercontent.com/p/AF1QipOMrSRFoseHvb0yz8yjktBMQEDVoMZ3UzVQDZli=w1220-h920-k-no,Aceh,"Mon Ceunong, Aceh Besar.",Mon Ceunong adalah tempat wisata unik yang dikenal dengan keindahan arsitektur dan suasana tenangnya.,Lainnya,,
https://www.google.com/maps/place/Pantai+Ulee+Lheue/data=!4m7!3m6!1s0x304030eb48882ffb:0x3ab153b2c7c6f86e!8m2!3d5.5597522!4d95.2852583!16s%2Fg%2F11b6gldcxr!19sChIJ-y-ISOswQDARbvjGx7JTsTo?authuser=0&hl=id&rclk=1,Pantai Ulee Lheue,"4,4",https://lh5.googleusercontent.com/p/AF1QipPprj0ygAW1ZKU65cJW4Ml_0VbsS2eSXOnXO4wH=w1220-h920-k-no,Aceh,"Ulee Lheue, Banda Aceh.","Pantai ini terkenal dengan ombaknya yang tenang dan pemandangan sunset yang indah, menjadikannya tempat populer untuk bersantai.",Pantai,,
https://www.google.com/maps/place/Bukit+Siron/data=!4m7!3m6!1s0x30406d051e3d3f27:0x4e06b65aecc17697!8m2!3d5.2732613!4d95.4502876!16s%2Fg%2F11lkjd55p4!19sChIJJz89HgVtQDARl3bB7Fq2Bk4?authuser=0&hl=id&rclk=1,Bukit Siron,"4,8",https://lh5.googleusercontent.com/p/AF1QipPsBFM7lzELPyPvq-ka5qKCZCE1tdSef5_q-lWN=w1220-h920-k-no,Aceh,"Bukit Siron, Aceh Besar.",Bukit Siron menawarkan panorama alam yang menawan dan merupakan lokasi ideal untuk hiking.,Lainnya,,
https://www.google.com/maps/place/Pantai+Ujong+Batee/data=!4m7!3m6!1s0x30404a437a440af3:0x5829939eedd35c8f!8m2!3d5.6499521!4d95.4195857!16s%2Fg%2F11f2lgksly!19sChIJ8wpEekNKQDARj1zT7Z6TKVg?authuser=0&hl=id&rclk=1,Pantai Ujong Batee,"4,1",https://lh5.googleusercontent.com/p/AF1QipNK12zoOMno8NrmMr9uZWYFJKjurktZTFZiC8Ww=w1220-h920-k-no,Aceh,"Ujong Batee, Aceh Besar.",Pantai ini dikenal dengan suasananya yang damai dan pemandangan laut yang indah.,Pantai,,
https://www.google.com/maps/place/Air+Terjun+Kuta+Malaka/data=!4m7!3m6!1s0x30403f6400000001:0x7ca531f148987160!8m2!3d5.3910936!4d95.3665239!16s%2Fg%2F11bw3cc9z2!19sChIJAQAAAGQ_QDARYHGYSPExpXw?authuser=0&hl=id&rclk=1,Air Terjun Kuta Malaka,"4,4",https://lh5.googleusercontent.com/p/AF1QipOiRcDxGVShq9Pd-X2wj9PzTYTSDS0MjRsdCNkq=w1220-h920-k-no,Aceh,"Kuta Malaka, Aceh Besar.",Air terjun ini menyuguhkan keindahan alam yang asri dan merupakan tempat favorit bagi pengunjung untuk berfoto.,Lainnya,,
https://www.google.com/maps/place/Putri+Pukes+Cave/data=!4m7!3m6!1s0x3038edb221b742ff:0xd78d0c2be5526509!8m2!3d4.6411066!4d96.8831499!16s%2Fg%2F11cjhyw4gr!19sChIJ_0K3IbLtODARCWVS5SsMjdc?authuser=0&hl=id&rclk=1,Putri Pukes Cave,"4,2",https://lh5.googleusercontent.com/p/AF1QipPcyJ4TD_GEeUeE3mLoCeMkH92WDN8OtdU9x38b=w1220-h920-k-no,Aceh,"Gua Putri Pukes, Aceh Besar.",Gua ini menawarkan pengalaman petualangan unik bagi pengunjung yang suka eksplorasi alam.,Lainnya,,
https://www.google.com/maps/place/Wisata+Gua+Sarang/data=!4m7!3m6!1s0x3041ce5223385f5d:0xb2110ca87a050b85!8m2!3d5.82735!4d95.2595413!16s%2Fg%2F11cnddnd4y!19sChIJXV84I1LOQTARhQsFeqgMEbI?authuser=0&hl=id&rclk=1,Wisata Gua Sarang,"4,6",https://lh5.googleusercontent.com/p/AF1QipPKR4ZRpeqzjJbkOjJQ1D-npwyDlOzD3v4zd-gd=w1220-h920-k-no,Aceh,"Gua Sarang, Aceh Utara.",Gua Sarang adalah lokasi menarik bagi para penjelajah gua dan pecinta alam.,Lainnya,,
https://www.google.com/maps/place/Tugu+Kupiah+Teuku+Umar/data=!4m7!3m6!1s0x303ec3c9f8d9cee7:0x4d49273c668e48f4!8m2!3d4.1478223!4d96.1158339!16s%2Fg%2F11bztb0qh3!19sChIJ587Z-MnDPjAR9EiOZjwnSU0?authuser=0&hl=id&rclk=1,Tugu Kupiah Teuku Umar,"4,5",https://lh5.googleusercontent.com/p/AF1QipPfMPYPiujnhcNebzCoxGQNLRpewWgRXdjE6ltg=w1220-h920-k-no,Aceh,Banda Aceh.,Tugu ini merupakan simbol perjuangan rakyat Aceh dan menjadi daya tarik sejarah bagi pengunjung.,Budaya & Sejarah,,
